GEO_ID,B10051G_001E,B10051G_001M,B10051G_002E,B10051G_002M,B10051G_003E,B10051G_003M,B10051G_004E,B10051G_004M,B10051G_005E,B10051G_005M,B10051G_006E,B10051G_006M,B10051G_007E,B10051G_007M,NAME,B10051G_001MA,B10051G_001EA,B10051G_002EA,B10051G_002MA,B10051G_003EA,B10051G_003MA,B10051G_004EA,B10051G_004MA,B10051G_005MA,B10051G_005EA,B10051G_006MA,B10051G_006EA,B10051G_007EA,B10051G_007MA,state
0400000US01,651,277,239,149,171,115,68,100,412,247,317,225,95,100,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1828,705,1010,499,574,418,436,302,818,440,556,320,262,303,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17010,2251,7340,1457,4955,1344,2385,745,9670,1991,4827,1526,4843,1154,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4884,1257,1654,524,1031,403,623,347,3230,1145,1675,782,1555,649,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,9743,1578,3744,1071,2259,908,1485,580,5999,1330,3997,1110,2002,627,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
