GEO_ID,B15002B_001E,B15002B_001M,B15002B_002E,B15002B_002M,B15002B_003E,B15002B_003M,B15002B_004E,B15002B_004M,B15002B_005E,B15002B_005M,B15002B_006E,B15002B_006M,B15002B_007E,B15002B_007M,B15002B_008E,B15002B_008M,B15002B_009E,B15002B_009M,B15002B_010E,B15002B_010M,B15002B_011E,B15002B_011M,B15002B_012E,B15002B_012M,B15002B_013E,B15002B_013M,B15002B_014E,B15002B_014M,B15002B_015E,B15002B_015M,B15002B_016E,B15002B_016M,B15002B_017E,B15002B_017M,NAME,B15002B_001EA,B15002B_001MA,B15002B_002EA,B15002B_002MA,B15002B_003EA,B15002B_003MA,B15002B_004MA,B15002B_004EA,B15002B_005MA,B15002B_005EA,B15002B_006EA,B15002B_006MA,B15002B_007EA,B15002B_007MA,B15002B_008EA,B15002B_008MA,B15002B_009MA,B15002B_009EA,B15002B_010MA,B15002B_010EA,B15002B_011MA,B15002B_011EA,B15002B_012EA,B15002B_012MA,B15002B_013EA,B15002B_013MA,B15002B_014MA,B15002B_014EA,B15002B_015MA,B15002B_015EA,B15002B_016MA,B15002B_016EA,B15002B_017EA,B15002B_017MA,state
0400000US01,710635,3556,314837,2457,26611,2115,57854,3047,123422,4978,56207,3806,16199,2438,23400,2843,11144,1715,395798,2660,29174,2403,68044,4053,126630,4575,77563,3659,28603,2547,42484,3119,23300,2450,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,12652,1067,6658,835,94,147,431,425,2517,1154,1314,692,1016,656,736,661,550,453,5994,668,302,415,690,588,1513,841,1683,868,937,704,319,391,550,290,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,123037,2163,63409,1360,2155,771,6305,1611,15909,2437,17477,2148,6823,1482,10539,1867,4201,993,59628,1435,2006,661,4442,1038,14334,1943,15705,2077,7833,1600,8857,1512,6451,1327,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,248308,3178,111149,2440,9977,1451,17646,2065,47176,3140,21406,2385,5347,1275,6839,1327,2758,1011,137159,2107,9066,1388,21683,2332,50628,3131,26821,2746,9025,1460,13576,1648,6360,1091,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1365596,7114,649288,5242,21489,2083,77187,4860,193126,7665,167082,6213,60849,4380,87038,5298,42517,3304,716308,4325,22036,2283,74708,4136,183397,7538,205567,6918,75473,4867,98414,4945,56713,3957,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,108083,2481,56052,1941,1104,431,4718,1067,16216,2038,14837,2274,6228,1337,8469,1842,4480,1200,52031,1674,2386,981,5510,1312,15934,1974,14982,2024,4982,1379,5484,1121,2753,828,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,196621,2402,89067,1544,4834,1091,10690,1196,34149,2455,19613,2104,6583,1493,8637,1520,4561,1067,107554,1627,7115,1331,13654,1793,35636,2633,26053,2321,8966,1560,11090,2039,5040,1088,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,104931,1110,47741,838,2078,685,7856,1522,18049,2025,8449,1362,1891,767,6300,1555,3118,940,57190,647,2819,797,6671,1134,22002,2259,10388,1701,4213,1067,7539,1540,3558,894,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,209733,1652,89023,747,6373,1188,12862,1440,31501,2932,14960,1748,4795,1320,11136,1682,7396,1464,120710,1247,6785,1107,19160,2296,38277,2664,26106,2363,6288,1319,13151,1693,10943,1508,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1590956,7996,737073,5142,57498,4136,126828,5193,269795,8637,123004,6047,55661,4608,73011,5262,31276,2712,853883,5091,65680,4525,118644,5307,293091,8802,159005,6535,73788,4543,94564,6383,49111,3580,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
