GEO_ID,B19001D_001E,B19001D_001M,B19001D_002E,B19001D_002M,B19001D_003E,B19001D_003M,B19001D_004E,B19001D_004M,B19001D_005E,B19001D_005M,B19001D_006E,B19001D_006M,B19001D_007E,B19001D_007M,B19001D_008E,B19001D_008M,B19001D_009E,B19001D_009M,B19001D_010E,B19001D_010M,B19001D_011E,B19001D_011M,B19001D_012E,B19001D_012M,B19001D_013E,B19001D_013M,B19001D_014E,B19001D_014M,B19001D_015E,B19001D_015M,B19001D_016E,B19001D_016M,B19001D_017E,B19001D_017M,NAME,B19001D_001MA,B19001D_001EA,B19001D_002MA,B19001D_002EA,B19001D_003MA,B19001D_003EA,B19001D_004EA,B19001D_004MA,B19001D_005EA,B19001D_005MA,B19001D_006MA,B19001D_006EA,B19001D_007MA,B19001D_007EA,B19001D_008MA,B19001D_008EA,B19001D_009EA,B19001D_009MA,B19001D_010EA,B19001D_010MA,B19001D_011MA,B19001D_011EA,B19001D_012MA,B19001D_012EA,B19001D_013MA,B19001D_013EA,B19001D_014MA,B19001D_014EA,B19001D_015EA,B19001D_015MA,B19001D_016MA,B19001D_016EA,B19001D_017MA,B19001D_017EA,state
0400000US01,14366,1245,1763,726,624,361,332,247,1413,556,351,179,468,387,581,356,1181,540,898,448,1014,435,1556,632,1591,582,716,332,643,319,908,380,327,304,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8168,858,296,284,307,214,384,297,292,250,714,395,262,230,335,231,346,278,409,313,832,436,1043,644,1299,501,653,368,585,339,305,203,106,113,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,49897,2533,4414,1263,1659,654,3025,896,2870,949,1530,598,3179,956,2736,820,2258,737,1679,593,4120,893,5733,1215,5538,1272,4773,1169,2273,791,2128,646,1982,669,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,8564,1203,404,305,608,418,380,309,724,528,552,456,491,323,333,237,752,377,331,254,501,292,1160,575,989,508,688,398,221,196,384,258,46,79,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1385718,11477,93146,4714,56122,3340,52703,3733,51782,3459,46841,2768,55482,3956,47332,3477,50701,4232,52139,3607,88206,3911,146597,5857,193546,6229,155396,6507,96806,4565,105661,5256,93258,4610,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,44814,2463,4019,1195,1851,739,1849,755,2672,1055,904,534,2811,724,2461,883,2501,774,1753,606,3232,1015,4417,1155,5685,1328,4389,998,1875,593,3207,850,1188,532,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,38016,1773,2342,842,631,426,321,228,1114,518,841,459,1340,548,1289,586,1597,672,1085,458,2571,824,4625,1236,5214,1044,5251,1066,3005,861,3475,957,3315,911,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7971,641,416,258,55,90,374,297,284,220,134,119,179,206,239,217,463,348,229,183,656,312,1127,519,1457,505,571,398,681,325,487,334,619,385,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9418,1114,717,410,418,347,303,269,437,367,215,237,268,222,633,468,292,303,420,389,523,387,1421,763,1241,686,621,413,424,306,733,409,752,462,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,125525,3690,7887,1376,4252,1006,4366,975,6312,1536,6502,1380,6031,1300,5842,1023,7776,1309,4985,982,11091,1426,16157,1906,16878,1890,10061,1474,5478,1101,5409,1049,6498,1145,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
