GEO_ID,B05003G_001E,B05003G_001M,B05003G_002E,B05003G_002M,B05003G_003E,B05003G_003M,B05003G_004E,B05003G_004M,B05003G_005E,B05003G_005M,B05003G_006E,B05003G_006M,B05003G_007E,B05003G_007M,B05003G_008E,B05003G_008M,B05003G_009E,B05003G_009M,B05003G_010E,B05003G_010M,B05003G_011E,B05003G_011M,B05003G_012E,B05003G_012M,B05003G_013E,B05003G_013M,B05003G_014E,B05003G_014M,B05003G_015E,B05003G_015M,B05003G_016E,B05003G_016M,B05003G_017E,B05003G_017M,B05003G_018E,B05003G_018M,B05003G_019E,B05003G_019M,B05003G_020E,B05003G_020M,B05003G_021E,B05003G_021M,B05003G_022E,B05003G_022M,B05003G_023E,B05003G_023M,NAME,B05003G_001EA,B05003G_001MA,B05003G_002EA,B05003G_002MA,B05003G_003MA,B05003G_003EA,B05003G_004MA,B05003G_004EA,B05003G_005MA,B05003G_005EA,B05003G_006MA,B05003G_006EA,B05003G_007EA,B05003G_007MA,B05003G_008EA,B05003G_008MA,B05003G_009MA,B05003G_009EA,B05003G_010MA,B05003G_010EA,B05003G_011MA,B05003G_011EA,B05003G_012EA,B05003G_012MA,B05003G_013EA,B05003G_013MA,B05003G_014MA,B05003G_014EA,B05003G_015MA,B05003G_015EA,B05003G_016MA,B05003G_016EA,B05003G_017MA,B05003G_017EA,B05003G_018EA,B05003G_018MA,B05003G_019EA,B05003G_019MA,B05003G_020MA,B05003G_020EA,B05003G_021MA,B05003G_021EA,B05003G_022MA,B05003G_022EA,B05003G_023EA,B05003G_023MA,state
0400000US01,47043,4036,22777,2470,10239,1866,10239,1866,0,265,0,265,0,265,12538,1541,12118,1576,420,276,107,94,313,261,24266,2707,8818,1732,8818,1732,0,265,0,265,0,265,15448,1674,14358,1596,1090,463,725,395,365,244,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,150271,10832,74519,5897,39552,4452,39212,4392,340,401,290,391,50,84,34967,2937,30275,2872,4692,1117,2452,709,2240,832,75752,6659,40345,4703,40286,4708,59,96,0,291,59,96,35407,3335,31370,2981,4037,1095,2182,757,1855,662,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1211445,26548,598114,15665,293472,11164,290199,11275,3273,981,1207,637,2066,719,304642,9902,262602,9210,42040,3677,20848,2681,21192,2400,613331,16114,294473,11027,292154,11099,2319,783,662,386,1657,686,318858,8928,271703,8090,47155,3252,25011,2376,22144,2638,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,125077,7048,61216,4363,31714,3115,31357,3129,357,340,215,298,142,159,29502,2799,26937,2611,2565,1000,1266,654,1299,647,63861,4556,32580,2954,31904,2916,676,516,371,428,305,222,31281,2929,29205,2800,2076,761,1185,677,891,396,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,63188,5676,31175,3483,16426,2139,16114,2108,312,347,0,269,312,347,14749,2241,12240,1993,2509,823,1626,694,883,414,32013,3138,14840,2183,14432,2234,408,511,364,495,44,78,17173,2052,14766,1876,2407,758,1137,531,1270,597,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8970,2349,3985,1474,1895,1101,1895,1101,0,292,0,292,0,292,2090,745,1726,673,364,236,276,214,88,103,4985,1497,1351,836,1351,836,0,292,0,292,0,292,3634,949,3206,897,428,288,252,229,176,174,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,316887,13353,157605,7642,66814,4702,63224,4715,3590,1233,974,540,2616,953,90791,5398,59232,4406,31559,4101,13604,1933,17955,3442,159282,7844,71543,4919,68806,4699,2737,1023,525,351,2212,932,87739,4937,57669,3340,30070,3217,17402,2259,12668,2213,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
