GEO_ID,B17010F_001E,B17010F_001M,B17010F_002E,B17010F_002M,B17010F_003E,B17010F_003M,B17010F_004E,B17010F_004M,B17010F_005E,B17010F_005M,B17010F_006E,B17010F_006M,B17010F_007E,B17010F_007M,B17010F_008E,B17010F_008M,B17010F_009E,B17010F_009M,B17010F_010E,B17010F_010M,B17010F_011E,B17010F_011M,B17010F_012E,B17010F_012M,B17010F_013E,B17010F_013M,B17010F_014E,B17010F_014M,B17010F_015E,B17010F_015M,B17010F_016E,B17010F_016M,B17010F_017E,B17010F_017M,B17010F_018E,B17010F_018M,B17010F_019E,B17010F_019M,B17010F_020E,B17010F_020M,B17010F_021E,B17010F_021M,B17010F_022E,B17010F_022M,B17010F_023E,B17010F_023M,B17010F_024E,B17010F_024M,B17010F_025E,B17010F_025M,B17010F_026E,B17010F_026M,B17010F_027E,B17010F_027M,B17010F_028E,B17010F_028M,B17010F_029E,B17010F_029M,B17010F_030E,B17010F_030M,B17010F_031E,B17010F_031M,B17010F_032E,B17010F_032M,B17010F_033E,B17010F_033M,B17010F_034E,B17010F_034M,B17010F_035E,B17010F_035M,B17010F_036E,B17010F_036M,B17010F_037E,B17010F_037M,B17010F_038E,B17010F_038M,B17010F_039E,B17010F_039M,B17010F_040E,B17010F_040M,B17010F_041E,B17010F_041M,NAME,B17010F_001MA,B17010F_001EA,B17010F_002MA,B17010F_002EA,B17010F_003MA,B17010F_003EA,B17010F_004EA,B17010F_004MA,B17010F_005MA,B17010F_005EA,B17010F_006MA,B17010F_006EA,B17010F_007MA,B17010F_007EA,B17010F_008EA,B17010F_008MA,B17010F_009EA,B17010F_009MA,B17010F_010MA,B17010F_010EA,B17010F_011MA,B17010F_011EA,B17010F_012MA,B17010F_012EA,B17010F_013EA,B17010F_013MA,B17010F_014MA,B17010F_014EA,B17010F_015MA,B17010F_015EA,B17010F_016MA,B17010F_016EA,B17010F_017MA,B17010F_017EA,B17010F_018EA,B17010F_018MA,B17010F_019EA,B17010F_019MA,B17010F_020MA,B17010F_020EA,B17010F_021MA,B17010F_021EA,B17010F_022MA,B17010F_022EA,B17010F_023MA,B17010F_023EA,B17010F_024EA,B17010F_024MA,B17010F_025MA,B17010F_025EA,B17010F_026MA,B17010F_026EA,B17010F_027MA,B17010F_027EA,B17010F_028MA,B17010F_028EA,B17010F_029EA,B17010F_029MA,B17010F_030EA,B17010F_030MA,B17010F_031MA,B17010F_031EA,B17010F_032MA,B17010F_032EA,B17010F_033EA,B17010F_033MA,B17010F_034MA,B17010F_034EA,B17010F_035EA,B17010F_035MA,B17010F_036MA,B17010F_036EA,B17010F_037MA,B17010F_037EA,B17010F_038EA,B17010F_038MA,B17010F_039MA,B17010F_039EA,B17010F_040EA,B17010F_040MA,B17010F_041EA,B17010F_041MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,136845,5388,22865,2592,10611,1679,8323,1433,486,439,3169,779,4668,1174,2288,884,12254,1955,1587,623,1066,535,89,109,373,337,604,455,521,448,10667,1745,9891,1684,1506,582,3695,766,4690,1443,776,438,113980,5494,79862,4692,55297,3726,8499,1347,15391,1937,31407,2622,24565,2388,34118,3040,12119,1737,7850,1440,1602,732,1932,841,4316,1183,4269,1170,21999,2367,15614,2186,1934,713,3523,1056,10157,1730,6385,1214,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14253,1694,3730,1039,1981,955,1981,955,552,472,968,682,461,350,0,257,1749,601,800,410,800,410,312,285,258,208,230,278,0,257,949,460,908,458,356,351,393,249,159,146,41,72,10523,1577,6590,1381,5494,1258,1112,605,1626,557,2756,876,1096,581,3933,1196,2897,1110,2148,1010,316,329,789,544,1043,730,749,473,1036,399,512,301,79,96,140,145,293,247,524,367,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1306489,14997,225796,8820,101937,5934,89828,5626,10816,1839,39066,3072,39946,3616,12109,1815,123859,5994,24245,2909,20410,2700,4195,1156,7092,1743,9123,1714,3835,1186,99614,5426,92904,5392,11814,1937,30353,2719,50737,4432,6710,1401,1080693,14324,752435,10273,543469,9956,84835,4664,156558,6284,302076,8292,208966,6320,328258,9742,136551,7030,86651,6050,20021,2934,20416,2748,46214,4343,49900,4027,191707,8033,135671,6692,16597,2282,30896,2780,88178,5821,56036,3948,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,79018,3686,16172,2116,6187,1425,5093,1208,482,406,2329,817,2282,846,1094,592,9985,1781,1614,727,1424,672,555,510,58,100,811,443,190,314,8371,1697,7834,1695,1615,786,3259,1207,2960,919,537,341,62846,3584,46410,3359,31455,2965,4649,1110,9834,1918,16972,2164,14955,1904,16436,2174,7854,1629,4469,1185,1075,659,975,576,2419,898,3385,1252,8582,1421,5773,1088,766,402,738,430,4269,947,2809,912,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,41946,2773,10100,1551,2044,694,1763,639,296,291,378,305,1089,585,281,273,8056,1362,944,514,891,508,439,342,149,252,303,253,53,88,7112,1232,6459,1170,1277,560,2559,885,2623,834,653,356,31846,2905,17163,1928,11563,1697,2630,765,2365,703,6568,1421,5600,1107,14683,2115,5000,1145,2708,851,826,633,215,267,1667,662,2292,794,9683,1733,8251,1582,1759,776,720,446,5772,1389,1432,525,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,170279,7394,26354,2753,9650,1631,7109,1341,1580,756,3013,806,2516,626,2541,768,16704,2299,2651,951,2488,943,555,398,704,590,1229,591,163,155,14053,2018,12425,1941,2504,817,3994,1154,5927,1388,1628,804,143925,6983,99205,5418,67472,4646,11159,1952,16306,2563,40007,3529,31733,2788,44720,3523,17960,2386,9208,1564,2536,882,1285,698,5387,1039,8752,1761,26760,2795,16956,2263,2915,1049,2256,1032,11785,1705,9804,1690,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
