GEO_ID,C19001B_001E,C19001B_001M,C19001B_002E,C19001B_002M,C19001B_003E,C19001B_003M,C19001B_004E,C19001B_004M,C19001B_005E,C19001B_005M,C19001B_006E,C19001B_006M,C19001B_007E,C19001B_007M,C19001B_008E,C19001B_008M,C19001B_009E,C19001B_009M,C19001B_010E,C19001B_010M,C19001B_011E,C19001B_011M,NAME,C19001B_001MA,C19001B_001EA,C19001B_002MA,C19001B_002EA,C19001B_003MA,C19001B_003EA,C19001B_004MA,C19001B_004EA,C19001B_005MA,C19001B_005EA,C19001B_006EA,C19001B_006MA,C19001B_007MA,C19001B_007EA,C19001B_008MA,C19001B_008EA,C19001B_009EA,C19001B_009MA,C19001B_010MA,C19001B_010EA,C19001B_011MA,C19001B_011EA,state
0400000US01,448887,5986,93496,5110,46071,3510,83492,4366,61654,3096,58975,3467,59517,4487,25780,2558,15539,1979,2657,695,1706,569,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8562,1275,491,500,1148,747,1238,535,750,593,1616,828,1650,796,844,564,568,353,141,129,116,179,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,68262,2992,6700,1401,3896,981,8318,1724,9532,1821,11462,1825,15165,1982,5938,1159,4997,1171,1387,487,867,486,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,168141,3490,40317,3239,18595,2242,28482,2459,22007,2378,23210,2282,21754,2514,9443,1699,3346,833,987,504,0,257,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,787029,8861,95695,5046,64394,3626,94916,5853,90236,5006,109839,5636,138368,6590,89496,4971,69373,4110,21476,2313,13236,1957,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,70402,2919,10016,1764,5371,1190,9456,1762,10769,1854,11593,1793,10675,1778,5558,1271,4878,1127,1329,557,757,514,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,115178,2783,14726,1952,6921,1285,12781,2153,13848,1700,17967,2233,22489,2242,11632,1636,11214,1602,2284,847,1316,439,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,60254,2390,6221,1304,3827,978,8143,1475,6190,1423,11632,1714,11026,1701,6126,1416,5078,1008,1151,510,860,445,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,128356,2912,24797,2915,9188,1403,16407,2233,14429,1834,18835,1887,18401,1818,10953,1579,9296,1497,3245,973,2805,921,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,927344,10134,125700,5614,76620,4462,147464,6064,140701,7453,145550,6861,154815,5681,75012,4590,44169,3348,11199,1604,6114,1382,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,967558,8170,139823,5898,80844,4945,145210,6797,132877,5506,156871,6288,160115,6485,81919,5250,49881,3440,11687,1903,8331,1388,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,10904,1472,452,470,366,274,607,418,1922,806,2219,1023,2201,905,1600,824,1476,715,61,100,0,267,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,650529,6855,113603,5206,56309,3945,95713,4605,70955,4772,91469,5206,112541,5795,53943,3734,40467,2973,9520,1641,6009,1268,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,205037,4794,38451,3401,16390,1947,35677,3165,28985,2595,29181,2467,30052,2850,16501,1843,6760,1173,2170,801,870,508,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,25076,1581,4873,1176,2193,841,4754,1299,4098,1249,3466,890,2960,925,1739,760,709,446,284,306,0,221,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,60167,2615,12110,1796,5066,1237,8510,1442,9159,1249,8719,1351,8628,1171,3700,908,3319,819,867,529,89,99,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,122975,3383,22994,2618,13474,2072,20731,2250,17626,2106,18428,2241,16315,1722,7538,966,4857,1072,692,413,320,248,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,443547,6389,98346,5557,54394,4015,76199,4814,57431,4037,56785,4609,57199,3375,22234,2290,15791,2208,3359,987,1809,790,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3341,675,378,276,326,327,117,117,775,394,837,399,300,265,388,382,166,189,0,223,54,116,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,579296,6323,46963,3228,27377,2688,51126,3611,67964,4924,84494,4753,118856,5278,77971,3790,71831,3545,21815,1971,10899,1713,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,130114,3319,21191,2693,8517,1452,16393,2364,14919,2052,16206,1985,25444,2489,14193,1731,8436,1667,2345,781,2470,808,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,499864,5741,87876,4645,44059,2723,74675,4469,66920,4425,75682,4386,74894,4064,37069,3084,28463,2647,7157,1298,3069,815,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,75245,2721,15836,1985,5230,1255,13030,2210,8194,1523,11002,1612,11776,1533,4858,1221,3659,1017,799,414,861,458,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,371634,5142,80025,4324,48623,3689,74541,3864,48308,3435,50278,3320,44308,2763,15761,2133,7260,1362,1312,519,1218,621,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,250716,5229,46024,3954,24880,2405,43410,3747,32900,2433,37328,2904,35764,3026,16124,1994,10770,1661,2617,964,899,462,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,27562,1621,4576,1183,3396,956,4275,1161,3985,938,3711,861,4158,938,1500,430,1807,582,154,141,0,213,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,67663,2418,5930,1334,3359,1067,7472,1401,9799,1555,11069,1570,13619,1829,8538,1554,4912,1163,1856,722,1109,496,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,4476,938,716,513,134,224,415,402,731,574,599,583,700,434,528,401,283,284,199,207,171,396,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,408761,5534,47581,3793,26832,2778,43179,2932,44738,3016,63811,4012,72948,3920,48986,3841,38935,3029,14302,1941,7449,1262,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,12573,1403,2297,833,860,405,1140,516,1581,543,2201,818,2778,758,604,362,1112,551,0,279,0,279,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1016159,9408,162647,7059,79951,5101,117529,5690,122339,5932,144137,5400,170097,6813,99985,4180,83796,3448,24533,2583,11145,1426,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,709689,8386,120014,6249,66809,4612,120576,5970,104056,5812,113226,5336,104021,4965,45569,3746,28185,2692,3757,1072,3476,1049,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,526278,7293,107892,5421,50794,4291,85892,4426,79027,4472,72275,4219,68335,4171,33109,2771,22184,2355,4317,989,2453,641,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,98108,3143,20772,2236,11649,2120,18210,2208,12572,1710,13403,1863,10777,1822,6436,1226,3243,981,747,523,299,215,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,22825,1609,3254,907,3052,1061,3690,1075,2865,810,4540,1002,2936,925,1610,769,750,366,128,152,0,269,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,457508,6462,88174,4878,45003,3802,67966,4207,61651,4258,63166,3432,68463,4612,35417,3092,20782,2286,4181,963,2705,824,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,18318,1751,2673,876,1766,779,2947,1137,1731,751,2447,925,3199,1141,2227,650,1068,559,260,299,0,281,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,445766,5929,81460,3947,48238,3545,81229,5101,67639,4492,67254,3541,59223,3644,24723,3104,12780,1870,2171,822,1049,503,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,371621,6257,68246,3710,33272,3132,64087,4304,55019,4668,54546,4014,51665,3864,24701,2375,15774,2145,2996,1116,1315,644,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,935139,9257,152036,5866,79813,4436,141849,6170,122945,5938,140049,6512,143009,4861,74365,3875,58620,3868,13478,1581,8975,1525,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,6614,922,1100,563,549,393,685,383,338,233,1024,605,1418,613,1151,540,280,230,0,255,69,124,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,544034,6985,59074,3574,38552,2840,69305,4246,73460,4322,93210,5056,98528,4999,49903,3495,41796,2926,12115,1726,8091,1507,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,75874,3159,8039,1505,5673,1411,11195,1616,8566,1470,11450,1776,14241,1869,7168,1528,7368,1423,1241,640,933,562,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,24058,1703,5456,1197,2881,897,4914,907,2570,779,4323,1094,2193,694,802,414,673,346,246,225,0,261,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,112112,2857,22724,2600,12096,1646,18862,2489,17806,1923,15257,1762,15255,1759,5811,1108,3172,828,658,413,471,327,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,99344,3378,31913,2414,12016,1402,17880,1718,13935,1249,10627,1242,8341,1214,2418,620,1484,495,215,246,515,319,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
