GEO_ID,B06004E_001E,B06004E_001M,B06004E_002E,B06004E_002M,B06004E_003E,B06004E_003M,B06004E_004E,B06004E_004M,B06004E_005E,B06004E_005M,NAME,B06004E_001EA,B06004E_001MA,B06004E_002MA,B06004E_002EA,B06004E_003MA,B06004E_003EA,B06004E_004EA,B06004E_004MA,B06004E_005MA,B06004E_005EA,state
0400000US01,3244,1920,552,496,790,532,641,873,1261,1128,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3753,753,1142,632,1497,629,352,359,762,549,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,10960,1605,2572,904,3719,837,1690,703,2979,1195,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2045,440,317,61,582,394,417,558,729,533,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,129483,4369,53631,4106,19382,2026,22654,3180,33816,3483,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3745,557,274,148,1787,710,1202,511,482,247,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9125,2086,1507,806,4072,1291,2034,824,1512,653,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4229,1977,939,769,2031,903,1157,1037,102,174,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,111488,4031,85092,4559,4886,1511,9093,2705,12417,3325,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3201,1013,1393,928,852,503,400,366,556,503,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1278,666,424,330,495,310,189,282,170,204,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3202,1204,174,222,1199,619,1324,946,505,285,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3511,1927,219,269,761,521,363,346,2168,1567,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,3321,1912,1451,1068,330,239,404,376,1136,806,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1423,767,595,466,643,456,17,31,168,175,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3333,1430,480,355,1002,649,695,592,1156,708,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,30
0400000US31,785,491,255,248,101,87,53,69,376,338,Nebraska,null,null,null,null,null,null,null,null,null,null,31
0400000US32,11169,1878,1746,757,5753,893,1710,765,1960,1246,Nevada,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,33
0400000US34,4362,2569,403,340,385,319,53,90,3521,2517,New Jersey,null,null,null,null,null,null,null,null,null,null,34
0400000US35,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,35
0400000US36,4927,1550,2121,936,1356,543,434,299,1016,624,New York,null,null,null,null,null,null,null,null,null,null,36
0400000US37,5320,1677,1264,722,1261,608,1565,636,1230,863,North Carolina,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2447,1353,712,558,855,579,18,34,862,724,Ohio,null,null,null,null,null,null,null,null,null,null,39
