GEO_ID,C21001D_001E,C21001D_001M,C21001D_002E,C21001D_002M,C21001D_003E,C21001D_003M,C21001D_004E,C21001D_004M,C21001D_005E,C21001D_005M,C21001D_006E,C21001D_006M,C21001D_007E,C21001D_007M,C21001D_008E,C21001D_008M,C21001D_009E,C21001D_009M,C21001D_010E,C21001D_010M,C21001D_011E,C21001D_011M,C21001D_012E,C21001D_012M,C21001D_013E,C21001D_013M,C21001D_014E,C21001D_014M,C21001D_015E,C21001D_015M,NAME,C21001D_001MA,C21001D_001EA,C21001D_002MA,C21001D_002EA,C21001D_003EA,C21001D_003MA,C21001D_004EA,C21001D_004MA,C21001D_005EA,C21001D_005MA,C21001D_006EA,C21001D_006MA,C21001D_007MA,C21001D_007EA,C21001D_008EA,C21001D_008MA,C21001D_009MA,C21001D_009EA,C21001D_010EA,C21001D_010MA,C21001D_011EA,C21001D_011MA,C21001D_012MA,C21001D_012EA,C21001D_013EA,C21001D_013MA,C21001D_014EA,C21001D_014MA,C21001D_015EA,C21001D_015MA,state
0400000US01,34039,2204,15380,1719,14445,1584,464,311,13981,1534,935,501,34,55,901,502,18659,1274,17291,1205,12,21,17279,1205,1368,522,0,265,1368,522,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23240,1170,10137,991,9328,1041,606,388,8722,1111,809,313,110,121,699,321,13103,799,11289,849,52,61,11237,859,1814,399,0,235,1814,399,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,112476,1532,52168,1080,47802,1105,3686,1038,44116,1320,4366,413,812,364,3554,475,60308,1245,54206,1169,1176,688,53030,1233,6102,345,0,291,6102,345,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20174,1412,8196,901,7692,905,180,178,7512,896,504,300,197,198,307,241,11978,964,10868,1000,50,79,10818,1014,1110,431,0,257,1110,431,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3524223,9953,1659677,5795,1450332,5576,67896,3991,1382436,6778,209345,1523,36551,2546,172794,2927,1864546,6361,1577468,6141,6968,1319,1570500,6409,287078,1480,1451,566,285627,1565,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,101023,2574,47254,1766,43700,1727,2700,814,41000,1763,3554,793,932,482,2622,719,53769,1625,48234,1470,574,308,47660,1565,5535,806,0,271,5535,806,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,89050,1468,43272,1134,40136,1102,919,493,39217,1198,3136,534,309,221,2827,497,45778,874,42196,978,378,371,41818,1046,3582,453,0,269,3582,453,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,17719,800,8276,527,7431,551,327,277,7104,602,845,251,161,142,684,249,9443,443,8463,483,48,75,8415,506,980,169,60,112,920,205,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17372,422,7495,425,7066,458,563,557,6503,617,429,256,168,245,261,196,9877,495,8734,357,79,128,8655,385,1143,309,0,292,1143,309,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,304914,3305,141768,2268,128016,2320,6933,1270,121083,2467,13752,1012,2327,775,11425,916,163146,2137,145487,2037,1561,708,143926,2107,17659,1047,188,183,17471,1047,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
