GEO_ID,B10051F_001E,B10051F_001M,B10051F_002E,B10051F_002M,B10051F_003E,B10051F_003M,B10051F_004E,B10051F_004M,B10051F_005E,B10051F_005M,B10051F_006E,B10051F_006M,B10051F_007E,B10051F_007M,NAME,B10051F_001MA,B10051F_001EA,B10051F_002MA,B10051F_002EA,B10051F_003EA,B10051F_003MA,B10051F_004EA,B10051F_004MA,B10051F_005EA,B10051F_005MA,B10051F_006EA,B10051F_006MA,B10051F_007MA,B10051F_007EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,20518,2844,8983,1712,7009,1616,1974,659,11535,2234,6720,1637,4815,1321,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,240784,10110,59641,5709,44508,4725,15133,2608,181143,8491,100693,6057,80450,6134,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,12045,2151,5440,1361,4676,1346,764,435,6605,1440,3805,1015,2800,1070,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,5351,1553,2360,1036,2139,992,221,263,2991,1338,1514,774,1477,1001,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,21431,3258,5652,1522,3560,1091,2092,797,15779,2727,8253,1907,7526,1691,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5730,1668,1388,848,973,760,415,385,4342,1377,2282,1199,2060,943,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,32739,3589,10880,2357,8163,2090,2717,1050,21859,2921,10845,2291,11014,2113,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3482,1112,1583,633,1472,604,111,137,1899,866,1629,750,270,413,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2841,927,1083,618,873,526,210,246,1758,723,740,536,1018,452,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3132,1214,589,386,529,371,60,99,2543,1105,1072,621,1471,956,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
