GEO_ID,C19037D_001E,C19037D_001M,C19037D_002E,C19037D_002M,C19037D_003E,C19037D_003M,C19037D_004E,C19037D_004M,C19037D_005E,C19037D_005M,C19037D_006E,C19037D_006M,C19037D_007E,C19037D_007M,C19037D_008E,C19037D_008M,C19037D_009E,C19037D_009M,C19037D_010E,C19037D_010M,C19037D_011E,C19037D_011M,C19037D_012E,C19037D_012M,C19037D_013E,C19037D_013M,C19037D_014E,C19037D_014M,C19037D_015E,C19037D_015M,C19037D_016E,C19037D_016M,C19037D_017E,C19037D_017M,C19037D_018E,C19037D_018M,C19037D_019E,C19037D_019M,C19037D_020E,C19037D_020M,C19037D_021E,C19037D_021M,C19037D_022E,C19037D_022M,C19037D_023E,C19037D_023M,C19037D_024E,C19037D_024M,C19037D_025E,C19037D_025M,C19037D_026E,C19037D_026M,C19037D_027E,C19037D_027M,C19037D_028E,C19037D_028M,C19037D_029E,C19037D_029M,C19037D_030E,C19037D_030M,C19037D_031E,C19037D_031M,C19037D_032E,C19037D_032M,C19037D_033E,C19037D_033M,C19037D_034E,C19037D_034M,C19037D_035E,C19037D_035M,C19037D_036E,C19037D_036M,C19037D_037E,C19037D_037M,C19037D_038E,C19037D_038M,C19037D_039E,C19037D_039M,C19037D_040E,C19037D_040M,C19037D_041E,C19037D_041M,C19037D_042E,C19037D_042M,C19037D_043E,C19037D_043M,C19037D_044E,C19037D_044M,C19037D_045E,C19037D_045M,NAME,C19037D_001MA,C19037D_001EA,C19037D_002MA,C19037D_002EA,C19037D_003EA,C19037D_003MA,C19037D_004MA,C19037D_004EA,C19037D_005MA,C19037D_005EA,C19037D_006MA,C19037D_006EA,C19037D_007MA,C19037D_007EA,C19037D_008EA,C19037D_008MA,C19037D_009EA,C19037D_009MA,C19037D_010MA,C19037D_010EA,C19037D_011MA,C19037D_011EA,C19037D_012MA,C19037D_012EA,C19037D_013EA,C19037D_013MA,C19037D_014EA,C19037D_014MA,C19037D_015MA,C19037D_015EA,C19037D_016MA,C19037D_016EA,C19037D_017MA,C19037D_017EA,C19037D_018MA,C19037D_018EA,C19037D_019MA,C19037D_019EA,C19037D_020EA,C19037D_020MA,C19037D_021MA,C19037D_021EA,C19037D_022MA,C19037D_022EA,C19037D_023MA,C19037D_023EA,C19037D_024MA,C19037D_024EA,C19037D_025EA,C19037D_025MA,C19037D_026MA,C19037D_026EA,C19037D_027MA,C19037D_027EA,C19037D_028MA,C19037D_028EA,C19037D_029MA,C19037D_029EA,C19037D_030MA,C19037D_030EA,C19037D_031EA,C19037D_031MA,C19037D_032MA,C19037D_032EA,C19037D_033MA,C19037D_033EA,C19037D_034MA,C19037D_034EA,C19037D_035MA,C19037D_035EA,C19037D_036EA,C19037D_036MA,C19037D_037MA,C19037D_037EA,C19037D_038MA,C19037D_038EA,C19037D_039MA,C19037D_039EA,C19037D_040MA,C19037D_040EA,C19037D_041MA,C19037D_041EA,C19037D_042EA,C19037D_042MA,C19037D_043MA,C19037D_043EA,C19037D_044MA,C19037D_044EA,C19037D_045MA,C19037D_045EA,state
0400000US01,14366,1245,979,450,527,424,92,155,85,102,0,265,171,207,104,156,0,265,0,265,0,265,0,265,8166,1098,974,606,452,297,848,554,510,344,1661,697,1764,547,754,389,719,330,449,336,35,61,4364,909,262,204,80,138,391,254,296,221,656,311,630,313,776,509,522,307,459,250,292,299,857,356,0,265,0,265,421,280,13,23,172,167,72,92,61,61,118,121,0,265,0,265,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,49897,2533,3117,815,1035,449,256,271,249,235,331,275,288,283,662,525,31,48,265,274,0,291,0,291,27532,1906,2148,955,460,336,3317,987,2534,860,3407,916,6176,1320,3775,1143,3658,908,1252,594,805,433,14548,1486,510,300,346,257,1757,715,1145,597,2293,771,2435,632,1401,453,2708,820,833,427,1120,461,4700,665,721,402,597,342,572,349,699,374,685,317,580,268,331,255,415,301,43,50,57,94,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1385718,11477,51596,3253,16777,1674,3069,737,7776,1677,5768,1308,6173,1279,5867,1176,3095,870,1927,718,701,407,443,314,609401,8466,26033,2609,13243,1570,28316,3141,43579,3242,64806,4354,113986,4578,94305,4930,129044,5502,52073,3894,44016,3252,530030,7082,23021,2073,16147,1912,34736,2955,34214,3216,55535,3699,88250,3872,82138,4202,104651,4940,47828,3259,43510,2999,194691,5234,27315,2124,23663,2387,33657,3266,18762,2227,23658,1994,26700,2194,14008,1490,16580,1735,5059,956,5289,1021,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,44814,2463,3214,998,809,570,168,258,596,402,364,257,578,391,615,482,84,121,0,271,0,271,0,271,23872,1971,1636,661,1038,630,2260,1060,1971,758,4174,844,3947,1059,2650,933,3689,880,1651,615,856,466,13535,1557,1139,590,384,296,956,585,924,478,1339,702,2326,841,2427,692,2320,707,1494,627,226,178,4193,963,435,349,261,228,709,396,456,249,624,347,761,404,524,432,255,209,62,100,106,168,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,38016,1773,2102,698,665,488,153,191,80,131,357,309,52,95,216,310,0,269,428,381,151,190,0,269,22216,1246,859,437,402,337,659,344,1035,496,2727,849,4907,1165,3357,800,4719,1084,2262,792,1289,577,11240,944,441,332,76,132,347,245,682,419,911,524,1746,610,1695,587,2836,801,933,418,1573,717,2458,642,377,315,0,269,349,246,107,108,281,217,327,232,162,175,273,217,129,150,453,249,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,125525,3690,5068,1098,1848,649,413,325,269,239,642,395,919,397,671,449,208,214,56,96,42,65,0,300,61407,3448,2464,805,1535,617,4511,1188,5341,1203,9323,1557,14040,1926,10035,1634,8115,1357,3202,785,2841,827,47016,2506,1957,755,921,511,4453,1190,5148,1265,6442,1379,11138,1362,5697,1040,6624,1088,1738,606,2898,872,12034,1401,1618,705,1383,607,1445,461,1402,481,1919,681,1399,520,938,443,744,354,427,239,759,363,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
