GEO_ID,B25032F_001E,B25032F_001M,B25032F_002E,B25032F_002M,B25032F_003E,B25032F_003M,B25032F_004E,B25032F_004M,B25032F_005E,B25032F_005M,B25032F_006E,B25032F_006M,B25032F_007E,B25032F_007M,B25032F_008E,B25032F_008M,B25032F_009E,B25032F_009M,B25032F_010E,B25032F_010M,B25032F_011E,B25032F_011M,NAME,B25032F_001EA,B25032F_001MA,B25032F_002EA,B25032F_002MA,B25032F_003MA,B25032F_003EA,B25032F_004MA,B25032F_004EA,B25032F_005MA,B25032F_005EA,B25032F_006MA,B25032F_006EA,B25032F_007EA,B25032F_007MA,B25032F_008EA,B25032F_008MA,B25032F_009MA,B25032F_009EA,B25032F_010MA,B25032F_010EA,B25032F_011MA,B25032F_011EA,state
0400000US01,15625,1780,6534,1251,218,223,267,276,976,700,1139,729,415,343,254,283,0,189,5822,1283,0,189,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,116911,5669,69109,4069,3885,911,2426,755,5159,1102,5838,1546,8251,1830,4379,1353,5023,1391,12220,1797,621,601,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13311,1798,7384,1587,52,62,505,605,794,573,704,625,740,533,458,462,160,199,2514,772,0,190,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1230432,15796,643512,10473,79050,4273,40655,2820,96371,4999,95814,5544,79650,4445,76108,4376,65742,4078,52487,3581,1043,515,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,63373,4211,30966,2905,2758,883,1788,733,4213,1144,4009,1224,6875,1521,4570,1096,2420,754,5774,1349,0,192,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,56494,3721,12228,2142,2065,726,11813,2010,12202,1826,6556,1683,4495,1254,3335,1303,3675,853,125,165,0,197,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5811,1105,1836,622,1547,689,519,476,262,229,247,204,890,529,41,68,58,100,411,324,0,185,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8015,1323,426,302,1583,538,398,398,135,193,849,627,1661,827,1657,869,1306,633,0,198,0,198,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,134409,6730,58537,4308,8260,1709,4847,1160,9582,1938,12590,2109,11487,1868,9254,1644,6809,1266,12940,2388,103,128,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,69944,3896,36629,3375,2304,952,2481,1061,2746,947,5831,1417,5829,1471,1887,727,353,259,11884,2249,0,211,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,189010,5716,85131,4326,6528,1297,29428,2446,29415,2838,19283,2451,8033,1501,4937,1495,3819,1085,2357,674,79,100,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,40076,2918,24709,2461,1050,527,2945,1100,2467,789,2304,830,2295,882,859,482,588,373,2859,882,0,187,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,8767,1423,5243,931,92,119,317,295,283,218,752,548,348,321,264,229,263,278,1205,593,0,155,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,17702,1555,12377,1410,557,377,411,277,437,243,431,356,835,534,233,199,0,168,2421,653,0,168,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
