GEO_ID,B05003G_001E,B05003G_001M,B05003G_002E,B05003G_002M,B05003G_003E,B05003G_003M,B05003G_004E,B05003G_004M,B05003G_005E,B05003G_005M,B05003G_006E,B05003G_006M,B05003G_007E,B05003G_007M,B05003G_008E,B05003G_008M,B05003G_009E,B05003G_009M,B05003G_010E,B05003G_010M,B05003G_011E,B05003G_011M,B05003G_012E,B05003G_012M,B05003G_013E,B05003G_013M,B05003G_014E,B05003G_014M,B05003G_015E,B05003G_015M,B05003G_016E,B05003G_016M,B05003G_017E,B05003G_017M,B05003G_018E,B05003G_018M,B05003G_019E,B05003G_019M,B05003G_020E,B05003G_020M,B05003G_021E,B05003G_021M,B05003G_022E,B05003G_022M,B05003G_023E,B05003G_023M,NAME,B05003G_001EA,B05003G_001MA,B05003G_002MA,B05003G_002EA,B05003G_003MA,B05003G_003EA,B05003G_004EA,B05003G_004MA,B05003G_005EA,B05003G_005MA,B05003G_006EA,B05003G_006MA,B05003G_007MA,B05003G_007EA,B05003G_008MA,B05003G_008EA,B05003G_009MA,B05003G_009EA,B05003G_010EA,B05003G_010MA,B05003G_011EA,B05003G_011MA,B05003G_012EA,B05003G_012MA,B05003G_013MA,B05003G_013EA,B05003G_014MA,B05003G_014EA,B05003G_015EA,B05003G_015MA,B05003G_016EA,B05003G_016MA,B05003G_017EA,B05003G_017MA,B05003G_018MA,B05003G_018EA,B05003G_019EA,B05003G_019MA,B05003G_020MA,B05003G_020EA,B05003G_021EA,B05003G_021MA,B05003G_022EA,B05003G_022MA,B05003G_023MA,B05003G_023EA,state
0400000US01,84964,6399,41084,3561,20138,2610,20096,2614,42,77,0,189,42,77,20946,2311,19692,2293,1254,543,455,294,799,446,43880,4321,21871,2909,20716,2778,1155,945,43,48,1112,946,22009,2616,20718,2500,1291,539,690,424,601,374,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,224103,10975,110896,6344,54706,4412,54065,4411,641,458,252,263,389,392,56190,4342,48864,4014,7326,1367,4392,1176,2934,669,113207,6468,54965,4233,54463,4250,502,311,211,234,291,218,58242,4442,50040,4054,8202,1487,5023,1184,3179,931,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,64487,5713,29655,3232,12624,1797,12584,1788,40,65,40,65,0,190,17031,2221,15557,2123,1474,646,667,359,807,543,34832,3762,16002,2549,15888,2546,114,161,94,157,20,37,18830,2446,17701,2321,1129,625,456,378,673,389,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1779789,27724,880968,16598,387822,11829,378968,11719,8854,3291,1708,538,7146,3307,493146,10633,393541,9860,99605,5451,55793,4132,43812,3764,898821,17730,382084,12490,376103,12395,5981,1439,1670,601,4311,1363,516737,10187,413793,9202,102944,5474,60669,4015,42275,3733,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,184328,9649,89819,5295,39524,3044,39134,3021,390,253,109,116,281,254,50295,3377,45413,2871,4882,1187,2080,699,2802,887,94509,5799,40332,3781,39991,3803,341,304,79,134,262,272,54177,3525,49481,3366,4696,1035,1803,535,2893,807,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,103833,7876,51563,4493,24781,3115,23746,2959,1035,777,0,197,1035,777,26782,2792,21570,2462,5212,1249,2117,719,3095,980,52270,4674,26096,3059,25259,3155,837,546,187,208,650,490,26174,2596,21802,2253,4372,952,1962,516,2410,759,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24117,3277,11865,2002,7237,1629,7237,1629,0,185,0,185,0,185,4628,1292,3777,1160,851,640,429,331,422,391,12252,2161,7140,1480,7066,1463,74,127,74,127,0,185,5112,1123,4809,1093,303,250,277,248,26,46,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16731,2508,7302,1401,2876,853,2814,855,62,98,0,198,62,98,4426,954,3794,851,632,406,142,155,490,364,9429,1645,3036,979,2934,1011,102,112,0,198,102,112,6393,1105,5527,1005,866,410,422,273,444,324,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,475805,19977,234532,11952,110889,7167,108743,7145,2146,842,353,268,1793,775,123643,7208,90571,5638,33072,3920,18389,2442,14683,2529,241273,11371,109565,7614,106753,7674,2812,1062,942,522,1870,836,131708,7324,93584,5962,38124,3868,24020,3121,14104,2391,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
