GEO_ID,B19037F_001E,B19037F_001M,B19037F_002E,B19037F_002M,B19037F_003E,B19037F_003M,B19037F_004E,B19037F_004M,B19037F_005E,B19037F_005M,B19037F_006E,B19037F_006M,B19037F_007E,B19037F_007M,B19037F_008E,B19037F_008M,B19037F_009E,B19037F_009M,B19037F_010E,B19037F_010M,B19037F_011E,B19037F_011M,B19037F_012E,B19037F_012M,B19037F_013E,B19037F_013M,B19037F_014E,B19037F_014M,B19037F_015E,B19037F_015M,B19037F_016E,B19037F_016M,B19037F_017E,B19037F_017M,B19037F_018E,B19037F_018M,B19037F_019E,B19037F_019M,B19037F_020E,B19037F_020M,B19037F_021E,B19037F_021M,B19037F_022E,B19037F_022M,B19037F_023E,B19037F_023M,B19037F_024E,B19037F_024M,B19037F_025E,B19037F_025M,B19037F_026E,B19037F_026M,B19037F_027E,B19037F_027M,B19037F_028E,B19037F_028M,B19037F_029E,B19037F_029M,B19037F_030E,B19037F_030M,B19037F_031E,B19037F_031M,B19037F_032E,B19037F_032M,B19037F_033E,B19037F_033M,B19037F_034E,B19037F_034M,B19037F_035E,B19037F_035M,B19037F_036E,B19037F_036M,B19037F_037E,B19037F_037M,B19037F_038E,B19037F_038M,B19037F_039E,B19037F_039M,B19037F_040E,B19037F_040M,B19037F_041E,B19037F_041M,B19037F_042E,B19037F_042M,B19037F_043E,B19037F_043M,B19037F_044E,B19037F_044M,B19037F_045E,B19037F_045M,B19037F_046E,B19037F_046M,B19037F_047E,B19037F_047M,B19037F_048E,B19037F_048M,B19037F_049E,B19037F_049M,B19037F_050E,B19037F_050M,B19037F_051E,B19037F_051M,B19037F_052E,B19037F_052M,B19037F_053E,B19037F_053M,B19037F_054E,B19037F_054M,B19037F_055E,B19037F_055M,B19037F_056E,B19037F_056M,B19037F_057E,B19037F_057M,B19037F_058E,B19037F_058M,B19037F_059E,B19037F_059M,B19037F_060E,B19037F_060M,B19037F_061E,B19037F_061M,B19037F_062E,B19037F_062M,B19037F_063E,B19037F_063M,B19037F_064E,B19037F_064M,B19037F_065E,B19037F_065M,B19037F_066E,B19037F_066M,B19037F_067E,B19037F_067M,B19037F_068E,B19037F_068M,B19037F_069E,B19037F_069M,NAME,B19037F_001EA,B19037F_001MA,B19037F_002MA,B19037F_002EA,B19037F_003EA,B19037F_003MA,B19037F_004EA,B19037F_004MA,B19037F_005MA,B19037F_005EA,B19037F_006EA,B19037F_006MA,B19037F_007MA,B19037F_007EA,B19037F_008EA,B19037F_008MA,B19037F_009EA,B19037F_009MA,B19037F_010MA,B19037F_010EA,B19037F_011MA,B19037F_011EA,B19037F_012EA,B19037F_012MA,B19037F_013MA,B19037F_013EA,B19037F_014EA,B19037F_014MA,B19037F_015EA,B19037F_015MA,B19037F_016MA,B19037F_016EA,B19037F_017EA,B19037F_017MA,B19037F_018MA,B19037F_018EA,B19037F_019EA,B19037F_019MA,B19037F_020EA,B19037F_020MA,B19037F_021MA,B19037F_021EA,B19037F_022MA,B19037F_022EA,B19037F_023EA,B19037F_023MA,B19037F_024EA,B19037F_024MA,B19037F_025EA,B19037F_025MA,B19037F_026EA,B19037F_026MA,B19037F_027MA,B19037F_027EA,B19037F_028EA,B19037F_028MA,B19037F_029MA,B19037F_029EA,B19037F_030EA,B19037F_030MA,B19037F_031EA,B19037F_031MA,B19037F_032MA,B19037F_032EA,B19037F_033EA,B19037F_033MA,B19037F_034MA,B19037F_034EA,B19037F_035EA,B19037F_035MA,B19037F_036EA,B19037F_036MA,B19037F_037EA,B19037F_037MA,B19037F_038MA,B19037F_038EA,B19037F_039EA,B19037F_039MA,B19037F_040MA,B19037F_040EA,B19037F_041MA,B19037F_041EA,B19037F_042MA,B19037F_042EA,B19037F_043MA,B19037F_043EA,B19037F_044MA,B19037F_044EA,B19037F_045EA,B19037F_045MA,B19037F_046MA,B19037F_046EA,B19037F_047MA,B19037F_047EA,B19037F_048EA,B19037F_048MA,B19037F_049MA,B19037F_049EA,B19037F_050EA,B19037F_050MA,B19037F_051MA,B19037F_051EA,B19037F_052MA,B19037F_052EA,B19037F_053EA,B19037F_053MA,B19037F_054MA,B19037F_054EA,B19037F_055MA,B19037F_055EA,B19037F_056EA,B19037F_056MA,B19037F_057MA,B19037F_057EA,B19037F_058EA,B19037F_058MA,B19037F_059EA,B19037F_059MA,B19037F_060MA,B19037F_060EA,B19037F_061EA,B19037F_061MA,B19037F_062MA,B19037F_062EA,B19037F_063EA,B19037F_063MA,B19037F_064EA,B19037F_064MA,B19037F_065MA,B19037F_065EA,B19037F_066MA,B19037F_066EA,B19037F_067EA,B19037F_067MA,B19037F_068MA,B19037F_068EA,B19037F_069EA,B19037F_069MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,116911,5669,9800,1653,1243,545,817,394,732,343,1363,903,1260,662,1022,639,589,345,739,570,596,392,721,389,370,323,140,104,208,343,0,200,0,200,0,200,57015,4172,4790,1211,2926,962,5084,1159,4657,1060,3684,1091,2952,879,4707,1257,3423,997,3494,1046,5394,1413,5503,1146,5553,1258,2184,638,1490,886,640,387,534,440,39496,3251,3108,888,2999,910,2063,903,2557,818,2640,946,2778,884,3088,843,2129,802,1634,609,3733,1025,4268,1093,4217,973,1998,785,938,470,1035,468,311,222,10600,1095,1670,612,1468,460,994,377,1131,503,748,478,692,304,156,171,851,518,551,348,475,267,734,395,548,338,276,167,282,178,24,40,0,200,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1230432,15796,51541,3828,8165,1305,2913,833,4711,1020,4912,1034,4384,950,2976,881,4841,1216,3124,903,3031,845,4341,1131,2873,831,3606,937,711,398,588,507,322,287,43,72,590636,10415,31992,2895,29190,2807,35327,2632,44417,3885,40243,3195,44046,3199,37283,3122,33034,2754,29124,2965,55228,3734,63063,5010,64976,3648,39228,2811,18932,2213,15239,2291,9314,1761,476674,9107,20185,2142,22422,2290,24032,2379,27079,2442,24686,2561,25486,2336,28154,2805,26596,2637,24586,2055,43537,3461,52151,3499,67205,4225,39459,2990,20036,2312,18972,2240,12088,1759,111581,5175,12390,1695,14917,1721,10072,1652,8979,1203,6598,1256,8103,1194,5150,1178,4641,970,3883,871,6105,1259,9405,1483,8894,1215,5834,1140,2908,740,2347,833,1355,644,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,63373,4211,4945,1263,533,429,188,217,634,556,843,582,370,274,327,352,278,277,500,406,354,344,346,292,370,333,0,192,130,167,0,192,0,192,72,114,32127,3595,3004,904,2268,828,1920,748,2924,993,1732,690,1953,772,1862,735,2144,787,2623,1104,2963,1064,3327,1067,2395,1016,1621,651,200,175,954,553,237,242,19675,2274,2048,649,591,384,766,434,1323,623,801,528,1322,649,1112,487,802,381,859,421,1641,656,2070,838,3024,708,2086,826,610,467,369,268,251,197,6626,1050,816,454,1092,461,956,457,873,530,355,223,265,216,280,256,279,221,254,223,394,260,335,207,277,220,184,212,146,177,0,192,120,142,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,56494,3721,2194,763,254,222,132,165,495,428,203,268,247,247,81,134,74,127,156,208,114,183,168,200,72,118,0,197,198,331,0,197,0,197,0,197,28514,2527,2582,856,2092,698,2116,917,1588,624,3126,1076,1980,861,2103,892,2215,840,1872,887,2265,837,3259,996,1009,475,816,457,559,344,520,471,412,439,20698,2678,2899,982,1755,807,2397,816,971,451,661,494,1025,676,1196,819,690,410,650,448,1361,610,1893,909,2598,865,650,433,659,622,197,197,1096,633,5088,1096,1796,689,885,429,418,293,412,334,215,179,119,141,297,267,129,164,48,56,72,118,156,161,107,113,145,186,0,197,151,184,138,220,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,134409,6730,6246,1162,1351,716,875,561,564,453,0,214,706,372,580,473,153,193,542,326,278,300,458,307,364,281,247,295,72,119,56,92,0,214,0,214,66465,5089,5333,1248,2934,960,4602,1418,4677,1223,5899,1508,3409,1118,4363,1400,4419,1181,3844,1135,8140,2066,6424,1472,5750,1538,3405,1089,2034,784,692,432,540,465,48450,3212,3868,1165,2682,740,3299,873,3268,859,4553,1291,2191,711,3094,1116,2784,802,2319,804,4161,965,4747,1181,4640,1083,2943,959,1670,728,758,368,1473,811,13248,1952,2640,892,1298,563,1138,489,1335,666,1372,648,676,408,761,553,432,311,941,497,353,253,646,477,620,333,892,532,34,60,0,214,110,140,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
