B19101F_007E,B19101F_007M,B19101F_008E,B19101F_008M,B19101F_009E,B19101F_009M,B19101F_010E,B19101F_010M,B19101F_011E,B19101F_011M,B19101F_012E,B19101F_012M,B19101F_013E,B19101F_013M,B19101F_014E,B19101F_014M,B19101F_015E,B19101F_015M,B19101F_016E,B19101F_016M,B19101F_017E,B19101F_017M,GEO_ID,B19101F_001E,B19101F_001M,B19101F_002E,B19101F_002M,B19101F_003E,B19101F_003M,B19101F_004E,B19101F_004M,B19101F_005E,B19101F_005M,B19101F_006E,B19101F_006M,B19101F_007EA,B19101F_007MA,B19101F_008MA,B19101F_008EA,B19101F_009EA,B19101F_009MA,B19101F_010EA,B19101F_010MA,B19101F_011MA,B19101F_011EA,B19101F_012EA,B19101F_012MA,B19101F_013EA,B19101F_013MA,B19101F_014EA,B19101F_014MA,B19101F_015EA,B19101F_015MA,B19101F_016MA,B19101F_016EA,B19101F_017EA,B19101F_017MA,NAME,B19101F_001MA,B19101F_001EA,B19101F_002EA,B19101F_002MA,B19101F_003EA,B19101F_003MA,B19101F_004EA,B19101F_004MA,B19101F_005MA,B19101F_005EA,B19101F_006MA,B19101F_006EA,state
1111,578,637,449,750,534,405,316,985,585,918,478,174,196,142,123,365,550,0,189,183,218,0400000US01,12654,1660,1457,662,870,424,625,439,2163,841,1869,900,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
5849,1319,6370,1278,5649,1274,4798,1152,7876,1505,8981,1496,7787,1428,4036,1006,2303,778,1306,515,592,415,0400000US04,90737,5073,8819,1886,5114,1146,6718,1342,7950,1650,6589,1305,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
1179,629,840,492,838,524,569,376,538,343,1629,686,638,408,130,139,157,264,52,84,68,111,0400000US05,10499,1625,856,435,715,461,472,417,1080,524,738,415,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
67491,3926,63147,3580,58722,3276,52057,3878,85684,4768,104705,5594,116857,5589,68861,3728,34957,2850,32374,3037,17014,2397,0400000US06,1012995,12591,63220,3817,50559,3357,60908,3655,71835,4078,64604,3830,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,06
3083,815,3089,939,3192,1068,3685,1254,4148,1073,3733,1013,5380,1189,2988,948,875,547,778,383,639,365,0400000US08,47881,3832,3606,898,3060,925,2822,977,4362,1209,2441,781,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
1692,804,2862,1006,2364,852,2435,843,3006,880,3553,1103,3536,1050,1619,672,858,635,535,381,1391,745,0400000US09,40800,3022,3655,1011,3288,1066,4627,1015,2139,668,3240,977,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
5362,1389,6208,1486,6277,1370,5513,1164,9326,2036,8075,1514,9328,1838,6452,1574,3133,940,1058,440,1576,789,0400000US12,99329,6346,8031,1574,5193,1471,7070,1510,7000,1269,9727,1883,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
3923,1138,2912,1147,3883,1242,2793,1054,4314,1412,5399,1581,6137,1639,2778,1160,868,518,797,611,512,331,0400000US13,57143,3889,2860,1002,4787,1275,4852,1346,5411,1526,4917,1409,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
554,450,484,403,464,274,466,400,543,476,657,369,1025,483,225,240,0,190,0,190,0,190,0400000US16,7180,1160,275,285,119,122,886,628,984,440,498,414,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
9617,1759,9540,1767,10522,1578,9263,1525,13633,1798,20394,2245,19833,1899,9876,1638,5011,1126,3550,1014,1290,607,0400000US17,156306,5193,7066,1354,6214,1114,9161,1403,10263,1313,11073,1763,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
1126,504,1470,550,2445,906,1846,712,2041,718,3073,1093,2724,999,1746,848,610,391,858,599,78,93,0400000US18,30893,2720,2084,706,3395,1085,1963,936,2294,821,3140,1323,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
