GEO_ID,B19101D_001E,B19101D_001M,B19101D_002E,B19101D_002M,B19101D_003E,B19101D_003M,B19101D_004E,B19101D_004M,B19101D_005E,B19101D_005M,B19101D_006E,B19101D_006M,B19101D_007E,B19101D_007M,B19101D_008E,B19101D_008M,B19101D_009E,B19101D_009M,B19101D_010E,B19101D_010M,B19101D_011E,B19101D_011M,B19101D_012E,B19101D_012M,B19101D_013E,B19101D_013M,B19101D_014E,B19101D_014M,B19101D_015E,B19101D_015M,B19101D_016E,B19101D_016M,B19101D_017E,B19101D_017M,NAME,B19101D_001MA,B19101D_001EA,B19101D_002EA,B19101D_002MA,B19101D_003EA,B19101D_003MA,B19101D_004MA,B19101D_004EA,B19101D_005EA,B19101D_005MA,B19101D_006MA,B19101D_006EA,B19101D_007EA,B19101D_007MA,B19101D_008EA,B19101D_008MA,B19101D_009MA,B19101D_009EA,B19101D_010EA,B19101D_010MA,B19101D_011EA,B19101D_011MA,B19101D_012MA,B19101D_012EA,B19101D_013EA,B19101D_013MA,B19101D_014EA,B19101D_014MA,B19101D_015MA,B19101D_015EA,B19101D_016EA,B19101D_016MA,B19101D_017MA,B19101D_017EA,state
0400000US01,12991,1557,668,432,790,496,318,297,455,332,373,296,225,186,227,192,1286,673,859,443,832,577,1422,777,1878,730,1319,501,731,425,455,389,1153,520,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8962,841,89,104,228,258,44,68,977,556,555,467,522,376,623,370,356,339,295,229,556,281,984,428,1261,477,662,263,591,416,766,365,453,377,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,48138,2111,1904,638,1074,534,1267,512,1778,566,2148,871,2308,906,1194,469,1233,578,1472,639,2983,903,5689,1037,6336,1095,5742,1292,3118,886,4085,1075,5807,1187,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,7856,1018,186,263,495,361,86,114,441,275,360,405,463,297,23,40,369,271,209,228,238,195,1814,731,689,380,761,496,244,274,651,364,827,399,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1271082,10910,42851,3361,29410,2302,45172,3241,36096,3071,36140,2847,44442,2789,42248,2825,39876,2825,37044,2586,70012,4164,111682,5551,157908,5413,145595,4997,108473,4474,144966,5965,179167,5913,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,34518,1822,1636,592,421,239,734,407,811,434,931,472,1779,711,1714,667,1188,547,1991,805,3309,825,3308,979,4639,1116,3462,798,2967,798,2618,652,3010,643,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,36144,1949,138,131,403,315,262,247,865,450,898,450,867,689,1476,612,861,293,1035,563,1977,739,3119,1005,4671,1049,4598,858,2956,739,5406,1121,6612,1002,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,8337,660,262,172,0,185,18,32,110,175,223,162,341,295,33,66,331,331,370,343,210,230,1141,594,1273,534,1027,480,1266,602,970,422,762,348,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,118101,4501,5319,1242,1962,630,4239,1013,4045,1283,6636,1776,6312,1651,5219,1287,5688,1498,4830,1207,8184,1508,12761,1887,13816,1791,13870,1957,6184,1194,9343,1249,9693,1618,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,88125,2919,2782,928,2010,662,3065,1093,2932,755,3450,1067,4150,1360,3560,1092,3959,1065,4474,1329,6335,1323,8976,1660,11741,1751,9457,1795,6237,1330,7535,1358,7462,1240,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,124997,3775,2350,788,1692,652,1649,547,2552,730,3516,1002,3401,865,3558,890,4587,1062,4333,962,8341,1269,14556,1518,22511,2262,18877,1853,12202,1405,11843,1359,9029,1112,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,4946,1010,0,190,46,83,282,260,349,269,261,225,205,237,56,117,578,459,11,24,718,529,801,516,615,387,161,169,339,258,80,136,444,389,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,154160,3209,6583,1298,3997,1091,3137,850,4419,880,4668,1067,5557,1292,5595,1073,4506,1069,4151,914,8346,1429,14007,2007,20525,1954,17141,1891,13953,1630,17920,1906,19655,2083,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,27880,1771,1266,435,573,311,1235,517,819,458,585,362,993,519,857,439,1757,741,1046,545,2450,716,2486,897,4831,1325,2830,871,1193,534,2120,839,2839,714,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,14542,1152,930,476,390,319,450,337,386,288,564,455,297,269,347,216,228,162,807,479,793,458,2192,771,2896,910,1681,557,752,476,700,408,1129,584,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,17726,1454,700,421,370,298,206,196,712,518,921,461,268,204,871,542,679,427,459,289,1343,481,1633,644,2516,706,2213,718,1730,812,1678,570,1427,533,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,11057,1189,175,174,397,299,736,551,724,389,260,212,568,372,520,353,65,105,141,177,605,433,1680,615,1563,536,1008,388,1014,437,948,353,653,338,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,15984,1461,547,277,277,246,558,328,572,348,706,360,434,297,662,386,1157,542,322,266,806,370,2153,604,1797,546,2587,846,405,252,775,416,2226,694,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,88768,2742,2887,943,1147,508,1533,640,1921,592,2185,667,2334,790,2635,772,2194,764,2324,778,4526,1006,6462,1146,12026,1472,11127,1467,8231,1275,11813,1653,15423,1482,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,90482,2655,3137,903,1929,745,1939,691,2943,863,2352,642,2162,623,2607,808,2838,967,2924,828,3792,956,7334,1484,11918,1494,11141,1609,8430,1403,10579,1521,14457,1782,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
