GEO_ID,B10051C_001E,B10051C_001M,B10051C_002E,B10051C_002M,B10051C_003E,B10051C_003M,B10051C_004E,B10051C_004M,B10051C_005E,B10051C_005M,B10051C_006E,B10051C_006M,B10051C_007E,B10051C_007M,NAME,B10051C_001EA,B10051C_001MA,B10051C_002EA,B10051C_002MA,B10051C_003EA,B10051C_003MA,B10051C_004EA,B10051C_004MA,B10051C_005MA,B10051C_005EA,B10051C_006MA,B10051C_006EA,B10051C_007MA,B10051C_007EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5252,609,2849,410,1738,330,1111,259,2403,471,1348,365,1055,294,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,15067,1668,7390,1083,4378,796,3012,616,7677,1223,4019,1048,3658,651,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10301,1667,4508,1227,2955,1012,1553,644,5793,1322,3319,1191,2474,608,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2230,819,1034,564,840,546,194,179,1196,521,700,368,496,415,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1729,832,687,506,455,400,232,256,1042,578,122,156,920,549,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,509,221,403,196,215,160,188,132,106,96,71,85,35,42,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1185,710,668,426,323,288,345,300,517,477,103,169,414,448,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1545,679,583,452,463,421,120,114,962,554,518,405,444,489,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
