GEO_ID,B14007C_001E,B14007C_001M,B14007C_002E,B14007C_002M,B14007C_003E,B14007C_003M,B14007C_004E,B14007C_004M,B14007C_005E,B14007C_005M,B14007C_006E,B14007C_006M,B14007C_007E,B14007C_007M,B14007C_008E,B14007C_008M,B14007C_009E,B14007C_009M,B14007C_010E,B14007C_010M,B14007C_011E,B14007C_011M,B14007C_012E,B14007C_012M,B14007C_013E,B14007C_013M,B14007C_014E,B14007C_014M,B14007C_015E,B14007C_015M,B14007C_016E,B14007C_016M,B14007C_017E,B14007C_017M,B14007C_018E,B14007C_018M,B14007C_019E,B14007C_019M,NAME,B14007C_001MA,B14007C_001EA,B14007C_002MA,B14007C_002EA,B14007C_003EA,B14007C_003MA,B14007C_004EA,B14007C_004MA,B14007C_005EA,B14007C_005MA,B14007C_006MA,B14007C_006EA,B14007C_007EA,B14007C_007MA,B14007C_008EA,B14007C_008MA,B14007C_009EA,B14007C_009MA,B14007C_010EA,B14007C_010MA,B14007C_011MA,B14007C_011EA,B14007C_012EA,B14007C_012MA,B14007C_013EA,B14007C_013MA,B14007C_014EA,B14007C_014MA,B14007C_015EA,B14007C_015MA,B14007C_016EA,B14007C_016MA,B14007C_017EA,B14007C_017MA,B14007C_018EA,B14007C_018MA,B14007C_019EA,B14007C_019MA,state
0400000US01,22026,2210,5984,1393,153,219,563,361,145,171,273,256,243,228,526,314,156,135,20,27,806,493,399,213,751,436,238,205,92,62,199,193,1172,542,248,225,16042,1823,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,98034,3134,30151,1731,2456,566,2239,524,1757,433,1972,417,2129,519,1741,368,1781,401,1717,507,1370,374,1885,408,1835,439,1691,312,1965,448,2072,596,2704,523,837,566,67883,2554,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,280776,5987,87935,3989,5498,979,4751,909,5221,898,4389,816,5922,1042,4648,805,5760,883,5850,1056,4451,954,5006,1121,4826,742,5346,874,7014,1605,5420,976,13024,1729,809,480,192841,4713,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16259,2079,3372,759,230,275,210,167,320,316,35,72,53,85,211,165,173,193,61,90,132,122,101,135,531,385,461,353,187,175,49,89,371,268,247,227,12887,1949,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,278110,12999,80148,5842,5019,1138,4577,1004,3499,929,4037,1005,3381,752,3521,1062,2945,669,4047,962,5078,1324,2885,625,3160,800,3221,880,5217,1259,6849,1102,20273,2381,2439,742,197962,9301,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,54034,5411,17788,2689,1083,587,1082,495,1150,454,1051,425,431,239,1217,557,694,292,980,465,1683,746,418,288,1430,740,688,330,1119,487,894,442,3481,746,387,270,36246,3593,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,51691,4929,14148,2282,524,300,890,398,610,447,733,459,266,156,379,298,409,229,1533,914,821,438,919,437,888,442,810,425,831,495,1220,654,3109,1294,206,192,37543,3457,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
