GEO_ID,B20017E_001E,B20017E_001M,B20017E_002E,B20017E_002M,B20017E_003E,B20017E_003M,B20017E_004E,B20017E_004M,B20017E_005E,B20017E_005M,B20017E_006E,B20017E_006M,B20017E_007E,B20017E_007M,NAME,B20017E_001MA,B20017E_001EA,B20017E_002MA,B20017E_002EA,B20017E_003EA,B20017E_003MA,B20017E_004EA,B20017E_004MA,B20017E_005EA,B20017E_005MA,B20017E_006EA,B20017E_006MA,B20017E_007MA,B20017E_007EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,27164,6981,35259,5744,35244,12301,35320,29784,19502,10053,36806,22699,7449,7374,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,20744,2829,21714,5139,32289,11146,8116,4540,19189,4923,37357,19026,6793,4510,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25260,6005,26198,1704,26604,7933,14112,1576,16727,6741,16852,9152,4526,29388,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30536,1537,32138,3161,42930,5045,12953,2108,27253,3192,38250,4410,11197,1621,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,25500,16205,42290,16039,51029,19448,5661,5988,17874,2184,18879,1959,6531,17954,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30599,27279,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,Delaware,null,null,**,-,-,**,-,**,-,**,-,**,**,-,10
0400000US11,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,District of Columbia,**,-,**,-,-,**,-,**,-,**,-,**,**,-,11
0400000US12,23693,8763,26926,16871,29411,22386,12083,36455,19786,12598,29781,8173,12697,7725,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,22494,7554,23299,15658,40800,31620,10850,7527,20680,14807,23759,8870,13071,3481,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,26848,1449,28722,2756,35531,2220,11613,1940,25513,1766,33891,3529,9587,1278,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,16178,15609,15474,6597,30113,32363,2499,-333333333,35957,34674,36963,17271,-666666666,-222222222,Idaho,null,null,null,null,null,null,"2,500-",***,null,null,null,null,**,-,16
0400000US17,48725,11157,48985,24084,49608,29712,15685,31885,42500,31580,57752,2529,9167,11044,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,33094,9030,36010,30562,50806,13159,21262,557,33007,14959,33684,533,6699,5716,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,21103,14516,32487,2305,34323,13298,7178,23791,9539,12795,16481,6311,-666666666,-222222222,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,**,-,19
0400000US20,22158,23624,36990,19320,40799,2415,20940,9028,21317,16822,21951,25943,6265,761,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,26058,18161,25541,25232,40998,20255,12712,19502,26419,25496,37686,35344,-666666666,-222222222,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,**,-,21
0400000US22,21700,11492,30058,20871,31276,5418,9306,18898,19758,16467,19275,24368,26122,27636,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,Maine,**,-,**,-,-,**,-,**,-,**,-,**,**,-,23
0400000US24,42901,14070,70125,39874,71250,14465,17414,18939,27313,31319,42375,15024,24375,23578,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,20806,14674,22000,21464,42780,2773,11436,1392,15057,26126,26473,17707,7548,9486,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,6330,1991,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,5909,4164,-666666666,-222222222,5909,4164,Montana,null,null,**,-,-,**,-,**,null,null,-,**,null,null,30
0400000US31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
