GEO_ID,B19001B_001E,B19001B_001M,B19001B_002E,B19001B_002M,B19001B_003E,B19001B_003M,B19001B_004E,B19001B_004M,B19001B_005E,B19001B_005M,B19001B_006E,B19001B_006M,B19001B_007E,B19001B_007M,B19001B_008E,B19001B_008M,B19001B_009E,B19001B_009M,B19001B_010E,B19001B_010M,B19001B_011E,B19001B_011M,B19001B_012E,B19001B_012M,B19001B_013E,B19001B_013M,B19001B_014E,B19001B_014M,B19001B_015E,B19001B_015M,B19001B_016E,B19001B_016M,B19001B_017E,B19001B_017M,NAME,B19001B_001EA,B19001B_001MA,B19001B_002EA,B19001B_002MA,B19001B_003MA,B19001B_003EA,B19001B_004EA,B19001B_004MA,B19001B_005MA,B19001B_005EA,B19001B_006EA,B19001B_006MA,B19001B_007EA,B19001B_007MA,B19001B_008MA,B19001B_008EA,B19001B_009MA,B19001B_009EA,B19001B_010EA,B19001B_010MA,B19001B_011MA,B19001B_011EA,B19001B_012EA,B19001B_012MA,B19001B_013EA,B19001B_013MA,B19001B_014MA,B19001B_014EA,B19001B_015EA,B19001B_015MA,B19001B_016MA,B19001B_016EA,B19001B_017MA,B19001B_017EA,state
0400000US01,477712,6311,81808,3762,47615,2935,44083,3188,38640,2710,35167,2952,30770,2855,24583,2545,23567,2396,19162,2250,32901,3068,30524,2792,33867,2517,16561,2342,8719,1566,6687,1197,3058,832,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8944,1291,847,516,577,539,477,436,225,269,454,435,1029,688,305,425,363,428,235,374,1305,798,1072,623,774,528,191,216,299,290,657,525,134,189,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,96705,3626,12098,1916,6988,1224,7200,1263,6500,1531,4625,1143,5575,1345,5274,1246,5421,1384,4562,1133,8256,1628,9323,1621,8990,1589,5630,1037,2402,712,2254,627,1607,584,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,174566,4686,28980,2626,20524,2379,15069,1984,15179,2236,12142,1844,13468,2107,11592,1848,7140,1239,7526,1507,12948,1748,11347,1820,9162,1366,3868,1021,2711,809,1830,792,1080,565,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,816165,9891,95705,4976,78342,5329,46252,3904,48673,3477,40920,3120,44694,3653,32876,3190,33286,2992,28044,2574,66836,4306,73636,4283,81900,4220,55763,3199,31272,3230,34012,3517,23954,2490,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,73539,2962,8611,1629,4586,1243,4226,957,4621,1287,4608,1335,3963,904,4550,1127,3800,1072,2629,857,6957,1391,6593,1257,7450,1224,4672,1149,2823,773,2505,694,945,510,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,126954,4024,16175,2190,7776,1473,7460,1402,6760,1217,8693,1562,5621,1277,6143,1345,4847,1180,6196,1383,9458,1728,12982,1746,14360,1726,7136,1304,4306,1140,4617,971,4424,1078,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,72059,2707,7905,1254,4425,1319,3461,1080,3743,924,4070,1170,3829,1018,4351,1084,4011,1196,3809,1252,5527,1026,6542,1420,7548,1327,5111,1222,3012,833,3321,993,1394,608,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,127275,3227,22504,2715,7401,1216,8015,1565,8071,1539,6378,1410,6139,1215,4001,929,6614,1298,4069,783,7305,1262,10589,1373,13132,1816,8572,1355,3918,838,4740,1038,5827,1281,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1004001,11996,135935,7083,81687,4903,75401,5337,73266,5068,70075,5575,70649,4109,63405,4323,51549,4361,44679,4274,81179,5394,85711,4585,77877,5014,45803,3886,20991,2400,16291,2311,9503,1495,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
