GEO_ID,B13002B_001E,B13002B_001M,B13002B_002E,B13002B_002M,B13002B_003E,B13002B_003M,B13002B_004E,B13002B_004M,B13002B_005E,B13002B_005M,B13002B_006E,B13002B_006M,B13002B_007E,B13002B_007M,NAME,B13002B_001EA,B13002B_001MA,B13002B_002MA,B13002B_002EA,B13002B_003MA,B13002B_003EA,B13002B_004MA,B13002B_004EA,B13002B_005EA,B13002B_005MA,B13002B_006EA,B13002B_006MA,B13002B_007EA,B13002B_007MA,state
0400000US01,349896,3544,18075,2171,4737,1300,13338,1845,331821,4083,87520,4262,244301,5280,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,4899,764,344,366,344,366,0,145,4555,782,2011,802,2544,800,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,69351,1949,3406,1046,1005,552,2401,883,65945,2197,18078,2171,47867,2809,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,124559,2812,7977,1485,2154,778,5823,1134,116582,3100,34297,3338,82285,3666,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,579505,7037,27272,2729,11487,1622,15785,2007,552233,6793,132608,6000,419625,8133,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,51909,2307,2923,868,1714,716,1209,654,48986,2483,16555,2060,32431,2933,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,101912,2702,5242,1141,2746,877,2496,734,96670,2996,22590,2266,74080,3501,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,54175,1372,3231,878,1333,667,1898,617,50944,1566,14142,1655,36802,1944,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,85634,1481,4422,1158,1108,542,3314,997,81212,1877,15076,1827,66136,2386,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,869575,6031,44929,4067,14910,2002,30019,3529,824646,6862,224140,7000,600506,8697,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,886398,5302,46376,3853,15533,2424,30843,3212,840022,6218,232259,7424,607763,8040,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,7524,936,907,528,907,528,0,181,6617,1019,3005,680,3612,1019,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,491819,4217,24826,2551,5864,1258,18962,2356,466993,4860,95402,4426,371591,6267,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,163498,2950,10684,1998,2524,985,8160,1691,152814,2821,33547,2778,119267,3376,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,25502,1984,2669,747,1005,523,1664,678,22833,2026,6610,1304,16223,2150,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,40551,2167,3006,1092,822,411,2184,880,37545,1929,10734,1430,26811,2141,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,87089,2715,5672,1322,2584,917,3088,975,81417,2942,18143,1858,63274,3070,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,395702,3841,21336,2335,5666,1427,15670,1876,374366,4270,87520,4647,286846,5426,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,4267,706,538,456,374,433,164,174,3729,816,1823,643,1906,696,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
