GEO_ID,B08105F_001E,B08105F_001M,B08105F_002E,B08105F_002M,B08105F_003E,B08105F_003M,B08105F_004E,B08105F_004M,B08105F_005E,B08105F_005M,B08105F_006E,B08105F_006M,B08105F_007E,B08105F_007M,NAME,B08105F_001MA,B08105F_001EA,B08105F_002MA,B08105F_002EA,B08105F_003MA,B08105F_003EA,B08105F_004EA,B08105F_004MA,B08105F_005MA,B08105F_005EA,B08105F_006MA,B08105F_006EA,B08105F_007MA,B08105F_007EA,state
0400000US01,27091,2735,20783,2543,5292,1932,248,244,17,36,455,459,296,320,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5292,1403,3457,1154,755,468,146,264,691,388,175,148,68,78,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,192142,11828,139542,8704,26771,3825,8901,2210,4004,1355,7844,2608,5080,1614,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,22457,3008,14996,2772,6402,1693,0,190,444,433,542,541,73,115,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2237304,28230,1565852,22136,323761,10837,166310,8359,62992,4427,61017,4899,57372,4617,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,100543,6062,69097,5632,19238,2528,5070,1364,2029,823,1327,678,3782,1563,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,87471,6270,55856,5907,13926,2262,8860,2157,5596,1923,1877,922,1356,655,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,10286,1859,8397,1794,957,550,274,228,456,439,58,81,144,146,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15196,2347,3980,994,717,455,7673,2030,1730,1143,811,597,285,269,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,236631,14390,161021,10658,35614,4340,13109,2992,4639,1314,10020,2765,12228,2843,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,119512,7822,74977,5159,30644,3996,4713,1706,2356,1095,3080,1160,3742,1244,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,7245,1562,4923,1323,693,407,371,306,611,435,304,278,343,275,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,15571,2131,11897,2008,2737,841,234,282,218,218,0,190,485,423,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,351003,12618,236758,10040,52568,5091,38315,3783,8889,1900,8900,2011,5573,1574,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,63875,5263,48717,4466,9200,1777,1695,868,1420,699,1266,952,1577,806,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,15154,2463,10136,2198,2816,883,279,244,845,495,500,396,578,490,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,28611,2606,20763,2229,6011,1280,387,450,420,220,686,437,344,270,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,20421,2652,12415,2169,5711,1748,406,249,1141,646,497,304,251,219,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,21012,2666,14669,2031,4219,1257,603,454,431,306,823,504,267,152,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,107467,7032,57520,5313,25456,3965,17020,2656,2895,1143,2444,1195,2132,829,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,115070,7240,62331,4649,16659,2551,17736,3052,7743,1231,5172,1324,5429,1278,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,52456,4310,35864,3303,9763,2111,2537,1027,1354,587,1789,976,1149,540,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,39618,3974,23567,3219,8813,2031,3547,1431,1804,720,867,421,1020,604,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,30823,3372,21284,2727,4692,1364,1175,554,1438,977,539,453,1695,801,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,14428,2080,10534,1661,3149,897,55,91,446,228,156,186,88,89,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,126984,7829,91313,6248,19999,3042,6813,1975,2748,970,5387,1406,724,347,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,3913,1078,2926,925,207,216,0,182,390,374,28,47,362,301,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,303166,13419,157937,7410,46215,4748,44547,4939,23006,3540,24025,3807,7436,1849,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,89736,6362,73302,5528,8378,1773,1372,797,1272,564,1809,782,3603,1104,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,750981,16757,200967,10031,54015,5265,380715,11121,70391,6504,18767,2970,26126,3319,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,141567,7956,90548,5764,40475,4287,2157,834,2713,1014,1867,827,3807,1286,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,44189,3870,32101,3127,6844,1551,2088,1030,991,497,573,506,1592,675,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,43173,2571,32288,2783,8356,1359,156,133,802,381,1044,410,527,374,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
