B24010F_065M,B24010F_066E,B24010F_066M,B24010F_067E,B24010F_067M,B24010F_068E,B24010F_068M,B24010F_069E,B24010F_069M,B24010F_070E,B24010F_070M,B24010F_071E,B24010F_071M,B24010F_072E,B24010F_072M,B24010F_073E,B24010F_073M,GEO_ID,B24010F_001E,B24010F_001M,B24010F_002E,B24010F_002M,B24010F_003E,B24010F_003M,B24010F_004E,B24010F_004M,B24010F_005E,B24010F_005M,B24010F_006E,B24010F_006M,B24010F_007E,B24010F_007M,B24010F_008E,B24010F_008M,B24010F_009E,B24010F_009M,B24010F_010E,B24010F_010M,B24010F_011E,B24010F_011M,B24010F_012E,B24010F_012M,B24010F_013E,B24010F_013M,B24010F_014E,B24010F_014M,B24010F_015E,B24010F_015M,B24010F_016E,B24010F_016M,B24010F_017E,B24010F_017M,B24010F_018E,B24010F_018M,B24010F_019E,B24010F_019M,B24010F_020E,B24010F_020M,B24010F_021E,B24010F_021M,B24010F_022E,B24010F_022M,B24010F_023E,B24010F_023M,B24010F_024E,B24010F_024M,B24010F_025E,B24010F_025M,B24010F_026E,B24010F_026M,B24010F_027E,B24010F_027M,B24010F_028E,B24010F_028M,B24010F_029E,B24010F_029M,B24010F_030E,B24010F_030M,B24010F_031E,B24010F_031M,B24010F_032E,B24010F_032M,B24010F_033E,B24010F_033M,B24010F_034E,B24010F_034M,B24010F_035E,B24010F_035M,B24010F_036E,B24010F_036M,B24010F_037E,B24010F_037M,B24010F_038E,B24010F_038M,B24010F_039E,B24010F_039M,B24010F_040E,B24010F_040M,B24010F_041E,B24010F_041M,B24010F_042E,B24010F_042M,B24010F_043E,B24010F_043M,B24010F_044E,B24010F_044M,B24010F_045E,B24010F_045M,B24010F_046E,B24010F_046M,B24010F_047E,B24010F_047M,B24010F_048E,B24010F_048M,B24010F_049E,B24010F_049M,B24010F_050E,B24010F_050M,B24010F_051E,B24010F_051M,B24010F_052E,B24010F_052M,B24010F_053E,B24010F_053M,B24010F_054E,B24010F_054M,B24010F_055E,B24010F_055M,B24010F_056E,B24010F_056M,B24010F_057E,B24010F_057M,B24010F_058E,B24010F_058M,B24010F_059E,B24010F_059M,B24010F_060E,B24010F_060M,B24010F_061E,B24010F_061M,B24010F_062E,B24010F_062M,B24010F_063E,B24010F_063M,B24010F_064E,B24010F_064M,B24010F_065E,B24010F_065MA,B24010F_066MA,B24010F_066EA,B24010F_067MA,B24010F_067EA,B24010F_068MA,B24010F_068EA,B24010F_069EA,B24010F_069MA,B24010F_070EA,B24010F_070MA,B24010F_071MA,B24010F_071EA,B24010F_072MA,B24010F_072EA,B24010F_073MA,B24010F_073EA,NAME,B24010F_001MA,B24010F_001EA,B24010F_002EA,B24010F_002MA,B24010F_003EA,B24010F_003MA,B24010F_004EA,B24010F_004MA,B24010F_005MA,B24010F_005EA,B24010F_006MA,B24010F_006EA,B24010F_007MA,B24010F_007EA,B24010F_008MA,B24010F_008EA,B24010F_009MA,B24010F_009EA,B24010F_010EA,B24010F_010MA,B24010F_011MA,B24010F_011EA,B24010F_012MA,B24010F_012EA,B24010F_013MA,B24010F_013EA,B24010F_014EA,B24010F_014MA,B24010F_015EA,B24010F_015MA,B24010F_016MA,B24010F_016EA,B24010F_017MA,B24010F_017EA,B24010F_018MA,B24010F_018EA,B24010F_019MA,B24010F_019EA,B24010F_020EA,B24010F_020MA,B24010F_021EA,B24010F_021MA,B24010F_022MA,B24010F_022EA,B24010F_023MA,B24010F_023EA,B24010F_024MA,B24010F_024EA,B24010F_025EA,B24010F_025MA,B24010F_026EA,B24010F_026MA,B24010F_027MA,B24010F_027EA,B24010F_028MA,B24010F_028EA,B24010F_029MA,B24010F_029EA,B24010F_030EA,B24010F_030MA,B24010F_031EA,B24010F_031MA,B24010F_032EA,B24010F_032MA,B24010F_033MA,B24010F_033EA,B24010F_034EA,B24010F_034MA,B24010F_035EA,B24010F_035MA,B24010F_036EA,B24010F_036MA,B24010F_037EA,B24010F_037MA,B24010F_038MA,B24010F_038EA,B24010F_039MA,B24010F_039EA,B24010F_040MA,B24010F_040EA,B24010F_041EA,B24010F_041MA,B24010F_042EA,B24010F_042MA,B24010F_043EA,B24010F_043MA,B24010F_044MA,B24010F_044EA,B24010F_045MA,B24010F_045EA,B24010F_046EA,B24010F_046MA,B24010F_047EA,B24010F_047MA,B24010F_048EA,B24010F_048MA,B24010F_049MA,B24010F_049EA,B24010F_050MA,B24010F_050EA,B24010F_051MA,B24010F_051EA,B24010F_052EA,B24010F_052MA,B24010F_053EA,B24010F_053MA,B24010F_054EA,B24010F_054MA,B24010F_055MA,B24010F_055EA,B24010F_056MA,B24010F_056EA,B24010F_057MA,B24010F_057EA,B24010F_058MA,B24010F_058EA,B24010F_059MA,B24010F_059EA,B24010F_060MA,B24010F_060EA,B24010F_061MA,B24010F_061EA,B24010F_062MA,B24010F_062EA,B24010F_063MA,B24010F_063EA,B24010F_064MA,B24010F_064EA,B24010F_065EA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
1936,1271,611,468,328,507,408,296,218,7740,1963,4607,1416,1290,881,1843,706,0400000US04,195162,11849,110028,7929,15019,2629,7255,1814,4843,1390,2412,1018,3808,1398,1266,837,2018,804,524,642,3237,978,1136,696,0,200,1688,653,413,303,719,363,216,213,503,296,30101,3944,488,300,3105,879,1169,562,1936,802,10635,1599,14661,3356,1212,572,17490,2355,10225,2120,7265,1436,27000,3534,3716,1626,17466,2568,5818,1347,20418,3235,7939,1838,6036,1467,6443,1700,85134,6153,18648,2633,6229,1331,3656,989,2573,814,1694,851,870,492,145,240,679,640,6155,1291,1215,581,369,277,3521,856,1050,739,4570,1372,2673,1015,1897,908,29876,3129,2297,633,1180,539,475,283,705,465,9095,1737,10873,1859,6431,1520,27599,2947,9922,2121,17677,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
7660,25341,2600,19979,2034,2916,1035,2446,886,102160,4894,64394,4357,8253,1363,29513,2744,0400000US06,2301865,29153,1342781,20587,177058,7114,86555,5531,69611,4444,16944,2309,30741,2936,13001,1924,13018,2221,4722,1274,45869,4232,10576,1705,2832,889,16639,2647,15822,2195,13893,2004,4650,1019,9243,1642,314517,10983,7189,1323,34417,3479,22541,2636,11876,1934,119027,7069,134485,7750,19399,2390,193593,6954,95296,4632,98297,4825,328462,11974,51592,5145,201345,9456,75525,4262,329151,9389,139169,6011,97178,4887,92804,5059,959084,15343,200191,6473,73663,4434,45758,3268,27905,2553,10732,1892,4580,1237,3036,1110,3116,1126,84742,4433,18273,2423,5953,1282,50574,3443,9942,1747,31054,2784,14851,2037,16203,1838,318980,8742,45564,3120,7079,1277,4196,927,2883,737,86028,5119,101434,5507,78875,4479,312412,10434,131974,6277,180438,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1848,1301,634,71,139,444,366,786,481,2445,684,1341,549,233,197,871,441,0400000US08,102105,6161,59867,3894,8255,1485,4319,1131,3621,984,698,518,1645,713,1433,700,182,149,30,52,1773,625,435,237,327,281,637,377,374,278,518,420,108,142,410,397,11920,1745,196,313,994,588,511,424,483,398,6362,1336,3994,1442,374,293,7735,1525,3169,1186,4566,962,24245,3137,860,507,18698,2554,4687,1917,7712,1521,2561,793,2702,761,2449,870,42238,3709,9211,2078,3495,1214,2632,1074,863,555,779,538,499,523,140,167,140,137,2469,794,178,144,84,100,1923,746,284,259,2468,1164,1417,906,1051,561,14438,2302,2194,784,390,336,312,322,78,93,3624,1001,5889,1418,2341,855,14843,2386,6922,1767,7921,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1480,377,351,298,334,79,96,0,197,5838,1560,4173,1177,548,332,1117,668,0400000US09,89353,6416,50949,4098,6221,1338,3200,953,2555,948,645,516,1655,760,1017,631,638,469,0,197,1088,559,321,281,178,205,330,283,259,317,278,222,24,48,254,235,14476,2344,252,280,606,471,165,161,441,450,6153,1719,6356,1543,1109,530,6563,1675,3398,1151,3165,1073,13241,1997,574,468,10165,1828,2502,1115,10448,2204,4022,1244,3469,1288,2957,1269,38404,3496,7443,1638,2140,792,944,489,1196,587,175,188,86,148,89,109,0,197,3359,1075,735,422,0,197,2196,991,428,304,1769,778,787,518,982,585,12927,1969,2534,1020,225,258,225,258,0,197,3228,1174,4215,1267,2725,856,11819,2065,5254,1432,6565,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
2943,4114,1307,3231,1300,670,503,213,138,5982,1601,2844,1035,2055,1080,1083,577,0400000US12,239308,14565,133609,9297,24409,3179,11489,2077,8250,1762,3239,1289,5190,1519,3549,1364,1561,603,80,93,6711,1969,931,697,936,538,1724,851,3120,1567,1019,410,612,345,407,260,29748,3881,762,581,3081,1044,2295,972,786,617,11298,2536,11469,2509,3138,1358,19904,2542,11807,2250,8097,1301,40572,4588,6722,1623,25832,3896,8018,2141,18976,2738,9247,1917,5991,1617,3738,973,105699,7794,30100,3981,10684,2240,6079,1764,4605,1333,1060,597,1002,598,19,30,39,63,10579,2656,1244,739,502,411,7346,2437,1487,639,7777,2087,4366,1670,3411,1221,32808,3417,3716,1158,569,302,243,221,326,238,10590,2143,11540,1989,6393,1720,32695,4196,14507,2606,18188,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
