GEO_ID,B16005C_001E,B16005C_001M,B16005C_002E,B16005C_002M,B16005C_003E,B16005C_003M,B16005C_004E,B16005C_004M,B16005C_005E,B16005C_005M,B16005C_006E,B16005C_006M,B16005C_007E,B16005C_007M,B16005C_008E,B16005C_008M,B16005C_009E,B16005C_009M,B16005C_010E,B16005C_010M,B16005C_011E,B16005C_011M,NAME,B16005C_001EA,B16005C_001MA,B16005C_002EA,B16005C_002MA,B16005C_003EA,B16005C_003MA,B16005C_004EA,B16005C_004MA,B16005C_005MA,B16005C_005EA,B16005C_006EA,B16005C_006MA,B16005C_007EA,B16005C_007MA,B16005C_008EA,B16005C_008MA,B16005C_009EA,B16005C_009MA,B16005C_010MA,B16005C_010EA,B16005C_011MA,B16005C_011EA,state
0400000US01,21833,2216,21154,2059,20389,2010,765,474,644,385,121,153,679,434,305,206,374,391,57,86,317,369,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,93723,2908,93140,2940,63610,3301,29530,1658,25912,1599,3618,681,583,430,448,385,135,134,27,38,108,127,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,269904,5712,264932,5517,147288,5941,117644,4237,94522,4243,23122,1772,4972,1368,659,460,4313,1317,1884,815,2429,991,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,269603,12372,223993,10629,170334,8891,53659,4747,44369,4189,9290,1642,45610,6214,2571,644,43039,6196,13815,2407,29224,4850,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,51993,5182,50181,5119,39431,4371,10750,2210,10462,2261,288,223,1812,951,276,218,1536,931,881,596,655,427,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,6759,1287,6210,1170,4520,1048,1690,704,1339,684,351,309,549,402,46,74,503,396,232,190,271,246,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,50512,4833,41737,3782,33379,2826,8358,2500,5956,1718,2402,1374,8775,2663,901,440,7874,2552,3175,1293,4699,1881,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,23255,3676,18127,2925,14720,2774,3407,1031,2772,949,635,382,5128,2079,701,432,4427,2062,1556,1055,2871,1293,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,26447,3242,20317,2360,15072,2066,5245,1220,4174,1130,1071,553,6130,1868,242,173,5888,1848,2146,857,3742,1370,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,12412,2051,11770,2013,10546,1940,1224,540,1009,478,215,254,642,333,28,54,614,331,257,247,357,221,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,9310,1153,8794,1127,7854,1170,940,430,858,417,82,83,516,444,0,155,516,444,236,247,280,256,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,22891,2155,22546,2145,20102,1769,2444,1157,2029,1112,415,281,345,235,213,229,132,139,93,122,39,69,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,9904,2035,7959,1474,7551,1488,408,253,324,230,84,109,1945,1193,512,464,1433,1136,82,118,1351,1131,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,24520,2372,24112,2353,20172,2209,3940,1221,3398,1217,542,384,408,349,174,204,234,280,139,221,95,159,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
