GEO_ID,B21001D_001E,B21001D_001M,B21001D_002E,B21001D_002M,B21001D_003E,B21001D_003M,B21001D_004E,B21001D_004M,B21001D_005E,B21001D_005M,B21001D_006E,B21001D_006M,B21001D_007E,B21001D_007M,B21001D_008E,B21001D_008M,B21001D_009E,B21001D_009M,B21001D_010E,B21001D_010M,B21001D_011E,B21001D_011M,B21001D_012E,B21001D_012M,B21001D_013E,B21001D_013M,B21001D_014E,B21001D_014M,B21001D_015E,B21001D_015M,B21001D_016E,B21001D_016M,B21001D_017E,B21001D_017M,B21001D_018E,B21001D_018M,B21001D_019E,B21001D_019M,B21001D_020E,B21001D_020M,B21001D_021E,B21001D_021M,B21001D_022E,B21001D_022M,B21001D_023E,B21001D_023M,B21001D_024E,B21001D_024M,B21001D_025E,B21001D_025M,B21001D_026E,B21001D_026M,B21001D_027E,B21001D_027M,B21001D_028E,B21001D_028M,B21001D_029E,B21001D_029M,B21001D_030E,B21001D_030M,B21001D_031E,B21001D_031M,B21001D_032E,B21001D_032M,B21001D_033E,B21001D_033M,NAME,B21001D_001EA,B21001D_001MA,B21001D_002EA,B21001D_002MA,B21001D_003EA,B21001D_003MA,B21001D_004MA,B21001D_004EA,B21001D_005MA,B21001D_005EA,B21001D_006EA,B21001D_006MA,B21001D_007EA,B21001D_007MA,B21001D_008EA,B21001D_008MA,B21001D_009MA,B21001D_009EA,B21001D_010MA,B21001D_010EA,B21001D_011EA,B21001D_011MA,B21001D_012EA,B21001D_012MA,B21001D_013EA,B21001D_013MA,B21001D_014EA,B21001D_014MA,B21001D_015MA,B21001D_015EA,B21001D_016EA,B21001D_016MA,B21001D_017EA,B21001D_017MA,B21001D_018EA,B21001D_018MA,B21001D_019EA,B21001D_019MA,B21001D_020MA,B21001D_020EA,B21001D_021MA,B21001D_021EA,B21001D_022EA,B21001D_022MA,B21001D_023EA,B21001D_023MA,B21001D_024EA,B21001D_024MA,B21001D_025MA,B21001D_025EA,B21001D_026MA,B21001D_026EA,B21001D_027EA,B21001D_027MA,B21001D_028EA,B21001D_028MA,B21001D_029EA,B21001D_029MA,B21001D_030EA,B21001D_030MA,B21001D_031MA,B21001D_031EA,B21001D_032MA,B21001D_032EA,B21001D_033EA,B21001D_033MA,state
0400000US01,45365,2348,20335,1759,7732,1177,54,83,7678,1169,9411,893,121,135,9290,886,1592,682,60,113,1532,685,897,522,104,150,793,461,703,411,165,177,538,382,25030,1420,8558,1131,33,61,8525,1125,9676,1062,0,189,9676,1062,3262,680,0,189,3262,680,1631,766,34,59,1597,760,1903,760,0,189,1903,760,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,32847,1292,14964,1031,5168,828,586,410,4582,828,5347,534,464,250,4883,575,3171,637,32,50,3139,644,948,510,50,77,898,521,330,329,64,117,266,296,17883,794,6350,629,0,145,6350,629,6987,531,125,145,6862,533,2316,418,28,48,2288,418,1202,413,0,145,1202,413,1028,403,195,300,833,360,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,163962,3249,73683,2347,28648,1721,764,478,27884,1667,28548,1109,1744,610,26804,1249,7793,708,573,271,7220,728,5378,537,717,448,4661,462,3316,468,456,241,2860,501,90279,1957,28648,1436,101,117,28547,1420,35498,1225,201,201,35297,1224,12994,928,60,109,12934,934,8446,680,0,200,8446,680,4693,475,129,212,4564,415,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,27964,1701,12400,993,4764,819,0,190,4764,819,5417,868,0,190,5417,868,1717,442,356,296,1361,550,199,170,0,190,199,170,303,210,163,196,140,111,15564,1295,4749,842,113,181,4636,884,7517,959,79,136,7438,983,1596,395,0,190,1596,395,1145,528,0,190,1145,528,557,338,0,190,557,338,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4373173,10857,2026358,5845,658336,4873,11704,1574,646632,5418,746591,3887,24164,2424,722427,4174,304363,2308,17476,1887,286887,3002,186646,1253,21377,1559,165269,1680,130422,1085,22283,1810,108139,1950,2346815,7253,684100,4956,2028,811,682072,5013,873043,3499,3712,694,869331,3511,372472,2059,1010,472,371462,2049,231387,1944,287,185,231100,1981,185813,1868,519,257,185294,1924,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,121601,2696,53907,1507,19331,1190,712,607,18619,1195,22517,1031,523,324,21994,1072,6413,546,709,349,5704,580,3712,586,566,310,3146,566,1934,523,447,264,1487,459,67694,1895,22572,1380,0,192,22572,1380,26622,1186,316,239,26306,1193,9543,598,112,113,9431,575,5295,577,54,92,5241,603,3662,578,0,192,3662,578,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,118384,2408,54795,1584,20896,1150,122,202,20774,1172,22540,1127,196,197,22344,1150,6630,498,377,404,6253,633,3197,394,457,299,2740,431,1532,451,179,159,1353,393,63589,1915,22693,1386,0,197,22693,1386,27347,960,0,197,27347,960,7241,509,0,197,7241,509,4163,595,0,197,4163,595,2145,495,0,197,2145,495,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27995,810,13488,683,5627,803,151,207,5476,815,4912,427,104,172,4808,485,1675,314,116,147,1559,289,821,238,0,185,821,238,453,234,10,21,443,232,14507,560,5388,443,0,185,5388,443,5496,325,96,148,5400,361,1494,184,0,185,1494,184,1751,469,0,185,1751,469,378,233,0,185,378,233,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,422923,4725,189799,2768,61945,2089,2319,845,59626,2102,74372,2014,3269,988,71103,2311,26131,1335,1709,707,24422,1511,18482,1314,2163,714,16319,1305,8869,1221,2232,714,6637,1075,233124,3502,68411,2559,378,397,68033,2548,92615,2459,1179,598,91436,2454,34920,1200,364,249,34556,1244,24001,1446,0,214,24001,1446,13177,1355,192,220,12985,1308,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
