GEO_ID,B19001F_001E,B19001F_001M,B19001F_002E,B19001F_002M,B19001F_003E,B19001F_003M,B19001F_004E,B19001F_004M,B19001F_005E,B19001F_005M,B19001F_006E,B19001F_006M,B19001F_007E,B19001F_007M,B19001F_008E,B19001F_008M,B19001F_009E,B19001F_009M,B19001F_010E,B19001F_010M,B19001F_011E,B19001F_011M,B19001F_012E,B19001F_012M,B19001F_013E,B19001F_013M,B19001F_014E,B19001F_014M,B19001F_015E,B19001F_015M,B19001F_016E,B19001F_016M,B19001F_017E,B19001F_017M,NAME,B19001F_001MA,B19001F_001EA,B19001F_002EA,B19001F_002MA,B19001F_003MA,B19001F_003EA,B19001F_004MA,B19001F_004EA,B19001F_005MA,B19001F_005EA,B19001F_006MA,B19001F_006EA,B19001F_007EA,B19001F_007MA,B19001F_008EA,B19001F_008MA,B19001F_009MA,B19001F_009EA,B19001F_010MA,B19001F_010EA,B19001F_011EA,B19001F_011MA,B19001F_012MA,B19001F_012EA,B19001F_013EA,B19001F_013MA,B19001F_014MA,B19001F_014EA,B19001F_015MA,B19001F_015EA,B19001F_016EA,B19001F_016MA,B19001F_017MA,B19001F_017EA,state
0400000US01,15625,1780,1773,878,1077,506,1101,635,2967,1114,1922,905,1064,573,855,455,694,499,621,408,1406,646,865,466,378,268,282,216,437,552,0,189,183,218,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,116911,5669,10811,1884,8210,1335,8873,1725,9708,1820,8332,1604,7444,1414,8540,1616,7142,1523,6275,1354,10323,1707,10875,1527,10458,1753,4666,1072,2710,977,1699,561,845,495,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13311,1798,685,465,1251,671,815,543,1494,645,962,565,1521,682,691,366,798,500,995,618,644,391,1781,668,980,580,358,394,0,190,209,281,127,139,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1230432,15796,72732,4190,69442,3878,74142,3860,85387,4833,75911,4189,80611,4441,75428,4730,67395,3711,60624,4073,109211,5633,127492,6174,144681,6464,85232,3784,42464,3317,36880,3222,22800,2764,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,63373,4211,6401,1175,4139,994,4276,1140,5963,1312,3258,902,3867,937,3532,878,3725,1075,4090,1258,5344,1249,6102,1460,5696,1229,4021,1128,956,545,1323,615,680,373,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,56494,3721,7531,1453,4864,1103,5426,1294,3174,843,4249,1242,3205,1121,3670,1259,3190,950,2684,1020,3866,1153,5380,1378,3714,979,1809,734,1218,721,868,502,1646,746,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5811,1105,821,524,15,27,474,386,375,323,270,206,293,276,557,451,338,267,320,362,250,239,951,479,568,441,301,252,237,198,41,71,0,185,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8015,1323,1019,628,185,249,187,300,373,465,528,474,425,415,109,187,480,337,963,599,1140,569,867,524,742,485,523,436,144,163,216,162,114,121,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,134409,6730,13192,2303,7789,1682,9603,1812,9280,1363,12530,1893,6856,1512,8371,1630,8177,1526,7382,1387,13112,2354,12181,2100,11257,2146,7312,1644,3794,1091,1450,573,2123,949,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,69944,3896,3419,993,4902,1358,6055,1541,6573,1816,6117,1551,5962,1541,3954,1321,4601,1181,3275,1089,5140,1587,6617,1674,7334,1739,3417,1229,1176,599,842,616,560,358,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3932,955,320,275,70,91,50,88,42,70,311,253,236,236,261,267,377,328,793,522,132,120,369,262,441,245,262,243,113,136,155,157,0,181,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8388,1346,620,437,483,409,823,594,903,434,435,323,569,447,726,462,708,409,466,400,682,508,713,378,1025,483,225,240,10,18,0,190,0,190,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,189010,5716,9901,1752,7667,1181,10793,1715,12594,1688,12849,1881,12072,1928,11725,1763,13764,2216,11096,1765,17176,2167,22815,2450,22507,2251,11168,1665,6607,1249,4602,1173,1674,686,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,40076,2918,2255,694,3962,1220,2636,853,2852,935,4675,1418,1998,800,2139,679,3092,1053,2400,890,2585,836,4169,1256,3391,1178,2152,890,696,404,893,602,181,144,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,8767,1423,733,468,179,213,742,433,416,341,408,220,275,180,1273,576,307,239,216,148,1247,544,639,330,1602,879,224,200,302,280,162,161,42,70,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,17702,1555,1189,447,1531,544,1030,646,813,362,1328,591,1640,532,990,452,1227,536,1298,558,1199,510,1267,516,2006,658,1276,534,383,226,440,302,85,105,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,8689,1412,968,490,325,223,512,350,1426,597,301,238,1097,662,297,281,886,637,482,381,655,362,648,367,734,450,272,221,55,87,0,185,31,60,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,13133,1738,1102,648,764,595,779,393,918,494,1317,661,1266,581,542,332,972,578,702,377,1195,464,1469,550,891,504,616,323,102,181,159,127,339,352,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,45731,2896,654,332,993,470,1486,716,1537,700,2482,821,2755,923,3448,1100,3328,1126,2519,885,4456,1322,7152,1659,6148,1353,3441,1007,2856,813,1782,769,694,356,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,86390,4605,14993,2317,8878,1617,6760,1468,6876,1735,4410,1104,5409,1362,4677,1299,3986,1152,2951,971,5521,1077,7336,1625,6785,1514,3729,872,1462,586,1806,664,811,386,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,33523,2618,2907,864,1160,560,1896,579,1865,834,2342,739,3912,1142,2335,749,2254,829,2009,809,3240,982,3583,866,3651,939,1380,521,242,185,401,225,346,205,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,21163,2199,1807,776,1156,525,998,494,1530,659,2576,938,1328,524,1156,520,1608,660,729,426,2282,643,1609,688,1718,619,1309,746,753,445,527,427,77,78,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
