GEO_ID,B22005E_001E,B22005E_001M,B22005E_002E,B22005E_002M,B22005E_003E,B22005E_003M,NAME,B22005E_001EA,B22005E_001MA,B22005E_002EA,B22005E_002MA,B22005E_003MA,B22005E_003EA,state
0400000US01,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,01
0400000US02,2080,533,759,344,1321,472,Alaska,null,null,null,null,null,null,02
0400000US04,2380,485,364,277,2016,479,Arizona,null,null,null,null,null,null,04
0400000US05,1897,869,933,743,964,777,Arkansas,null,null,null,null,null,null,05
0400000US06,41366,2535,6604,1350,34762,2346,California,null,null,null,null,null,null,06
0400000US08,2353,686,516,485,1837,665,Colorado,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,11
0400000US12,4101,1240,883,676,3218,1019,Florida,null,null,null,null,null,null,12
0400000US13,1448,666,389,344,1059,617,Georgia,null,null,null,null,null,null,13
0400000US15,38882,2218,11762,1515,27120,2291,Hawaii,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,16
0400000US17,2668,1023,188,212,2480,1001,Illinois,null,null,null,null,null,null,17
0400000US18,590,379,248,281,342,262,Indiana,null,null,null,null,null,null,18
0400000US19,833,508,373,381,460,325,Iowa,null,null,null,null,null,null,19
0400000US20,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,Maine,null,null,null,null,null,null,23
0400000US24,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,24
0400000US25,412,230,108,132,304,215,Massachusetts,null,null,null,null,null,null,25
0400000US26,973,541,277,271,696,483,Michigan,null,null,null,null,null,null,26
0400000US27,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,28
0400000US29,1240,653,94,122,1146,650,Missouri,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,Montana,null,null,null,null,null,null,30
0400000US31,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,31
0400000US32,5380,933,897,535,4483,804,Nevada,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,33
0400000US34,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,34
0400000US35,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,35
0400000US36,null,null,null,null,null,null,New York,null,null,null,null,null,null,36
0400000US37,1443,506,223,158,1220,484,North Carolina,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,38
0400000US39,784,362,302,252,482,285,Ohio,null,null,null,null,null,null,39
0400000US40,1438,501,513,344,925,414,Oklahoma,null,null,null,null,null,null,40
0400000US41,4770,1077,1329,582,3441,1072,Oregon,null,null,null,null,null,null,41
0400000US42,1114,423,252,217,862,358,Pennsylvania,null,null,null,null,null,null,42
0400000US44,null,null,null,null,null,null,Rhode Island,null,null,null,null,null,null,44
0400000US45,705,411,66,83,639,420,South Carolina,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,46
0400000US47,1284,599,85,114,1199,575,Tennessee,null,null,null,null,null,null,47
0400000US48,6128,1182,598,317,5530,1195,Texas,null,null,null,null,null,null,48
0400000US49,5632,719,1195,638,4437,888,Utah,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,50
0400000US51,1395,533,100,136,1295,529,Virginia,null,null,null,null,null,null,51
0400000US53,11161,1223,3232,769,7929,1225,Washington,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,54
0400000US55,null,null,null,null,null,null,Wisconsin,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,56
0400000US72,null,null,null,null,null,null,Puerto Rico,null,null,null,null,null,null,72
