GEO_ID,B14007F_001E,B14007F_001M,B14007F_002E,B14007F_002M,B14007F_003E,B14007F_003M,B14007F_004E,B14007F_004M,B14007F_005E,B14007F_005M,B14007F_006E,B14007F_006M,B14007F_007E,B14007F_007M,B14007F_008E,B14007F_008M,B14007F_009E,B14007F_009M,B14007F_010E,B14007F_010M,B14007F_011E,B14007F_011M,B14007F_012E,B14007F_012M,B14007F_013E,B14007F_013M,B14007F_014E,B14007F_014M,B14007F_015E,B14007F_015M,B14007F_016E,B14007F_016M,B14007F_017E,B14007F_017M,B14007F_018E,B14007F_018M,B14007F_019E,B14007F_019M,NAME,B14007F_001EA,B14007F_001MA,B14007F_002EA,B14007F_002MA,B14007F_003EA,B14007F_003MA,B14007F_004MA,B14007F_004EA,B14007F_005EA,B14007F_005MA,B14007F_006EA,B14007F_006MA,B14007F_007EA,B14007F_007MA,B14007F_008EA,B14007F_008MA,B14007F_009MA,B14007F_009EA,B14007F_010EA,B14007F_010MA,B14007F_011EA,B14007F_011MA,B14007F_012EA,B14007F_012MA,B14007F_013EA,B14007F_013MA,B14007F_014EA,B14007F_014MA,B14007F_015MA,B14007F_015EA,B14007F_016MA,B14007F_016EA,B14007F_017MA,B14007F_017EA,B14007F_018EA,B14007F_018MA,B14007F_019EA,B14007F_019MA,state
0400000US01,66156,6284,26209,3613,1000,590,2456,1054,1688,630,2570,894,2295,848,1440,587,1485,636,2232,737,1543,771,1717,658,795,431,1098,452,1024,592,707,423,3529,1154,630,681,39947,4079,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,413746,19815,135843,8670,6228,1349,7039,1657,7697,1555,7370,1464,4715,1168,7356,1456,8035,1692,8637,1518,6617,1253,8365,1563,11046,1936,7049,1677,7241,1358,8086,1709,28168,3743,2194,832,277903,14005,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,47312,5533,15795,2006,859,422,1079,500,1726,768,761,478,848,408,1146,533,1293,654,710,370,654,339,1026,487,636,336,766,515,815,615,865,487,2371,897,240,271,31517,4142,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4876658,52220,1623994,25451,82421,5599,88171,4575,77222,4494,87869,4715,89989,4753,89096,4974,81616,4863,89649,4701,80367,4691,84667,4896,88251,4741,87170,4236,87310,3749,116793,5556,366622,9890,26781,2967,3252664,34777,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,206843,14005,67987,7795,3536,1421,3266,906,4357,1200,3969,1127,4436,1289,4564,1419,2807,758,4561,1280,3452,1082,4146,1290,4421,1451,3862,1036,4276,1291,4718,1316,10074,1636,1542,631,138856,8031,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,189232,11452,61300,4936,2984,924,2669,912,2827,802,3299,1017,4423,1136,2932,903,2398,902,4443,1298,3039,838,3392,1050,3383,1142,3792,1091,3442,931,5159,1457,11826,1860,1292,562,127932,8792,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19891,3211,6447,1541,670,441,170,171,419,377,133,163,373,389,368,336,72,117,431,413,225,254,733,604,178,234,346,331,432,280,432,314,1271,545,194,220,13444,2421,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,26475,4162,7329,1755,698,478,221,273,567,665,382,451,299,306,390,391,887,563,0,198,298,302,564,420,395,311,167,183,197,227,276,227,1465,602,523,361,19146,3251,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,469872,24107,136755,9300,8212,1782,7370,1600,6291,1445,7701,1960,8467,2145,5992,1391,7227,1565,8292,1788,7076,1803,6370,1799,7180,1435,8722,2105,5345,1212,6037,1546,32091,3661,4382,1271,333117,18730,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
