GEO_ID,C17010B_001E,C17010B_001M,C17010B_002E,C17010B_002M,C17010B_003E,C17010B_003M,C17010B_004E,C17010B_004M,C17010B_005E,C17010B_005M,C17010B_006E,C17010B_006M,C17010B_007E,C17010B_007M,C17010B_008E,C17010B_008M,C17010B_009E,C17010B_009M,C17010B_010E,C17010B_010M,C17010B_011E,C17010B_011M,C17010B_012E,C17010B_012M,C17010B_013E,C17010B_013M,C17010B_014E,C17010B_014M,C17010B_015E,C17010B_015M,C17010B_016E,C17010B_016M,C17010B_017E,C17010B_017M,NAME,C17010B_001EA,C17010B_001MA,C17010B_002EA,C17010B_002MA,C17010B_003MA,C17010B_003EA,C17010B_004MA,C17010B_004EA,C17010B_005EA,C17010B_005MA,C17010B_006EA,C17010B_006MA,C17010B_007MA,C17010B_007EA,C17010B_008MA,C17010B_008EA,C17010B_009MA,C17010B_009EA,C17010B_010MA,C17010B_010EA,C17010B_011EA,C17010B_011MA,C17010B_012EA,C17010B_012MA,C17010B_013MA,C17010B_013EA,C17010B_014MA,C17010B_014EA,C17010B_015MA,C17010B_015EA,C17010B_016EA,C17010B_016MA,C17010B_017EA,C17010B_017MA,state
0400000US01,300995,5633,84322,4112,12942,1610,6733,1269,71380,4078,5721,1134,3409,986,65659,4067,53994,3406,216673,5975,116584,5000,49772,3806,100089,4570,19770,2075,8897,1622,80319,4509,44401,3622,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5589,1065,1214,702,482,445,482,445,732,578,365,409,86,123,367,381,367,381,4375,1188,3236,1088,1484,666,1139,599,567,487,181,232,572,379,474,360,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,56848,2839,11433,1487,1669,624,1184,540,9764,1449,1962,817,1298,641,7802,1268,7153,1245,45415,2666,25864,2131,12686,1716,19551,2170,6467,1458,3944,1227,13084,1742,8865,1526,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,102804,4587,28389,2829,4838,991,2597,869,23551,2699,2415,853,1616,738,21136,2370,18620,2212,74415,3950,40205,2854,16188,2125,34210,3103,6071,1508,3147,1246,28139,2656,17831,2386,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,490658,7856,100744,5130,15696,1994,10693,1573,85048,4836,13796,2225,9584,2065,71252,4664,60269,4591,389914,7319,203900,5740,91295,5738,186014,6393,44832,3782,23315,2786,141182,5850,78275,4477,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,44121,2337,8651,1752,2436,870,1549,713,6215,1490,905,523,760,479,5310,1392,4923,1330,35470,2271,20079,1937,11415,1512,15391,2071,4945,1188,2488,781,10446,1820,6288,1489,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,81584,3097,14309,1927,2220,805,986,541,12089,1881,1892,767,1683,718,10197,1834,8552,1695,67275,3137,34887,2791,15467,1855,32388,2707,6403,1207,2447,724,25985,2419,14871,2070,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,46859,2183,6865,1228,945,522,749,533,5920,1171,1002,570,444,273,4918,1064,4194,963,39994,1938,22301,1837,8968,1377,17693,1714,3130,893,1345,587,14563,1625,8929,1362,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,62600,2849,13479,1910,1220,449,589,361,12259,1793,924,523,633,446,11335,1644,9010,1588,49121,2390,19088,1713,7347,1355,30033,2305,4510,889,1353,505,25523,2147,13709,2006,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,652318,9717,146791,5998,32076,3393,19573,2497,114715,5432,15134,2122,10688,1705,99581,4910,84059,4654,505527,10110,279709,8194,132479,6204,225818,7459,48549,3743,23579,2832,177269,6354,104186,5492,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
