GEO_ID,B28009E_001E,B28009E_001M,B28009E_002E,B28009E_002M,B28009E_003E,B28009E_003M,B28009E_004E,B28009E_004M,B28009E_005E,B28009E_005M,B28009E_006E,B28009E_006M,NAME,B28009E_001EA,B28009E_001MA,B28009E_002EA,B28009E_002MA,B28009E_003MA,B28009E_003EA,B28009E_004EA,B28009E_004MA,B28009E_005MA,B28009E_005EA,B28009E_006EA,B28009E_006MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,11460,1536,10371,1614,114,155,9357,1736,900,553,1089,825,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,147687,5138,137453,5141,1980,1624,117491,6044,17982,4471,10234,3099,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,6009,1486,5912,1493,0,192,5633,1485,279,262,97,88,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14847,3327,11516,2306,0,214,9531,2043,1985,1329,3331,2508,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6311,2501,5738,2436,0,211,4009,1538,1729,1766,573,553,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,140796,5256,117941,5836,767,649,100688,6208,16486,4441,22855,3921,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,5734,1476,5491,1470,129,216,3553,1028,1809,1086,243,306,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
