GEO_ID,C15010B_001E,C15010B_001M,C15010B_002E,C15010B_002M,C15010B_003E,C15010B_003M,C15010B_004E,C15010B_004M,C15010B_005E,C15010B_005M,C15010B_006E,C15010B_006M,NAME,C15010B_001MA,C15010B_001EA,C15010B_002EA,C15010B_002MA,C15010B_003EA,C15010B_003MA,C15010B_004EA,C15010B_004MA,C15010B_005MA,C15010B_005EA,C15010B_006MA,C15010B_006EA,state
0400000US01,125562,6758,31923,3212,11763,1623,32689,3589,23083,2619,26104,2865,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,2527,906,667,542,71,59,658,442,445,330,686,399,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,42169,3593,12772,1811,3816,1158,9797,1747,5730,1372,10054,1783,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41906,3540,9644,1695,4401,1112,8605,1455,11311,1935,7945,1635,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,337402,9127,116511,5819,32933,2727,68721,4203,27677,2559,91560,5634,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,30923,3068,11948,1712,2111,681,8238,1393,1781,612,6845,1548,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,49301,3971,17885,2080,6552,1488,10072,1712,3467,990,11325,1662,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,29231,2770,9674,1816,2147,841,7872,1684,3372,1080,6166,1379,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,54194,3440,18712,2077,4353,1095,14448,1973,5460,1087,11221,1620,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,336523,9587,90562,5273,41910,4071,84347,5579,46548,3709,73156,4724,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
