GEO_ID,C21001B_001E,C21001B_001M,C21001B_002E,C21001B_002M,C21001B_003E,C21001B_003M,C21001B_004E,C21001B_004M,C21001B_005E,C21001B_005M,C21001B_006E,C21001B_006M,C21001B_007E,C21001B_007M,C21001B_008E,C21001B_008M,C21001B_009E,C21001B_009M,C21001B_010E,C21001B_010M,C21001B_011E,C21001B_011M,C21001B_012E,C21001B_012M,C21001B_013E,C21001B_013M,C21001B_014E,C21001B_014M,C21001B_015E,C21001B_015M,NAME,C21001B_001MA,C21001B_001EA,C21001B_002EA,C21001B_002MA,C21001B_003EA,C21001B_003MA,C21001B_004MA,C21001B_004EA,C21001B_005MA,C21001B_005EA,C21001B_006MA,C21001B_006EA,C21001B_007MA,C21001B_007EA,C21001B_008EA,C21001B_008MA,C21001B_009EA,C21001B_009MA,C21001B_010EA,C21001B_010MA,C21001B_011MA,C21001B_011EA,C21001B_012MA,C21001B_012EA,C21001B_013MA,C21001B_013EA,C21001B_014MA,C21001B_014EA,C21001B_015EA,C21001B_015MA,state
0400000US01,958140,4616,431213,2907,376854,3062,47754,3080,329100,4165,54359,1311,18550,1523,35809,2025,526927,3120,443870,3104,9616,1696,434254,3802,83057,1277,524,288,82533,1339,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,17571,1322,10426,1396,9751,1400,2306,879,7445,1611,675,517,525,498,150,194,7145,1020,5523,910,692,490,4831,867,1622,756,198,299,1424,656,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,205004,3600,107338,2547,96805,2417,13503,1776,83302,2871,10533,709,6030,839,4503,839,97666,2116,84682,2006,2497,819,82185,2233,12984,828,323,282,12661,847,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,334625,3028,154982,2389,137070,2456,14687,1812,122383,3365,17912,853,5356,933,12556,1062,179643,1815,154157,2117,3170,1339,150987,2506,25486,1107,129,209,25357,1117,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1733520,9405,842474,6843,733252,7088,89862,4667,643390,7563,109222,1591,52241,2498,56981,2780,891046,6017,741915,5710,13264,2085,728651,5760,149131,1493,1847,637,147284,1649,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,158098,3160,85818,2219,77657,2121,10916,1504,66741,2433,8161,603,4953,686,3208,642,72280,2353,62936,2269,2198,537,60738,2372,9344,489,88,110,9256,459,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,275239,4510,128202,3061,114024,2905,8073,1464,105951,3292,14178,760,4724,837,9454,777,147037,2873,124907,2794,1865,665,123042,2839,22130,565,117,132,22013,573,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,151714,1786,69611,1079,60786,1079,7423,1148,53363,1669,8825,185,3774,686,5051,686,82103,1236,69617,1232,1015,601,68602,1381,12486,225,100,135,12386,178,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,252261,2120,110686,1176,93803,1055,7284,1332,86519,1748,16883,290,7005,831,9878,860,141575,1330,113268,1267,1040,416,112228,1322,28307,383,562,255,27745,444,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2355161,9788,1102223,6745,970083,5947,94039,4967,876044,7706,132140,2466,33907,2717,98233,3353,1252938,6502,1065558,6133,17302,2422,1048256,6305,187380,2282,1392,469,185988,2301,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
