GEO_ID,B10051D_001E,B10051D_001M,B10051D_002E,B10051D_002M,B10051D_003E,B10051D_003M,B10051D_004E,B10051D_004M,B10051D_005E,B10051D_005M,B10051D_006E,B10051D_006M,B10051D_007E,B10051D_007M,NAME,B10051D_001EA,B10051D_001MA,B10051D_002EA,B10051D_002MA,B10051D_003EA,B10051D_003MA,B10051D_004EA,B10051D_004MA,B10051D_005MA,B10051D_005EA,B10051D_006EA,B10051D_006MA,B10051D_007EA,B10051D_007MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6389,2159,617,318,308,280,309,247,5772,2128,1484,792,4288,1928,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,212110,9181,29848,2976,10062,1556,19786,2431,182262,8891,31658,3527,150604,7560,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4862,1020,423,302,165,179,258,224,4439,1001,1186,722,3253,874,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,5101,1293,536,356,346,303,190,199,4565,1258,1723,951,2842,754,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,1416,558,588,471,378,357,210,208,828,443,253,246,575,358,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18338,3430,2667,1285,1807,1135,860,495,15671,3076,3553,1203,12118,2590,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,14018,2323,2512,908,937,581,1575,698,11506,2096,2263,1133,9243,1698,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,28447,2700,4194,1042,1498,639,2696,924,24253,2470,5526,1030,18727,2070,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,26566,3198,3625,1017,1314,575,2311,817,22941,2953,4217,1042,18724,2594,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2559,895,252,271,252,271,0,201,2307,862,359,335,1948,820,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,13403,1811,1949,735,341,280,1608,650,11454,1597,2732,852,8722,1387,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
