GEO_ID,B14007B_001E,B14007B_001M,B14007B_002E,B14007B_002M,B14007B_003E,B14007B_003M,B14007B_004E,B14007B_004M,B14007B_005E,B14007B_005M,B14007B_006E,B14007B_006M,B14007B_007E,B14007B_007M,B14007B_008E,B14007B_008M,B14007B_009E,B14007B_009M,B14007B_010E,B14007B_010M,B14007B_011E,B14007B_011M,B14007B_012E,B14007B_012M,B14007B_013E,B14007B_013M,B14007B_014E,B14007B_014M,B14007B_015E,B14007B_015M,B14007B_016E,B14007B_016M,B14007B_017E,B14007B_017M,B14007B_018E,B14007B_018M,B14007B_019E,B14007B_019M,NAME,B14007B_001EA,B14007B_001MA,B14007B_002EA,B14007B_002MA,B14007B_003MA,B14007B_003EA,B14007B_004MA,B14007B_004EA,B14007B_005MA,B14007B_005EA,B14007B_006MA,B14007B_006EA,B14007B_007EA,B14007B_007MA,B14007B_008MA,B14007B_008EA,B14007B_009MA,B14007B_009EA,B14007B_010MA,B14007B_010EA,B14007B_011MA,B14007B_011EA,B14007B_012EA,B14007B_012MA,B14007B_013EA,B14007B_013MA,B14007B_014MA,B14007B_014EA,B14007B_015MA,B14007B_015EA,B14007B_016MA,B14007B_016EA,B14007B_017EA,B14007B_017MA,B14007B_018EA,B14007B_018MA,B14007B_019MA,B14007B_019EA,state
0400000US01,1239390,6994,365732,7913,20715,2565,19576,2565,19080,2444,17977,2410,17633,2599,15964,2376,18670,2037,19118,2294,16936,2281,21291,2523,19869,2261,17615,1895,18885,2269,25173,2295,82714,5381,14516,2313,873658,7680,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,269089,5882,84287,4409,2996,837,4840,1228,3496,912,4421,1086,4988,1221,3880,1001,4441,1144,3012,897,4357,1136,3497,851,3311,994,4955,1133,3176,875,5130,1156,23143,2534,4644,1487,184802,4411,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,449181,4771,147604,4988,12412,2107,7577,1658,8754,1928,7433,1409,5685,1236,7007,1555,6570,1385,6136,1556,7319,1505,7894,1386,8648,1864,8775,1311,7657,1556,8772,1528,33319,3070,3646,1127,301577,4651,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2174797,14292,645849,10621,28309,2734,27123,3037,30439,2857,28119,2944,25916,2591,27318,2466,27781,3041,26226,2830,29713,3311,28262,2992,29319,2746,28953,2280,36852,2847,45145,3522,192086,7187,34288,2631,1528948,10179,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,205341,4462,66139,3760,3716,1135,4130,869,2813,1005,3705,966,2212,839,2752,824,2975,721,3419,1003,2845,848,2579,796,3274,1074,2745,820,2110,651,4399,1129,19120,2601,3345,982,139202,4039,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,358978,6861,119013,5584,8375,1560,6132,1457,4565,1334,4839,1210,4749,1107,5645,1278,6740,1617,4994,1268,5210,1257,5032,1078,7075,1497,6956,1392,5309,1218,6516,1385,31157,2723,5719,1498,239965,5889,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,196245,3313,63232,3459,4432,1052,3299,1088,2833,986,2785,846,2756,732,3438,970,2101,660,2733,767,2577,705,3076,980,3787,1076,2787,847,2768,804,3974,1132,15724,2076,4162,1066,133013,3214,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,309260,2913,83507,3442,8768,1383,3703,978,3728,945,4466,944,3016,841,3392,955,2385,691,2903,803,3842,1059,4396,1062,4525,1061,3706,941,4372,951,5292,1174,20727,2538,4286,1144,225753,3342,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3087037,13540,1000614,10672,63114,4981,46437,3963,47922,4291,45530,4135,55627,4203,53091,4536,46353,4315,46092,4098,49313,4436,50636,4482,52540,3877,52702,4533,50830,4329,63273,4500,241436,7249,35718,2981,2086423,12860,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
