GEO_ID,B21001F_001E,B21001F_001M,B21001F_002E,B21001F_002M,B21001F_003E,B21001F_003M,B21001F_004E,B21001F_004M,B21001F_005E,B21001F_005M,B21001F_006E,B21001F_006M,B21001F_007E,B21001F_007M,B21001F_008E,B21001F_008M,B21001F_009E,B21001F_009M,B21001F_010E,B21001F_010M,B21001F_011E,B21001F_011M,B21001F_012E,B21001F_012M,B21001F_013E,B21001F_013M,B21001F_014E,B21001F_014M,B21001F_015E,B21001F_015M,B21001F_016E,B21001F_016M,B21001F_017E,B21001F_017M,B21001F_018E,B21001F_018M,B21001F_019E,B21001F_019M,B21001F_020E,B21001F_020M,B21001F_021E,B21001F_021M,B21001F_022E,B21001F_022M,B21001F_023E,B21001F_023M,B21001F_024E,B21001F_024M,B21001F_025E,B21001F_025M,B21001F_026E,B21001F_026M,B21001F_027E,B21001F_027M,B21001F_028E,B21001F_028M,B21001F_029E,B21001F_029M,B21001F_030E,B21001F_030M,B21001F_031E,B21001F_031M,B21001F_032E,B21001F_032M,B21001F_033E,B21001F_033M,NAME,B21001F_001MA,B21001F_001EA,B21001F_002EA,B21001F_002MA,B21001F_003MA,B21001F_003EA,B21001F_004EA,B21001F_004MA,B21001F_005EA,B21001F_005MA,B21001F_006EA,B21001F_006MA,B21001F_007EA,B21001F_007MA,B21001F_008EA,B21001F_008MA,B21001F_009EA,B21001F_009MA,B21001F_010MA,B21001F_010EA,B21001F_011EA,B21001F_011MA,B21001F_012MA,B21001F_012EA,B21001F_013EA,B21001F_013MA,B21001F_014EA,B21001F_014MA,B21001F_015EA,B21001F_015MA,B21001F_016EA,B21001F_016MA,B21001F_017EA,B21001F_017MA,B21001F_018EA,B21001F_018MA,B21001F_019EA,B21001F_019MA,B21001F_020EA,B21001F_020MA,B21001F_021MA,B21001F_021EA,B21001F_022EA,B21001F_022MA,B21001F_023MA,B21001F_023EA,B21001F_024EA,B21001F_024MA,B21001F_025EA,B21001F_025MA,B21001F_026EA,B21001F_026MA,B21001F_027EA,B21001F_027MA,B21001F_028EA,B21001F_028MA,B21001F_029EA,B21001F_029MA,B21001F_030EA,B21001F_030MA,B21001F_031MA,B21001F_031EA,B21001F_032MA,B21001F_032EA,B21001F_033EA,B21001F_033MA,state
0400000US01,40021,3589,21467,2357,10147,2066,483,493,9664,1988,9437,1487,171,162,9266,1487,1275,491,313,238,962,462,392,339,274,320,118,114,216,194,171,166,45,80,18554,2053,8997,1536,84,130,8913,1530,7454,1343,366,384,7088,1281,1520,686,103,189,1417,647,402,299,0,189,402,299,181,221,0,189,181,221,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,299222,15039,149527,8914,72894,6374,2207,1290,70687,6238,55808,4121,1777,590,54031,4096,12071,1548,1366,518,10705,1528,6425,1127,1571,601,4854,1140,2329,620,789,399,1540,491,149695,7912,65875,5194,478,406,65397,5254,55772,3915,722,511,55050,3926,16176,1955,254,226,15922,1953,7987,1245,102,166,7885,1219,3885,953,0,200,3885,953,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3590072,38330,1828865,22635,798192,14264,11136,1754,787056,14551,727162,11237,16932,2070,710230,10906,187002,6492,9701,1748,177301,6303,77178,3787,10420,1657,66758,3564,39331,2706,6118,1112,33213,2589,1761207,21112,721287,11155,1794,708,719493,11018,690305,11282,2002,749,688303,11140,193912,5851,814,346,193098,5838,93153,3943,90,107,93063,3935,62550,3267,254,183,62296,3274,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,149093,8487,77621,4627,33153,2888,848,465,32305,2867,31184,2792,2901,1000,28283,2466,7907,1239,1399,502,6508,1118,3874,853,1728,542,2146,755,1503,500,625,340,878,395,71472,4989,27868,3074,72,132,27796,3088,29213,2824,156,173,29057,2858,7747,1404,78,95,7669,1421,4822,882,27,47,4795,878,1822,609,0,192,1822,609,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,139732,9006,72596,5455,32932,3937,169,206,32763,3903,30077,2460,880,465,29197,2504,6090,1119,447,319,5643,1131,2577,647,110,172,2467,633,920,514,222,157,698,461,67136,4585,26472,2671,0,197,26472,2671,29004,3013,97,121,28907,3028,6560,1387,0,197,6560,1387,2685,689,0,197,2685,689,2415,629,0,197,2415,629,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,360712,18676,179973,10771,78447,5450,2267,1221,76180,5377,70968,6270,3558,1134,67410,6173,17832,2541,2884,1009,14948,2465,8500,1524,1078,519,7422,1537,4226,1044,935,627,3291,866,180739,11008,71326,7238,512,393,70814,7221,67428,4709,656,486,66772,4758,23454,2897,31,50,23423,2905,11720,2158,32,53,11688,2155,6811,1705,119,185,6692,1684,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
