B17010I_014E,B17010I_014M,B17010I_015E,B17010I_015M,B17010I_016E,B17010I_016M,B17010I_017E,B17010I_017M,B17010I_018E,B17010I_018M,B17010I_019E,B17010I_019M,B17010I_020E,B17010I_020M,B17010I_021E,B17010I_021M,B17010I_022E,B17010I_022M,B17010I_023E,B17010I_023M,B17010I_024E,B17010I_024M,B17010I_025E,B17010I_025M,B17010I_026E,B17010I_026M,B17010I_027E,B17010I_027M,B17010I_028E,B17010I_028M,B17010I_029E,B17010I_029M,B17010I_030E,B17010I_030M,B17010I_031E,B17010I_031M,B17010I_032E,B17010I_032M,B17010I_033E,B17010I_033M,B17010I_034E,B17010I_034M,B17010I_035E,B17010I_035M,B17010I_036E,B17010I_036M,B17010I_037E,B17010I_037M,B17010I_038E,B17010I_038M,B17010I_039E,B17010I_039M,B17010I_040E,B17010I_040M,B17010I_041E,B17010I_041M,GEO_ID,B17010I_001E,B17010I_001M,B17010I_002E,B17010I_002M,B17010I_003E,B17010I_003M,B17010I_004E,B17010I_004M,B17010I_005E,B17010I_005M,B17010I_006E,B17010I_006M,B17010I_007E,B17010I_007M,B17010I_008E,B17010I_008M,B17010I_009E,B17010I_009M,B17010I_010E,B17010I_010M,B17010I_011E,B17010I_011M,B17010I_012E,B17010I_012M,B17010I_013E,B17010I_013M,B17010I_014MA,B17010I_014EA,B17010I_015MA,B17010I_015EA,B17010I_016MA,B17010I_016EA,B17010I_017MA,B17010I_017EA,B17010I_018EA,B17010I_018MA,B17010I_019EA,B17010I_019MA,B17010I_020MA,B17010I_020EA,B17010I_021MA,B17010I_021EA,B17010I_022MA,B17010I_022EA,B17010I_023EA,B17010I_023MA,B17010I_024EA,B17010I_024MA,B17010I_025MA,B17010I_025EA,B17010I_026MA,B17010I_026EA,B17010I_027MA,B17010I_027EA,B17010I_028EA,B17010I_028MA,B17010I_029EA,B17010I_029MA,B17010I_030EA,B17010I_030MA,B17010I_031EA,B17010I_031MA,B17010I_032MA,B17010I_032EA,B17010I_033EA,B17010I_033MA,B17010I_034EA,B17010I_034MA,B17010I_035EA,B17010I_035MA,B17010I_036EA,B17010I_036MA,B17010I_037MA,B17010I_037EA,B17010I_038MA,B17010I_038EA,B17010I_039EA,B17010I_039MA,B17010I_040EA,B17010I_040MA,B17010I_041EA,B17010I_041MA,NAME,B17010I_001MA,B17010I_001EA,B17010I_002MA,B17010I_002EA,B17010I_003MA,B17010I_003EA,B17010I_004MA,B17010I_004EA,B17010I_005MA,B17010I_005EA,B17010I_006MA,B17010I_006EA,B17010I_007EA,B17010I_007MA,B17010I_008EA,B17010I_008MA,B17010I_009MA,B17010I_009EA,B17010I_010MA,B17010I_010EA,B17010I_011MA,B17010I_011EA,B17010I_012EA,B17010I_012MA,B17010I_013EA,B17010I_013MA,state
544,401,243,265,3444,1138,3058,1050,473,469,1363,633,1222,561,386,285,24180,2277,18742,2354,11765,1528,2651,909,3680,1149,5434,990,6977,1565,5438,1106,2334,848,1306,740,136,135,185,198,985,659,1028,621,3104,804,2364,757,295,334,457,444,1612,554,740,409,0400000US01,35853,2239,11673,2040,6682,1517,5947,1400,829,588,2432,921,2686,905,735,576,4991,1270,1547,715,1304,667,84,109,676,496,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
4346,1318,2006,727,48607,3484,43016,3292,4978,1165,15506,2381,22532,2438,5591,1367,309953,6598,207804,6207,120782,5695,15580,2126,30030,2867,75172,4782,87022,4534,102149,5096,38523,3068,23044,2497,4732,1187,3655,1201,14657,2192,15479,2050,63626,3898,41836,3392,6344,1365,7051,1218,28441,3061,21790,2246,0400000US04,412356,6390,102403,5068,42083,3330,34642,3163,3849,967,13297,2248,17496,2191,7441,1338,60320,4337,11713,1918,9707,1816,1624,711,3737,1049,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
776,507,0,190,4315,1084,3980,1001,949,508,1239,617,1792,749,335,419,29035,2139,20061,1719,14387,1535,2077,791,5100,1152,7210,1422,5674,933,8974,1403,4257,1146,3111,1089,577,433,321,295,2213,996,1146,541,4717,1146,3129,949,582,443,1009,672,1538,665,1588,802,0400000US05,41284,2552,12249,1755,6684,1366,5781,1292,870,592,2829,950,2082,822,903,537,5565,1303,1250,641,1250,641,120,170,354,345,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
26294,2621,12643,2007,272973,8477,244228,8059,30461,3334,83094,4678,130673,5701,28745,1982,2350649,17081,1596181,15455,983489,13359,138760,6061,244503,6633,600226,12042,612692,10850,754468,13282,289283,8555,165954,7266,30631,2832,35558,3465,99765,5679,123329,4835,465185,10293,287360,9172,39392,3506,52679,3793,195289,8383,177825,5738,0400000US06,2954295,17658,603646,11020,261910,8801,218572,7940,17440,2213,87399,4845,113733,5502,43338,3197,341736,8958,68763,4266,56120,3935,11125,1715,18701,2224,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
2259,867,398,295,22344,2409,19068,2364,3420,1168,5732,1390,9916,1932,3276,942,192794,4172,130138,5042,78226,4578,12369,1731,19167,2166,46690,3514,51912,2673,62656,3937,22081,2577,14759,2109,2849,893,2660,941,9250,1653,7322,1344,40575,3282,27890,2991,4012,1172,4653,1081,19225,2452,12685,1672,0400000US08,237118,4271,44324,2785,17409,1853,14681,1747,1281,511,6067,1357,7333,1406,2728,751,26915,2576,4571,1286,4173,1273,710,481,1204,633,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1311,608,718,511,18474,2487,16147,2391,2333,955,6605,1569,7209,1557,2327,967,85343,3416,50592,2939,30233,2599,4671,1165,6960,1128,18602,2013,20359,1874,34751,2804,12026,1898,7181,1614,1721,798,1553,844,3907,1034,4845,1094,22725,2280,15650,2040,2018,711,2689,909,10943,1856,7075,1502,0400000US09,113752,3744,28409,3112,6056,1377,4579,1264,127,157,1194,611,3258,1117,1477,668,22353,2839,3879,1099,3161,968,692,448,1158,626,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
151,180,0,185,1466,679,1466,679,118,187,894,576,454,311,0,185,13812,1389,8559,999,5263,991,571,329,1206,525,3486,858,3296,679,5253,1251,2209,878,837,579,172,283,110,158,555,401,1372,719,3044,839,2434,849,547,489,244,227,1643,745,610,337,0400000US10,17189,1451,3377,956,1334,634,1334,634,474,376,403,238,457,460,0,185,2043,757,577,388,577,388,0,185,426,363,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
8877,1595,4946,1217,89459,5193,75524,4604,11701,2132,20190,2450,43633,3802,13935,1773,842891,11028,592632,10772,296527,8222,51953,3815,53862,4406,190712,7469,296105,7416,250259,6327,84121,5192,41944,3886,9530,1696,6574,1666,25840,3165,42177,3598,166138,5188,89661,4656,13826,2102,12905,1862,62930,4061,76477,4177,0400000US12,1039212,11024,196321,7753,84246,4977,55746,3905,6889,1599,17972,2321,30885,2986,28500,2827,112075,5513,22616,2934,17670,2452,3627,1117,5166,1518,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
