GEO_ID,C17010D_001E,C17010D_001M,C17010D_002E,C17010D_002M,C17010D_003E,C17010D_003M,C17010D_004E,C17010D_004M,C17010D_005E,C17010D_005M,C17010D_006E,C17010D_006M,C17010D_007E,C17010D_007M,C17010D_008E,C17010D_008M,C17010D_009E,C17010D_009M,C17010D_010E,C17010D_010M,C17010D_011E,C17010D_011M,C17010D_012E,C17010D_012M,C17010D_013E,C17010D_013M,C17010D_014E,C17010D_014M,C17010D_015E,C17010D_015M,C17010D_016E,C17010D_016M,C17010D_017E,C17010D_017M,NAME,C17010D_001EA,C17010D_001MA,C17010D_002MA,C17010D_002EA,C17010D_003EA,C17010D_003MA,C17010D_004EA,C17010D_004MA,C17010D_005EA,C17010D_005MA,C17010D_006EA,C17010D_006MA,C17010D_007MA,C17010D_007EA,C17010D_008MA,C17010D_008EA,C17010D_009MA,C17010D_009EA,C17010D_010EA,C17010D_010MA,C17010D_011EA,C17010D_011MA,C17010D_012EA,C17010D_012MA,C17010D_013EA,C17010D_013MA,C17010D_014MA,C17010D_014EA,C17010D_015EA,C17010D_015MA,C17010D_016EA,C17010D_016MA,C17010D_017EA,C17010D_017MA,state
0400000US01,12991,1557,1683,709,774,364,435,275,909,604,59,98,59,98,850,628,431,466,11308,1401,9559,1293,5828,932,1749,807,426,331,367,309,1323,737,686,497,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8962,841,1136,589,591,417,577,416,545,453,231,329,231,329,314,314,314,314,7826,928,5809,841,3197,750,2017,663,404,283,129,101,1613,619,1239,590,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,48138,2111,4369,1000,2747,699,1643,572,1622,603,462,311,74,93,1160,561,693,378,43769,2097,35557,2036,20705,1623,8212,1525,2636,878,1050,602,5576,1190,3306,1101,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,7856,1018,852,527,699,460,530,428,153,253,0,190,0,190,153,253,153,253,7004,967,5277,1067,3358,726,1727,669,1112,475,800,422,615,399,265,232,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1271082,10910,104231,5176,59319,3635,30499,2992,44912,2994,11379,1643,5669,1184,33533,2824,21450,2305,1166851,10761,934220,10849,476331,7356,232631,6640,77041,4129,25835,2701,155590,4825,62502,4407,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,34518,1822,2689,720,1400,487,836,392,1289,564,291,278,142,172,998,499,885,462,31829,1842,27396,1653,15494,1604,4433,895,966,302,254,180,3467,848,1748,605,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,36144,1949,1067,469,766,392,522,291,301,255,139,146,68,115,162,203,162,203,35077,1931,31024,1675,19098,1679,4053,1094,1062,474,410,352,2991,985,2192,887,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,8337,660,262,172,58,102,0,185,204,180,0,185,0,185,204,180,42,68,8075,651,7283,586,4500,606,792,364,427,341,134,181,365,296,122,208,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,118101,4501,11934,1817,7375,1541,3938,1441,4559,1219,566,411,215,188,3993,1208,2962,1047,106167,4409,86173,4189,44102,3144,19994,2816,7162,1495,3119,1057,12832,2284,6792,1397,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
