GEO_ID,B10051B_001E,B10051B_001M,B10051B_002E,B10051B_002M,B10051B_003E,B10051B_003M,B10051B_004E,B10051B_004M,B10051B_005E,B10051B_005M,B10051B_006E,B10051B_006M,B10051B_007E,B10051B_007M,NAME,B10051B_001MA,B10051B_001EA,B10051B_002MA,B10051B_002EA,B10051B_003EA,B10051B_003MA,B10051B_004EA,B10051B_004MA,B10051B_005EA,B10051B_005MA,B10051B_006MA,B10051B_006EA,B10051B_007MA,B10051B_007EA,state
0400000US01,41398,3645,22474,2833,13014,1841,9460,1594,18924,2269,10397,1859,8527,1491,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,7851,1728,2783,895,2182,791,601,346,5068,1549,2683,1213,2385,824,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14260,2160,8217,1433,6265,1372,1952,680,6043,1335,3479,1193,2564,683,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,67659,4674,27963,2708,16819,2261,11144,1596,39696,3848,17626,2402,22070,2778,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5184,1136,1760,801,1347,746,413,243,3424,870,1136,599,2288,692,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,9856,1651,4651,1346,2673,1010,1978,851,5205,1214,2386,851,2819,884,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6833,1345,2908,922,1815,711,1093,580,3925,1156,1867,922,2058,794,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8185,1575,4020,1052,2385,906,1635,494,4165,1134,1875,754,2290,810,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,108632,7637,39164,4135,22081,3078,17083,2856,69468,5741,31087,3489,38381,3898,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
