GEO_ID,B14007D_001E,B14007D_001M,B14007D_002E,B14007D_002M,B14007D_003E,B14007D_003M,B14007D_004E,B14007D_004M,B14007D_005E,B14007D_005M,B14007D_006E,B14007D_006M,B14007D_007E,B14007D_007M,B14007D_008E,B14007D_008M,B14007D_009E,B14007D_009M,B14007D_010E,B14007D_010M,B14007D_011E,B14007D_011M,B14007D_012E,B14007D_012M,B14007D_013E,B14007D_013M,B14007D_014E,B14007D_014M,B14007D_015E,B14007D_015M,B14007D_016E,B14007D_016M,B14007D_017E,B14007D_017M,B14007D_018E,B14007D_018M,B14007D_019E,B14007D_019M,NAME,B14007D_001EA,B14007D_001MA,B14007D_002EA,B14007D_002MA,B14007D_003MA,B14007D_003EA,B14007D_004MA,B14007D_004EA,B14007D_005MA,B14007D_005EA,B14007D_006EA,B14007D_006MA,B14007D_007EA,B14007D_007MA,B14007D_008EA,B14007D_008MA,B14007D_009MA,B14007D_009EA,B14007D_010MA,B14007D_010EA,B14007D_011MA,B14007D_011EA,B14007D_012EA,B14007D_012MA,B14007D_013EA,B14007D_013MA,B14007D_014MA,B14007D_014EA,B14007D_015MA,B14007D_015EA,B14007D_016MA,B14007D_016EA,B14007D_017EA,B14007D_017MA,B14007D_018EA,B14007D_018MA,B14007D_019EA,B14007D_019MA,state
0400000US01,56683,2989,19335,2016,1180,604,393,298,682,511,842,487,1171,553,729,404,727,507,524,372,770,427,734,345,587,353,547,312,730,400,1043,564,6346,1362,2330,1032,37348,2466,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,42411,2114,10900,1760,153,153,653,400,441,294,304,335,610,311,909,310,494,233,508,297,476,278,731,343,637,380,333,296,716,416,885,480,2602,904,448,370,31511,1492,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,203674,4566,63283,3528,3051,821,2943,1005,2037,751,2368,779,2278,816,2604,762,3613,1023,1856,743,3805,962,3268,743,2217,668,2645,706,2072,547,2281,691,19183,2258,7062,1419,140391,2909,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,35916,2330,10798,1540,523,419,314,238,609,423,585,440,461,233,584,367,800,386,414,320,329,258,258,261,813,484,719,447,509,325,409,319,2443,809,1028,484,25118,1927,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5241119,17976,1398268,15884,76425,4964,57424,3751,54299,3302,51283,3253,55645,3160,55591,3229,58895,3594,57388,3982,55541,3554,57563,3484,56723,3453,56324,2763,62454,3040,60867,3296,449225,8340,132621,7480,3842851,15768,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,151774,3827,43789,3104,2125,673,2278,832,1465,547,1714,710,2339,708,1736,498,1888,572,2415,835,2521,754,994,633,2778,759,2141,678,1910,593,1544,622,11430,1596,4511,1092,107985,2767,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,145735,3667,44282,3004,2155,745,2071,626,1642,658,1768,619,2017,548,2478,906,1323,490,1817,697,1888,567,1482,448,890,409,1625,540,1471,554,3705,1266,10643,1541,7307,1421,101453,2677,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,34905,809,10343,1332,349,245,402,304,537,449,529,488,50,76,434,313,149,141,883,497,842,596,72,122,740,554,154,191,249,234,411,249,2820,803,1722,596,24562,1406,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,511792,7155,139957,5429,6310,1313,5169,1162,5321,1196,7552,1595,5789,1075,6423,1367,4008,1047,5031,1108,7355,1499,5788,1474,5524,1450,6899,1566,4785,1138,10481,2038,38485,3723,15037,1815,371835,5258,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,358896,5398,113394,4595,6624,1670,6286,1548,4226,1080,3916,930,5532,1011,4297,966,5900,1646,5153,1158,4447,993,4826,1172,5318,969,5128,1283,4261,1116,5465,1394,28223,2496,13792,2295,245502,4490,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,521259,9144,98821,4542,4550,1010,3539,922,3715,771,3238,815,5166,1004,4227,1036,6387,1402,6059,1225,3629,883,3834,874,5383,1071,5018,936,5279,879,5925,1067,27481,2758,5391,1215,422438,7052,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23472,3292,8088,2016,333,327,139,155,372,303,90,144,674,583,458,359,327,259,238,282,150,140,672,489,378,322,27,51,649,507,502,344,2604,855,475,317,15384,2084,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,640180,5301,191773,5267,11040,1648,9223,1228,7940,1100,8421,1177,6461,1080,7667,1437,7570,1169,8620,1556,7629,1084,8940,1264,6663,1217,6669,1022,6977,1093,6630,959,50334,3058,30989,3382,448407,4727,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,125743,3657,49101,3032,1868,653,2610,822,2093,807,1792,579,1610,695,1765,581,1850,614,1983,715,1234,504,1283,513,1526,559,2020,958,1764,648,1763,618,15055,2202,8885,1553,76642,3205,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,65406,2924,25842,2262,1581,657,867,426,693,402,776,475,1244,468,359,278,1038,401,682,356,984,422,667,357,1255,619,854,315,1197,441,1210,512,9016,1732,3419,1413,39564,2237,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,73845,2363,28599,2254,1506,512,773,487,1289,459,550,327,1246,629,1012,611,1600,588,809,316,885,454,806,367,518,278,1632,534,1368,567,1050,416,8358,1839,5197,1566,45246,2573,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
