GEO_ID,C01001E_001E,C01001E_001M,C01001E_002E,C01001E_002M,C01001E_003E,C01001E_003M,C01001E_004E,C01001E_004M,C01001E_005E,C01001E_005M,C01001E_006E,C01001E_006M,C01001E_007E,C01001E_007M,C01001E_008E,C01001E_008M,C01001E_009E,C01001E_009M,NAME,C01001E_001MA,C01001E_001EA,C01001E_002MA,C01001E_002EA,C01001E_003EA,C01001E_003MA,C01001E_004EA,C01001E_004MA,C01001E_005EA,C01001E_005MA,C01001E_006MA,C01001E_006EA,C01001E_007MA,C01001E_007EA,C01001E_008EA,C01001E_008MA,C01001E_009EA,C01001E_009MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8395,1144,3899,781,1493,587,2379,404,27,48,4496,715,1666,482,2700,488,130,145,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,12721,1540,6578,831,1771,430,4401,664,406,217,6143,1029,1950,585,4096,596,97,115,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,7148,2176,3515,1172,1248,848,2051,878,216,333,3633,1273,1609,621,2024,830,0,190,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,150072,5167,73757,3724,16458,2338,51874,2713,5425,850,76315,3043,16509,1775,53524,2289,6282,973,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,6679,1548,3826,891,834,460,2759,746,233,193,2853,1109,1162,638,1623,644,68,83,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15149,3314,7002,1773,1475,770,4766,1290,761,492,8147,2168,2434,971,5284,1594,429,353,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
