GEO_ID,B10051B_001E,B10051B_001M,B10051B_002E,B10051B_002M,B10051B_003E,B10051B_003M,B10051B_004E,B10051B_004M,B10051B_005E,B10051B_005M,B10051B_006E,B10051B_006M,B10051B_007E,B10051B_007M,NAME,B10051B_001MA,B10051B_001EA,B10051B_002EA,B10051B_002MA,B10051B_003EA,B10051B_003MA,B10051B_004MA,B10051B_004EA,B10051B_005MA,B10051B_005EA,B10051B_006MA,B10051B_006EA,B10051B_007EA,B10051B_007MA,state
0400000US01,39675,3471,20991,2706,13356,2340,7635,1367,18684,2112,8101,1535,10583,1404,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,8913,1605,3560,1075,2825,982,735,362,5353,1323,1968,723,3385,1175,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,14816,2005,9041,1606,5532,1154,3509,1156,5775,1186,2903,843,2872,737,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,63460,4798,23259,3045,11720,2132,11539,1931,40201,3946,17541,2386,22660,2597,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,6898,1730,2569,1029,1720,958,849,468,4329,1160,1809,790,2520,761,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,11505,2100,5005,1340,3554,1166,1451,615,6500,1688,2801,1010,3699,1126,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6905,1361,2548,701,1472,587,1076,395,4357,1275,1961,831,2396,995,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10882,1780,4955,1209,3280,936,1675,687,5927,1326,3534,997,2393,880,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,108284,6267,39264,3575,23644,3123,15620,1883,69020,5134,27666,3151,41354,3867,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,107331,7180,49058,4638,34963,4197,14095,2130,58273,4813,29574,3570,28699,3308,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
