GEO_ID,B19001D_001E,B19001D_001M,B19001D_002E,B19001D_002M,B19001D_003E,B19001D_003M,B19001D_004E,B19001D_004M,B19001D_005E,B19001D_005M,B19001D_006E,B19001D_006M,B19001D_007E,B19001D_007M,B19001D_008E,B19001D_008M,B19001D_009E,B19001D_009M,B19001D_010E,B19001D_010M,B19001D_011E,B19001D_011M,B19001D_012E,B19001D_012M,B19001D_013E,B19001D_013M,B19001D_014E,B19001D_014M,B19001D_015E,B19001D_015M,B19001D_016E,B19001D_016M,B19001D_017E,B19001D_017M,NAME,B19001D_001EA,B19001D_001MA,B19001D_002EA,B19001D_002MA,B19001D_003EA,B19001D_003MA,B19001D_004EA,B19001D_004MA,B19001D_005EA,B19001D_005MA,B19001D_006MA,B19001D_006EA,B19001D_007EA,B19001D_007MA,B19001D_008EA,B19001D_008MA,B19001D_009EA,B19001D_009MA,B19001D_010EA,B19001D_010MA,B19001D_011MA,B19001D_011EA,B19001D_012EA,B19001D_012MA,B19001D_013EA,B19001D_013MA,B19001D_014EA,B19001D_014MA,B19001D_015EA,B19001D_015MA,B19001D_016MA,B19001D_016EA,B19001D_017MA,B19001D_017EA,state
0400000US01,18716,1536,1710,635,1058,504,1157,648,568,344,899,413,635,300,650,407,997,424,880,354,2097,855,1782,589,1800,580,1049,533,816,390,1684,752,934,525,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,10665,1266,18,31,267,240,540,393,819,555,324,226,510,443,589,335,655,325,286,204,658,356,1552,637,1964,739,860,405,353,296,520,367,750,358,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,67872,2806,6273,1339,1567,580,2130,902,2747,918,1782,626,2606,815,2994,1116,2812,852,1717,590,4311,921,6957,1073,9433,1734,7593,1376,3935,970,5757,1121,5258,1073,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13698,1308,1576,674,260,248,491,349,330,257,732,451,535,277,237,187,812,468,492,301,911,522,1849,800,1763,581,1233,582,871,447,706,368,900,414,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1735010,11118,99174,5178,72575,4429,62036,3813,58590,3391,46410,2873,59346,3399,47783,3191,52721,3217,47908,3359,99703,5191,140545,4682,208125,7226,192599,6584,126564,4437,185946,5803,234985,6107,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,51686,2036,3730,907,2285,691,1195,500,2074,730,1803,649,2390,798,2259,621,2202,781,1611,575,3686,724,4076,964,7001,1197,5802,955,3544,738,4421,839,3607,668,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,49129,2313,2693,749,866,453,1048,471,1262,617,1069,701,1559,682,953,460,1838,758,1454,637,2905,841,4120,819,7740,1411,6135,1160,4101,692,3686,903,7700,1219,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11083,994,141,139,312,302,384,328,519,360,191,172,34,60,139,160,277,257,122,146,484,316,1018,433,1897,682,1623,531,670,632,1587,576,1685,455,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11592,1140,1059,561,296,208,360,291,234,198,60,107,704,466,329,236,331,255,181,152,711,347,433,273,1273,454,1233,539,1552,639,680,400,2156,652,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,161823,5090,11427,1586,5850,1611,5976,1141,6828,1713,6920,1470,5406,1163,7351,1376,6076,1340,6196,1467,13445,1709,17053,2110,20118,2574,16002,2206,9511,1677,11690,1794,11974,1853,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
