GEO_ID,B28009E_001E,B28009E_001M,B28009E_002E,B28009E_002M,B28009E_003E,B28009E_003M,B28009E_004E,B28009E_004M,B28009E_005E,B28009E_005M,B28009E_006E,B28009E_006M,NAME,B28009E_001MA,B28009E_001EA,B28009E_002MA,B28009E_002EA,B28009E_003MA,B28009E_003EA,B28009E_004MA,B28009E_004EA,B28009E_005MA,B28009E_005EA,B28009E_006EA,B28009E_006MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6524,1790,5778,1951,0,149,3736,1629,2042,1690,746,642,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,10454,1268,9469,1339,28,49,8421,1407,1020,747,985,691,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,7547,912,6539,1527,0,190,4123,1809,2416,1636,1008,1274,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,153390,6514,140837,7120,455,604,130933,7466,9449,2571,12553,3443,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,8823,1505,8362,1393,44,80,8098,1355,220,213,461,446,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11799,2667,10879,2709,0,217,9979,2597,900,803,920,628,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,128699,5896,113966,5870,1420,1062,99765,6432,12781,3506,14733,3166,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,null,null,null,null,null,null,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,null,null,null,null,null,null,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,null,null,null,null,null,null,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3623,1173,3147,1222,0,167,2719,1073,428,393,476,317,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,null,null,null,null,null,null,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,5922,1616,4711,1525,0,182,3824,1304,887,902,1211,504,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,17623,1551,16914,1585,0,204,14267,1884,2647,1383,709,424,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
