GEO_ID,B08105F_001E,B08105F_001M,B08105F_002E,B08105F_002M,B08105F_003E,B08105F_003M,B08105F_004E,B08105F_004M,B08105F_005E,B08105F_005M,B08105F_006E,B08105F_006M,B08105F_007E,B08105F_007M,NAME,B08105F_001MA,B08105F_001EA,B08105F_002MA,B08105F_002EA,B08105F_003MA,B08105F_003EA,B08105F_004MA,B08105F_004EA,B08105F_005EA,B08105F_005MA,B08105F_006MA,B08105F_006EA,B08105F_007MA,B08105F_007EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7491,2037,4925,1526,973,714,0,149,865,561,654,600,74,95,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,211956,10474,160664,8725,30974,3932,5813,1458,4464,1241,6330,1630,3711,1022,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25988,3209,18276,2785,6614,1523,212,214,579,400,154,128,153,170,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2386381,32847,1697863,28583,327086,12434,161330,7625,69456,4972,64457,5245,66189,4938,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,95894,6301,70531,5109,13865,2364,4796,1091,2274,829,1007,465,3421,1374,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,80041,6480,48431,5127,16057,3615,6959,1803,4658,1637,1870,993,2066,876,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,8539,1993,5997,1824,1234,605,334,224,533,424,379,286,62,76,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19569,2344,5066,1645,643,454,8587,1888,3074,1445,706,512,1493,873,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,270868,13132,198770,10569,35597,4596,10719,2492,5958,1655,7640,2225,12184,2442,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,122784,8307,78021,6460,29736,4414,5326,1502,2319,1098,4254,2029,3128,1021,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,5568,1028,3623,845,511,334,221,212,300,266,264,213,649,467,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,19619,3077,13960,2855,3844,1514,0,193,656,397,587,454,572,460,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,359701,12968,249281,10663,48808,4307,36834,3493,11025,1832,7360,1539,6393,1851,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,60707,4676,45874,4126,9534,1816,662,382,1191,639,2168,993,1278,632,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,22430,2685,13760,2350,6812,2063,419,412,1155,587,43,60,241,243,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,33696,3757,24154,3377,7642,1671,407,454,950,666,279,233,264,266,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,16622,2184,11850,1949,3683,1234,123,113,685,386,121,180,160,188,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,24781,3449,16078,2496,5099,1526,409,308,2209,1031,490,641,496,333,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,130969,6183,73547,5694,30832,3295,21021,3625,3149,1079,1187,606,1233,651,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,128198,7274,66388,5520,18022,3099,19708,2736,11529,1875,6732,1614,5819,1865,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,50735,3644,36095,3438,9273,1576,1986,911,1246,470,984,593,1151,669,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,41972,3667,23770,2046,10121,2120,4001,1319,1444,652,1390,740,1246,795,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
