GEO_ID,B15002F_001E,B15002F_001M,B15002F_002E,B15002F_002M,B15002F_003E,B15002F_003M,B15002F_004E,B15002F_004M,B15002F_005E,B15002F_005M,B15002F_006E,B15002F_006M,B15002F_007E,B15002F_007M,B15002F_008E,B15002F_008M,B15002F_009E,B15002F_009M,B15002F_010E,B15002F_010M,B15002F_011E,B15002F_011M,B15002F_012E,B15002F_012M,B15002F_013E,B15002F_013M,B15002F_014E,B15002F_014M,B15002F_015E,B15002F_015M,B15002F_016E,B15002F_016M,B15002F_017E,B15002F_017M,B15002F_018E,B15002F_018M,B15002F_019E,B15002F_019M,NAME,B15002F_001EA,B15002F_001MA,B15002F_002MA,B15002F_002EA,B15002F_003EA,B15002F_003MA,B15002F_004EA,B15002F_004MA,B15002F_005EA,B15002F_005MA,B15002F_006EA,B15002F_006MA,B15002F_007MA,B15002F_007EA,B15002F_008EA,B15002F_008MA,B15002F_009EA,B15002F_009MA,B15002F_010EA,B15002F_010MA,B15002F_011EA,B15002F_011MA,B15002F_012EA,B15002F_012MA,B15002F_013MA,B15002F_013EA,B15002F_014EA,B15002F_014MA,B15002F_015EA,B15002F_015MA,B15002F_016EA,B15002F_016MA,B15002F_017EA,B15002F_017MA,B15002F_018MA,B15002F_018EA,B15002F_019EA,B15002F_019MA,state
0400000US01,27494,3537,16133,3068,5857,2068,4412,2019,3079,903,167,180,1112,450,445,306,934,495,127,116,11361,1600,3276,1168,1440,649,3144,790,349,324,1006,512,970,601,423,396,753,678,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,266473,12282,132832,6418,29697,2778,24816,2854,28275,2624,9012,1433,23437,2554,7381,1481,6721,1311,3493,952,133641,6594,30108,3105,20533,2507,29212,2922,5381,1281,26475,2939,8870,1476,10115,1794,2947,1027,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,32419,3262,17321,1932,4818,1143,3475,1170,3763,1090,1482,706,2452,831,181,197,763,563,387,300,15098,1893,4440,985,1996,709,2501,981,1180,585,2831,957,397,260,1349,708,404,205,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3082022,38212,1568691,22082,399527,10112,262011,10811,398169,11202,50081,3459,259566,9822,68027,4587,100117,5214,31193,2889,1513331,19773,397886,10043,222434,8387,360044,10551,35246,2652,262211,9470,79527,4637,120812,6518,35171,2943,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,124401,7039,64420,4520,10819,2063,11459,2405,17568,2312,3619,1002,10181,1568,3345,756,5056,1073,2373,1000,59981,4011,10209,1552,11017,2110,13178,1730,3091,849,11320,1711,4137,993,4996,1241,2033,572,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,106291,7521,54650,4578,10267,1841,11014,1967,15071,2377,3107,1057,8030,1630,1400,597,3492,1211,2269,858,51641,4155,10065,1973,7662,1566,14102,1998,2846,938,8964,1874,2615,965,3630,1194,1757,721,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,10994,2269,5560,1350,866,397,1401,653,1529,717,492,512,657,469,0,190,484,411,131,211,5434,1255,1091,531,1057,524,1279,682,10,17,1177,591,38,61,330,289,452,456,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21956,2551,11999,1597,4170,1563,1023,645,1610,863,47,99,1721,1234,0,200,2179,857,1249,851,9957,1710,3066,1022,1113,598,1982,1058,0,200,861,418,34,56,865,443,2036,755,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,335474,14637,167824,8412,26970,3881,17693,3165,44770,4893,7914,1745,26660,3695,12829,2500,22298,2999,8690,1789,167650,8975,22560,3185,14776,2891,39638,4796,6072,1493,29342,3063,18981,2540,24723,3229,11558,1954,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
