GEO_ID,B10051G_001E,B10051G_001M,B10051G_002E,B10051G_002M,B10051G_003E,B10051G_003M,B10051G_004E,B10051G_004M,B10051G_005E,B10051G_005M,B10051G_006E,B10051G_006M,B10051G_007E,B10051G_007M,NAME,B10051G_001EA,B10051G_001MA,B10051G_002MA,B10051G_002EA,B10051G_003MA,B10051G_003EA,B10051G_004MA,B10051G_004EA,B10051G_005MA,B10051G_005EA,B10051G_006EA,B10051G_006MA,B10051G_007MA,B10051G_007EA,state
0400000US01,1714,707,1301,683,927,546,374,424,413,310,64,40,349,298,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2855,916,1346,673,1039,562,307,272,1509,671,881,497,628,400,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,785,425,660,382,268,205,392,337,125,133,69,121,56,63,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,26474,2946,9147,1733,5614,1549,3533,905,17327,2466,8195,1598,9132,1835,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1621,633,653,402,583,396,70,80,968,441,534,337,434,256,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4916,1032,1038,437,667,367,371,266,3878,946,1049,465,2829,843,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2646,836,1530,623,1143,576,387,265,1116,569,361,319,755,481,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,9759,1387,2523,680,1158,449,1365,508,7236,1300,3142,811,4094,992,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3115,767,866,437,503,306,363,276,2249,713,677,357,1572,605,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1580,696,1004,616,731,551,273,247,576,297,373,266,203,161,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,925,480,493,369,376,335,117,103,432,334,358,289,74,97,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1124,452,665,404,234,194,431,367,459,216,312,168,147,135,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1102,546,305,171,129,99,176,152,797,533,300,205,497,498,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2297,795,932,384,633,334,299,218,1365,702,779,424,586,508,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2825,1150,523,314,219,193,304,252,2302,1102,906,558,1396,922,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2579,852,1272,573,909,486,363,322,1307,563,615,472,692,308,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,822,420,447,267,342,250,105,97,375,326,262,280,113,159,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,2444,966,873,414,491,319,382,295,1571,840,749,560,822,572,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1484,824,582,296,409,266,173,134,902,798,208,230,694,751,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,3503,1046,1267,660,526,340,741,486,2236,793,1111,545,1125,503,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,10488,2124,3375,914,2068,742,1307,525,7113,1687,3499,993,3614,1079,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,3288,915,1674,614,1189,599,485,314,1614,734,754,526,860,488,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,3147,946,1572,535,1360,554,212,167,1575,778,737,498,838,587,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
