GEO_ID,B19101B_001E,B19101B_001M,B19101B_002E,B19101B_002M,B19101B_003E,B19101B_003M,B19101B_004E,B19101B_004M,B19101B_005E,B19101B_005M,B19101B_006E,B19101B_006M,B19101B_007E,B19101B_007M,B19101B_008E,B19101B_008M,B19101B_009E,B19101B_009M,B19101B_010E,B19101B_010M,B19101B_011E,B19101B_011M,B19101B_012E,B19101B_012M,B19101B_013E,B19101B_013M,B19101B_014E,B19101B_014M,B19101B_015E,B19101B_015M,B19101B_016E,B19101B_016M,B19101B_017E,B19101B_017M,NAME,B19101B_001MA,B19101B_001EA,B19101B_002MA,B19101B_002EA,B19101B_003EA,B19101B_003MA,B19101B_004EA,B19101B_004MA,B19101B_005EA,B19101B_005MA,B19101B_006MA,B19101B_006EA,B19101B_007MA,B19101B_007EA,B19101B_008MA,B19101B_008EA,B19101B_009EA,B19101B_009MA,B19101B_010EA,B19101B_010MA,B19101B_011MA,B19101B_011EA,B19101B_012MA,B19101B_012EA,B19101B_013MA,B19101B_013EA,B19101B_014EA,B19101B_014MA,B19101B_015EA,B19101B_015MA,B19101B_016EA,B19101B_016MA,B19101B_017MA,B19101B_017EA,state
0400000US01,297569,6530,35973,2948,21278,2600,23693,2414,21006,2264,19120,2318,17854,2001,14641,2030,14233,2111,11168,1762,23657,2779,26929,2666,30525,3471,17855,2258,8942,1526,6872,1338,3823,928,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,60538,3433,3944,1128,2794,829,3113,869,3627,1087,4000,979,2801,833,3787,1101,3566,997,2560,896,6175,1374,6567,1121,7224,1678,4009,965,1459,557,2711,920,2201,767,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,104722,3467,14459,2049,7657,1427,8652,1552,9436,1671,7739,1693,8378,1673,6757,1326,5635,1495,4038,1012,7823,1365,8182,1420,7692,1514,3778,1052,2593,878,930,453,973,480,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,487933,7827,41658,3633,24908,2512,24529,3030,25760,2898,20955,2341,23430,2673,21939,2386,20002,2190,18058,2327,37832,3156,46273,3362,60413,4212,40748,3280,27382,2387,30095,2831,23951,2451,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,50179,3027,3832,1162,1564,687,2521,1155,2712,995,1156,551,3036,1021,2119,752,2617,889,2040,698,4703,1251,6482,1530,6533,1210,5365,1093,2366,913,1734,700,1399,529,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,83903,3464,6301,1181,4259,1246,4618,1237,4121,1157,4117,1036,5122,1379,4481,1121,3498,951,3141,1025,6092,1201,8964,1365,10202,1607,7118,1532,4416,1002,4073,1000,3380,990,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,46233,2206,2786,1010,1642,653,1880,732,2674,881,2531,917,2001,771,1965,773,1751,706,1401,693,3420,1074,4006,739,7423,1202,4789,1205,2404,741,3856,1152,1704,799,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,63979,2808,7400,1417,4127,1206,4001,997,2738,939,3792,1124,2558,886,2539,903,2710,800,2872,835,4132,914,4858,1005,7336,1413,4144,919,3138,731,3994,803,3640,821,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,674603,11784,60096,4760,33354,2937,50277,4597,49954,4148,43508,4081,44660,3462,39187,3490,37576,3005,35781,3518,60999,4196,67378,4658,72384,4500,36621,3725,16277,2023,17548,2651,9003,1729,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
