GEO_ID,B10051F_001E,B10051F_001M,B10051F_002E,B10051F_002M,B10051F_003E,B10051F_003M,B10051F_004E,B10051F_004M,B10051F_005E,B10051F_005M,B10051F_006E,B10051F_006M,B10051F_007E,B10051F_007M,NAME,B10051F_001MA,B10051F_001EA,B10051F_002EA,B10051F_002MA,B10051F_003EA,B10051F_003MA,B10051F_004MA,B10051F_004EA,B10051F_005MA,B10051F_005EA,B10051F_006MA,B10051F_006EA,B10051F_007MA,B10051F_007EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,20587,3638,6334,1412,4656,1199,1678,748,14253,3073,7874,2468,6379,1573,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,989,546,313,227,267,210,46,61,676,480,368,278,308,372,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,227394,10150,46474,4131,31324,3220,15150,2237,180920,9002,99872,6240,81048,5819,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,7763,1786,2519,965,1793,750,726,421,5244,1363,2726,953,2518,958,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,4019,1498,1508,847,1127,706,381,351,2511,1163,1700,1034,811,435,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14925,2548,3058,1117,2522,1051,536,335,11867,2163,5759,1568,6108,1805,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7207,2017,1846,839,1387,765,459,325,5361,1855,2819,1374,2542,1279,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,29797,3493,7185,1969,5235,1663,1950,887,22612,2782,14057,2288,8555,1951,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2792,869,769,398,384,226,385,332,2023,793,1142,578,881,460,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1308,633,520,447,359,336,161,252,788,399,332,271,456,320,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1178,700,440,445,440,445,0,204,738,589,471,447,267,244,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,8992,2064,2375,1242,1620,840,755,611,6617,1537,4096,1378,2521,866,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
