GEO_ID,B10051C_001E,B10051C_001M,B10051C_002E,B10051C_002M,B10051C_003E,B10051C_003M,B10051C_004E,B10051C_004M,B10051C_005E,B10051C_005M,B10051C_006E,B10051C_006M,B10051C_007E,B10051C_007M,NAME,B10051C_001EA,B10051C_001MA,B10051C_002EA,B10051C_002MA,B10051C_003EA,B10051C_003MA,B10051C_004EA,B10051C_004MA,B10051C_005MA,B10051C_005EA,B10051C_006MA,B10051C_006EA,B10051C_007EA,B10051C_007MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,4598,451,2537,375,1332,211,1205,302,2061,352,1147,328,914,178,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,16696,1967,8452,1167,4934,957,3518,769,8244,1402,3977,739,4267,1035,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12655,1835,4485,963,2661,761,1824,548,8170,1538,3803,924,4367,1124,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1861,778,572,414,335,312,237,256,1289,624,885,606,404,279,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1714,603,571,286,315,259,256,140,1143,526,787,516,356,301,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,995,442,828,400,369,219,459,306,167,162,65,81,102,146,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
