GEO_ID,C21001B_001E,C21001B_001M,C21001B_002E,C21001B_002M,C21001B_003E,C21001B_003M,C21001B_004E,C21001B_004M,C21001B_005E,C21001B_005M,C21001B_006E,C21001B_006M,C21001B_007E,C21001B_007M,C21001B_008E,C21001B_008M,C21001B_009E,C21001B_009M,C21001B_010E,C21001B_010M,C21001B_011E,C21001B_011M,C21001B_012E,C21001B_012M,C21001B_013E,C21001B_013M,C21001B_014E,C21001B_014M,C21001B_015E,C21001B_015M,NAME,C21001B_001EA,C21001B_001MA,C21001B_002MA,C21001B_002EA,C21001B_003MA,C21001B_003EA,C21001B_004MA,C21001B_004EA,C21001B_005EA,C21001B_005MA,C21001B_006EA,C21001B_006MA,C21001B_007MA,C21001B_007EA,C21001B_008MA,C21001B_008EA,C21001B_009MA,C21001B_009EA,C21001B_010EA,C21001B_010MA,C21001B_011EA,C21001B_011MA,C21001B_012EA,C21001B_012MA,C21001B_013MA,C21001B_013EA,C21001B_014MA,C21001B_014EA,C21001B_015MA,C21001B_015EA,state
0400000US01,966043,3751,435875,2368,379320,2674,43879,2762,335441,3846,56555,1290,19634,1579,36921,1796,530168,2581,444340,2667,9777,1710,434563,3252,85828,1093,1139,464,84689,1194,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,17936,983,10928,875,10427,883,2997,776,7430,1147,501,267,302,244,199,228,7008,566,6554,647,669,391,5885,645,454,305,0,149,454,305,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,218463,4042,113195,2465,101963,2447,12745,1868,89218,2844,11232,415,6082,880,5150,822,105268,2518,91857,2322,3450,912,88407,2322,13411,837,487,496,12924,664,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,338381,3232,156689,2060,137976,2216,16054,2107,121922,2824,18713,945,6393,909,12320,846,181692,2747,155293,2810,2237,790,153056,2920,26399,669,431,224,25968,701,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1766676,9505,866028,6119,750603,5851,83435,4404,667168,7686,115425,1428,53563,2630,61862,2746,900648,6820,744641,6070,11937,1965,732704,6474,156007,2212,2294,606,153713,2293,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,163438,3673,87637,2716,78970,2637,13329,2053,65641,2812,8667,739,4985,816,3682,856,75801,2315,65731,2129,2939,1044,62792,2267,10070,833,219,203,9851,801,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,285141,4516,131659,3094,116759,3106,6817,1483,109942,3514,14900,568,4081,866,10819,782,153482,2487,129975,2484,1097,596,128878,2466,23507,649,210,161,23297,641,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,152880,1717,69774,1020,60577,1010,5415,1017,55162,1556,9197,195,4385,884,4812,874,83106,1352,69947,1332,1366,668,68581,1341,13159,140,46,81,13113,158,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,249893,2554,110659,1419,93633,1420,7196,1330,86437,1935,17026,200,6047,877,10979,891,139234,1768,111060,1743,1796,700,109264,1796,28174,236,353,206,27821,318,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2402728,9527,1124955,6909,985018,6626,96381,5188,888637,7453,139937,2145,39024,2214,100913,3040,1277773,5972,1077940,5452,20721,3084,1057219,6247,199833,3088,1552,661,198281,3196,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
