GEO_ID,B19001F_001E,B19001F_001M,B19001F_002E,B19001F_002M,B19001F_003E,B19001F_003M,B19001F_004E,B19001F_004M,B19001F_005E,B19001F_005M,B19001F_006E,B19001F_006M,B19001F_007E,B19001F_007M,B19001F_008E,B19001F_008M,B19001F_009E,B19001F_009M,B19001F_010E,B19001F_010M,B19001F_011E,B19001F_011M,B19001F_012E,B19001F_012M,B19001F_013E,B19001F_013M,B19001F_014E,B19001F_014M,B19001F_015E,B19001F_015M,B19001F_016E,B19001F_016M,B19001F_017E,B19001F_017M,NAME,B19001F_001EA,B19001F_001MA,B19001F_002MA,B19001F_002EA,B19001F_003MA,B19001F_003EA,B19001F_004MA,B19001F_004EA,B19001F_005MA,B19001F_005EA,B19001F_006EA,B19001F_006MA,B19001F_007EA,B19001F_007MA,B19001F_008MA,B19001F_008EA,B19001F_009MA,B19001F_009EA,B19001F_010MA,B19001F_010EA,B19001F_011MA,B19001F_011EA,B19001F_012EA,B19001F_012MA,B19001F_013EA,B19001F_013MA,B19001F_014EA,B19001F_014MA,B19001F_015EA,B19001F_015MA,B19001F_016MA,B19001F_016EA,B19001F_017EA,B19001F_017MA,state
0400000US01,11066,1598,1164,562,572,444,855,497,901,475,1168,773,977,524,392,279,803,416,357,299,742,508,957,467,1136,643,423,261,382,344,127,182,110,141,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,131289,5070,12475,1702,8100,1477,9893,1559,8894,1640,9909,1638,9967,1844,7051,1492,8041,1510,7352,1523,11919,1786,12368,1970,13086,1750,5941,1186,2299,619,2503,816,1491,592,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16162,1767,1376,567,675,464,1123,549,1436,760,1782,832,835,396,2162,935,923,426,916,585,1233,509,1775,845,680,410,667,506,286,265,26,50,267,176,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1283912,14187,72368,4472,68062,3855,74260,4018,82398,4343,74799,4817,85203,4437,72630,4400,71111,3831,67328,4122,113999,6100,141744,6468,156547,6264,86096,4932,50092,3297,41740,3767,25535,2896,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,59895,3532,4760,1079,2687,917,3277,1020,3591,804,3318,944,5539,1394,3069,873,2971,1040,3516,983,6076,1341,6947,1372,4937,1111,4693,1248,1865,651,2082,768,567,359,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,53610,4053,5942,1237,3909,1341,4588,1309,4131,1234,3111,866,2868,965,2878,861,2695,980,3993,1280,4060,1258,3863,970,4899,1233,3534,995,1916,757,713,357,510,350,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5059,1103,647,346,462,348,355,281,177,167,403,388,299,267,322,380,140,167,0,190,488,373,379,341,491,372,398,386,134,196,138,210,226,339,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11800,1544,342,375,37,62,1564,898,676,537,309,301,732,531,710,531,584,548,75,87,2068,1064,585,424,629,440,1674,984,132,157,945,587,738,696,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,149344,7197,12069,1885,8174,1740,10245,1919,12465,2312,9117,1797,11124,1955,7668,1632,8768,1478,6874,1404,12489,1901,14418,2169,17924,2606,6575,1618,3562,1070,4121,1310,3751,1203,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,71204,4288,4230,1174,4487,1440,5643,1203,5639,1526,8104,1560,4801,1489,4720,1504,4305,1296,3563,1124,4605,1082,8083,1869,4798,1279,4080,1137,1012,509,1984,1047,1150,697,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
