GEO_ID,B14007F_001E,B14007F_001M,B14007F_002E,B14007F_002M,B14007F_003E,B14007F_003M,B14007F_004E,B14007F_004M,B14007F_005E,B14007F_005M,B14007F_006E,B14007F_006M,B14007F_007E,B14007F_007M,B14007F_008E,B14007F_008M,B14007F_009E,B14007F_009M,B14007F_010E,B14007F_010M,B14007F_011E,B14007F_011M,B14007F_012E,B14007F_012M,B14007F_013E,B14007F_013M,B14007F_014E,B14007F_014M,B14007F_015E,B14007F_015M,B14007F_016E,B14007F_016M,B14007F_017E,B14007F_017M,B14007F_018E,B14007F_018M,B14007F_019E,B14007F_019M,NAME,B14007F_001EA,B14007F_001MA,B14007F_002MA,B14007F_002EA,B14007F_003MA,B14007F_003EA,B14007F_004EA,B14007F_004MA,B14007F_005MA,B14007F_005EA,B14007F_006EA,B14007F_006MA,B14007F_007EA,B14007F_007MA,B14007F_008MA,B14007F_008EA,B14007F_009MA,B14007F_009EA,B14007F_010EA,B14007F_010MA,B14007F_011EA,B14007F_011MA,B14007F_012EA,B14007F_012MA,B14007F_013MA,B14007F_013EA,B14007F_014MA,B14007F_014EA,B14007F_015EA,B14007F_015MA,B14007F_016MA,B14007F_016EA,B14007F_017EA,B14007F_017MA,B14007F_018EA,B14007F_018MA,B14007F_019MA,B14007F_019EA,state
0400000US01,51792,5914,20416,3330,2010,823,542,358,976,490,2768,957,1922,853,1293,769,1322,554,1333,673,1545,617,1179,504,1267,648,754,477,651,469,1006,546,1848,908,0,192,31376,3656,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,459252,20248,147940,9413,3703,815,8537,1640,6794,1243,7166,1477,9691,1760,7341,1550,7592,1221,10630,1685,8514,1359,9861,1860,9812,1655,7962,1593,9944,1616,11335,2326,26424,3579,2634,723,311312,14547,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,61170,6080,22941,3235,1400,765,1437,819,1033,496,2033,727,1504,647,1481,528,1255,567,1009,628,1140,485,1535,657,2097,1036,862,502,632,439,1533,628,3882,1327,108,123,38229,3982,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5048691,61860,1660260,27878,87251,6009,94357,5303,79878,4565,88605,5186,84638,4839,85296,5008,89673,5345,85565,4476,85082,5449,88014,5050,84927,5361,92067,4738,88269,4573,108069,5563,386708,9951,31861,2747,3388431,42424,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,200002,12308,61925,5719,2519,834,3933,931,3984,1151,5857,1287,3620,969,3835,1158,3480,1020,3887,953,3529,1144,3398,1071,2998,973,3294,993,2042,690,4077,1191,9747,1588,1725,590,138077,8085,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,171283,12363,52850,5576,2731,1017,2710,995,2349,857,3025,1087,2748,847,3128,988,3254,1090,4069,1022,2440,898,3370,1025,2049,823,3063,1056,3861,1176,3238,1014,9852,1809,963,498,118433,8145,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18215,3791,5446,1631,291,372,140,153,269,301,149,194,486,362,0,190,326,223,189,245,825,653,39,66,561,447,300,239,309,255,279,263,1283,682,0,190,12769,2669,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,33369,3901,10320,1873,1147,886,178,218,179,209,1155,568,827,487,754,500,49,79,313,305,651,433,337,279,586,534,821,541,434,525,404,370,1547,792,938,842,23049,3030,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,505338,21655,144241,9087,9166,1866,6966,1961,6572,1274,5912,1457,7049,1665,6625,1684,8890,2157,6385,1575,7712,1978,7860,1876,9157,2086,6686,1567,9454,1872,7309,1611,32226,4315,6272,1343,361097,16089,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,266104,15518,92316,7381,5976,1610,7104,1791,5305,1148,6748,1576,7126,1561,4684,1051,6418,1743,5000,1263,4546,1249,5273,1219,6055,1525,5114,1347,5109,1442,4691,1326,11967,2397,1200,610,173788,10457,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,35697,4522,10450,2031,323,270,827,580,367,326,778,583,192,175,497,445,1173,585,1115,678,475,348,358,399,422,307,325,272,858,516,787,419,1766,916,187,199,25247,3361,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,737965,23715,243668,10170,15912,2566,12178,2024,14486,2249,13828,2135,14051,2106,15503,2100,14101,1854,12570,2179,13482,1942,13991,2004,14853,1877,13231,1905,12433,1923,15499,1908,44320,3756,3230,834,494297,16594,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,132547,9418,48497,4986,1990,778,2760,915,1795,678,2895,884,2467,724,3293,1017,3594,937,1896,591,3269,1183,3206,924,3978,1039,1973,729,2952,930,2928,996,8408,1572,1093,508,84050,6077,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,45253,5073,17123,2596,939,469,1010,417,992,538,1278,631,349,284,1238,572,956,481,1480,649,896,411,475,365,719,494,1860,672,866,605,854,367,3122,1307,89,84,28130,3491,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,64258,6037,22101,3143,1150,554,1971,850,1236,606,1168,399,846,404,1232,612,652,300,1191,512,927,528,1788,859,1748,700,786,323,1017,496,1164,409,4938,1259,287,319,42157,4088,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,35758,4257,13598,2295,1535,598,1381,531,427,291,1267,534,1201,495,406,330,600,413,402,190,1380,634,1089,576,756,435,840,485,442,255,274,201,1289,621,309,311,22160,2810,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
