GEO_ID,C17010F_001E,C17010F_001M,C17010F_002E,C17010F_002M,C17010F_003E,C17010F_003M,C17010F_004E,C17010F_004M,C17010F_005E,C17010F_005M,C17010F_006E,C17010F_006M,C17010F_007E,C17010F_007M,C17010F_008E,C17010F_008M,C17010F_009E,C17010F_009M,C17010F_010E,C17010F_010M,C17010F_011E,C17010F_011M,C17010F_012E,C17010F_012M,C17010F_013E,C17010F_013M,C17010F_014E,C17010F_014M,C17010F_015E,C17010F_015M,C17010F_016E,C17010F_016M,C17010F_017E,C17010F_017M,NAME,C17010F_001EA,C17010F_001MA,C17010F_002EA,C17010F_002MA,C17010F_003MA,C17010F_003EA,C17010F_004MA,C17010F_004EA,C17010F_005MA,C17010F_005EA,C17010F_006EA,C17010F_006MA,C17010F_007EA,C17010F_007MA,C17010F_008MA,C17010F_008EA,C17010F_009MA,C17010F_009EA,C17010F_010MA,C17010F_010EA,C17010F_011EA,C17010F_011MA,C17010F_012EA,C17010F_012MA,C17010F_013EA,C17010F_013MA,C17010F_014EA,C17010F_014MA,C17010F_015MA,C17010F_015EA,C17010F_016MA,C17010F_016EA,C17010F_017EA,C17010F_017MA,state
0400000US01,7647,1349,2701,909,1381,661,1381,661,1320,686,325,263,325,263,995,601,995,601,4946,1006,2900,854,2111,700,2046,717,634,359,460,317,1412,632,1299,606,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,99060,4635,25689,2361,9963,1628,8459,1445,15726,1935,2980,1008,2594,892,12746,1671,11487,1594,73371,4393,45758,3567,28725,2688,27613,2729,12861,1982,7184,1373,14752,1834,9807,1520,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13026,1779,3797,1157,1708,782,1678,788,2089,925,285,264,256,261,1804,918,1461,838,9229,1651,6709,1487,4340,1074,2520,978,1296,540,971,519,1224,808,1035,779,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1060782,13883,210500,7778,86607,5365,72401,5115,123893,5584,27382,2936,22420,2760,96511,5417,84577,5056,850282,12929,569014,10815,374965,9342,281268,8107,112895,4659,65680,4649,168373,6284,101837,4610,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,44771,3167,6647,1268,2786,744,2262,709,3861,1085,540,470,338,320,3321,851,2741,774,38124,2923,26713,2529,17158,2163,11411,1814,5171,1185,3360,983,6240,1212,4211,1103,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,39473,3639,10920,2255,2547,1039,1948,918,8373,1874,1241,645,591,415,7132,1629,6187,1479,28553,3363,16029,2278,7969,1654,12524,2150,3721,1181,2272,1008,8803,1683,6794,1448,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3703,987,1285,483,441,290,234,216,844,429,245,220,124,152,599,393,574,393,2418,974,1605,735,811,492,813,515,78,105,31,53,735,480,451,399,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,6485,1384,1307,844,314,360,314,360,993,781,619,662,501,606,374,454,374,454,5178,1231,3445,1159,2225,1006,1733,608,588,383,119,141,1145,502,841,471,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,107807,6287,21146,2428,9222,1845,7281,1790,11924,2110,3014,1022,2436,991,8910,1714,7706,1561,86661,6042,55845,5258,29247,3881,30816,3464,11083,1979,5343,1387,19733,2657,11835,1942,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
