GEO_ID,B08505F_001E,B08505F_001M,B08505F_002E,B08505F_002M,B08505F_003E,B08505F_003M,B08505F_004E,B08505F_004M,B08505F_005E,B08505F_005M,B08505F_006E,B08505F_006M,B08505F_007E,B08505F_007M,NAME,B08505F_001MA,B08505F_001EA,B08505F_002MA,B08505F_002EA,B08505F_003MA,B08505F_003EA,B08505F_004MA,B08505F_004EA,B08505F_005EA,B08505F_005MA,B08505F_006EA,B08505F_006MA,B08505F_007MA,B08505F_007EA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7610,2056,4970,1528,973,714,0,189,908,569,685,606,74,95,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,210592,10637,158540,8741,31522,4014,6054,1495,4464,1241,6301,1628,3711,1022,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,24972,3151,18005,2736,6006,1281,212,214,442,354,154,128,153,170,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2384720,32907,1696574,28678,326935,12529,161139,7668,69608,4947,64275,5226,66189,4938,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,95703,6479,70972,5169,13173,2484,4856,1093,2274,829,1007,465,3421,1374,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,80788,6588,49215,4844,15545,3363,7515,1754,4704,1641,1743,958,2066,876,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,7847,1761,5092,1444,1499,635,282,169,533,424,379,286,62,76,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,44531,4104,18467,2730,5768,1547,15324,2780,2748,1336,731,482,1493,873,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,269781,12841,197869,10415,35714,4570,10513,2468,6117,1668,7384,2157,12184,2442,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,121648,8002,77907,6272,28581,4083,5404,1506,2319,1098,4309,2051,3128,1021,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,5678,1041,3733,828,511,334,221,212,300,266,264,213,649,467,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,19106,2990,13954,2859,3645,1410,0,189,656,397,279,202,572,460,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,363836,13336,253366,10896,48863,4246,36929,3510,10986,1830,7299,1532,6393,1851,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,55340,4495,40909,3934,9457,1750,526,314,1161,643,2009,940,1278,632,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,22622,2487,13777,2220,7037,2035,419,412,996,555,152,205,241,243,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,33173,3813,24283,3390,6990,1658,407,454,950,666,279,233,264,266,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,17152,2467,12487,2194,3534,1241,123,113,685,386,163,197,160,188,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,26534,3369,17517,2519,5247,1566,476,321,2209,1031,589,659,496,333,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,105599,6580,60398,5293,24820,3120,14702,2614,3138,1082,1308,730,1233,651,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,129810,7185,67334,5553,18639,3372,20343,2806,11271,1785,6404,1602,5819,1865,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,50380,3604,35712,3383,9323,1596,1862,891,1405,488,927,587,1151,669,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,42042,3686,24011,2074,9950,2084,4001,1319,1444,652,1390,740,1246,795,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,31717,3479,23206,2934,5275,1306,445,394,584,362,749,534,1458,586,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,15420,2583,10596,2369,3215,1049,552,460,296,201,661,498,100,110,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,125376,7784,90948,6393,19886,2731,7922,2143,2798,964,2731,1121,1091,523,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,267676,12207,152435,8874,38241,5059,34731,4467,18899,2762,18346,3052,5024,1404,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,87521,6025,72960,5425,7688,1811,763,503,1038,571,1542,896,3530,1326,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,783629,18172,213983,8188,55595,5213,406675,14510,66801,5835,17524,3052,23051,2942,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,133057,7471,90381,6426,33212,4410,1931,895,1980,821,2387,1163,3166,1224,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,44926,3700,31688,3085,7400,1567,1578,756,1338,592,1847,1133,1075,528,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,49027,3643,35319,2966,9563,1713,237,177,1142,632,1281,435,1485,1097,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,56824,4949,35251,3957,11450,2057,3484,1252,3448,1319,1831,723,1360,773,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,104057,6734,66478,5071,15941,2493,10742,2185,6205,1384,2746,1086,1945,714,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,23222,3427,15925,2494,3472,1097,1749,1219,1328,579,578,567,170,199,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,33335,3712,23081,3128,8466,2010,54,95,612,390,692,478,430,349,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,37712,3631,25833,3369,7488,1683,1021,650,345,255,977,725,2048,1063,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,699759,19726,535611,15762,108578,8661,12084,2084,9917,1910,17667,2986,15902,2706,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,63458,5353,43235,4029,14018,2500,1717,729,1866,689,761,516,1861,853,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,106953,7795,71159,6282,16276,2577,8941,2154,5121,1524,3098,1306,2358,994,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,126954,6628,87385,5767,23855,3302,6264,1865,4366,1515,1248,540,3836,1283,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,null,null,null,null,null,null,null,null,null,null,null,null,null,null,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,49006,3875,36762,3118,7972,1581,1170,555,1408,774,985,540,709,388,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,171111,7053,142226,6465,9479,1880,3789,975,7018,1371,4246,1250,4353,1259,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
