GEO_ID,B10051I_001E,B10051I_001M,B10051I_002E,B10051I_002M,B10051I_003E,B10051I_003M,B10051I_004E,B10051I_004M,B10051I_005E,B10051I_005M,B10051I_006E,B10051I_006M,B10051I_007E,B10051I_007M,NAME,B10051I_001MA,B10051I_001EA,B10051I_002MA,B10051I_002EA,B10051I_003EA,B10051I_003MA,B10051I_004MA,B10051I_004EA,B10051I_005MA,B10051I_005EA,B10051I_006MA,B10051I_006EA,B10051I_007MA,B10051I_007EA,state
0400000US01,3249,1039,1284,650,717,444,567,408,1965,803,1162,704,803,549,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,76568,5851,27614,3459,18806,2845,8808,1946,48954,4426,26783,3193,22171,2824,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,4366,1226,1405,569,1052,523,353,360,2961,1123,1601,864,1360,717,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,608637,15881,134013,6612,86935,5931,47078,3997,474624,13602,249951,10812,224673,8513,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,36523,3852,11801,2295,7169,1614,4632,1395,24722,3326,14442,2601,10280,2073,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,11232,2138,3987,1261,2651,1028,1336,688,7245,1739,4731,1535,2514,779,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,1499,774,679,499,230,223,449,408,820,463,523,389,297,271,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,155327,9591,24138,3720,15418,2933,8720,1823,131189,8359,50661,5040,80528,5966,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,24123,3080,5621,1371,4748,1247,873,543,18502,2803,9363,2370,9139,1802,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3291,802,475,285,242,203,233,174,2816,773,1734,661,1082,470,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,4643,1222,790,533,721,531,69,88,3853,1144,2129,886,1724,604,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
