GEO_ID,B17001D_001E,B17001D_001M,B17001D_002E,B17001D_002M,B17001D_003E,B17001D_003M,B17001D_004E,B17001D_004M,B17001D_005E,B17001D_005M,B17001D_006E,B17001D_006M,B17001D_007E,B17001D_007M,B17001D_008E,B17001D_008M,B17001D_009E,B17001D_009M,B17001D_010E,B17001D_010M,B17001D_011E,B17001D_011M,B17001D_012E,B17001D_012M,B17001D_013E,B17001D_013M,B17001D_014E,B17001D_014M,B17001D_015E,B17001D_015M,B17001D_016E,B17001D_016M,B17001D_017E,B17001D_017M,B17001D_018E,B17001D_018M,B17001D_019E,B17001D_019M,B17001D_020E,B17001D_020M,B17001D_021E,B17001D_021M,B17001D_022E,B17001D_022M,B17001D_023E,B17001D_023M,B17001D_024E,B17001D_024M,B17001D_025E,B17001D_025M,B17001D_026E,B17001D_026M,B17001D_027E,B17001D_027M,B17001D_028E,B17001D_028M,B17001D_029E,B17001D_029M,B17001D_030E,B17001D_030M,B17001D_031E,B17001D_031M,B17001D_032E,B17001D_032M,B17001D_033E,B17001D_033M,B17001D_034E,B17001D_034M,B17001D_035E,B17001D_035M,B17001D_036E,B17001D_036M,B17001D_037E,B17001D_037M,B17001D_038E,B17001D_038M,B17001D_039E,B17001D_039M,B17001D_040E,B17001D_040M,B17001D_041E,B17001D_041M,B17001D_042E,B17001D_042M,B17001D_043E,B17001D_043M,B17001D_044E,B17001D_044M,B17001D_045E,B17001D_045M,B17001D_046E,B17001D_046M,B17001D_047E,B17001D_047M,B17001D_048E,B17001D_048M,B17001D_049E,B17001D_049M,B17001D_050E,B17001D_050M,B17001D_051E,B17001D_051M,B17001D_052E,B17001D_052M,B17001D_053E,B17001D_053M,B17001D_054E,B17001D_054M,B17001D_055E,B17001D_055M,B17001D_056E,B17001D_056M,B17001D_057E,B17001D_057M,B17001D_058E,B17001D_058M,B17001D_059E,B17001D_059M,NAME,B17001D_001MA,B17001D_001EA,B17001D_002MA,B17001D_002EA,B17001D_003MA,B17001D_003EA,B17001D_004MA,B17001D_004EA,B17001D_005EA,B17001D_005MA,B17001D_006EA,B17001D_006MA,B17001D_007EA,B17001D_007MA,B17001D_008EA,B17001D_008MA,B17001D_009MA,B17001D_009EA,B17001D_010MA,B17001D_010EA,B17001D_011EA,B17001D_011MA,B17001D_012EA,B17001D_012MA,B17001D_013MA,B17001D_013EA,B17001D_014EA,B17001D_014MA,B17001D_015MA,B17001D_015EA,B17001D_016MA,B17001D_016EA,B17001D_017MA,B17001D_017EA,B17001D_018EA,B17001D_018MA,B17001D_019EA,B17001D_019MA,B17001D_020MA,B17001D_020EA,B17001D_021MA,B17001D_021EA,B17001D_022EA,B17001D_022MA,B17001D_023MA,B17001D_023EA,B17001D_024MA,B17001D_024EA,B17001D_025EA,B17001D_025MA,B17001D_026MA,B17001D_026EA,B17001D_027MA,B17001D_027EA,B17001D_028MA,B17001D_028EA,B17001D_029EA,B17001D_029MA,B17001D_030EA,B17001D_030MA,B17001D_031MA,B17001D_031EA,B17001D_032MA,B17001D_032EA,B17001D_033EA,B17001D_033MA,B17001D_034MA,B17001D_034EA,B17001D_035MA,B17001D_035EA,B17001D_036EA,B17001D_036MA,B17001D_037MA,B17001D_037EA,B17001D_038EA,B17001D_038MA,B17001D_039MA,B17001D_039EA,B17001D_040EA,B17001D_040MA,B17001D_041EA,B17001D_041MA,B17001D_042MA,B17001D_042EA,B17001D_043EA,B17001D_043MA,B17001D_044EA,B17001D_044MA,B17001D_045MA,B17001D_045EA,B17001D_046MA,B17001D_046EA,B17001D_047EA,B17001D_047MA,B17001D_048EA,B17001D_048MA,B17001D_049EA,B17001D_049MA,B17001D_050MA,B17001D_050EA,B17001D_051EA,B17001D_051MA,B17001D_052EA,B17001D_052MA,B17001D_053MA,B17001D_053EA,B17001D_054EA,B17001D_054MA,B17001D_055EA,B17001D_055MA,B17001D_056EA,B17001D_056MA,B17001D_057EA,B17001D_057MA,B17001D_058EA,B17001D_058MA,B17001D_059MA,B17001D_059EA,state
0400000US01,58394,2339,7985,2002,3703,1103,394,374,0,192,91,176,304,298,0,192,103,170,1090,684,746,361,527,438,299,270,0,192,136,179,13,25,4282,1127,309,203,0,192,697,539,0,192,0,192,23,41,560,381,1269,594,634,428,61,81,499,333,230,164,0,192,50409,2648,23914,1961,1096,508,191,204,2507,612,1271,550,365,289,493,385,1518,717,4219,1042,4199,1107,3693,1011,2042,506,1618,603,702,280,26495,1949,1562,600,0,192,2549,762,859,417,285,238,342,301,2041,903,4260,1047,4493,928,3821,859,3904,781,1232,425,1147,461,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46758,2564,5159,2358,2544,1604,392,328,61,113,343,487,243,256,59,91,320,260,108,171,402,284,181,180,219,214,87,114,43,70,86,144,2615,973,411,351,23,42,358,264,61,119,94,118,0,149,588,341,259,312,158,184,430,276,173,162,60,99,0,149,41599,2898,19910,1875,1208,440,80,72,2358,795,586,336,241,136,605,406,2617,550,3241,937,2976,726,2064,474,2650,324,871,282,413,221,21689,1450,674,364,605,395,1094,411,687,476,422,271,894,362,1372,454,4152,512,3634,599,3186,519,3074,443,848,355,1047,320,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,212749,5491,28255,4680,13653,2550,836,629,238,262,706,394,175,208,98,154,100,121,5552,1151,1949,770,1717,832,718,371,572,331,561,378,431,331,14602,2710,404,334,218,262,1038,617,531,387,42,68,385,305,4495,1169,1420,549,1957,836,792,400,1112,473,1536,669,672,402,184494,5979,84036,3140,4309,851,1050,456,7080,1168,2892,731,822,355,2063,661,4300,941,16701,1414,15996,1088,12249,705,8664,667,4921,835,2989,499,100458,3730,6034,762,859,425,6590,1004,3137,709,1560,439,2127,474,5108,977,16338,1341,18328,1312,15855,1114,12497,787,7346,1005,4679,667,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41458,2472,6098,1650,2786,937,211,185,0,190,109,113,102,140,15,29,25,54,964,544,531,374,189,198,253,254,298,249,89,130,0,190,3312,1115,0,190,0,190,102,140,218,226,44,91,151,144,527,366,453,385,650,386,730,446,109,125,87,129,241,320,35360,2501,17956,1675,935,468,270,259,1785,647,357,263,123,210,853,461,2165,669,2655,878,2953,825,2442,753,1654,629,1404,456,360,254,17404,1666,864,446,0,190,1358,403,1038,602,171,243,467,325,1166,536,3221,977,2620,679,3202,814,2082,646,950,385,265,192,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5468030,19502,623644,21246,285493,11593,14820,2391,3541,864,18606,2529,10080,1656,3040,878,11188,1693,60882,4251,41669,4456,22481,2225,29763,2718,30301,2647,21634,2195,17488,1788,338151,12637,13685,2415,2766,1074,17023,2052,9915,1870,3352,860,7830,1279,61719,4468,46735,3967,36083,3127,37478,2985,37640,3703,31161,2327,32764,2586,4844386,24965,2298790,13006,123296,3716,25839,2363,161251,5290,74708,3285,24989,2311,50227,2936,168533,5036,388455,6063,368479,3920,338060,3115,282400,3291,178718,2421,113835,2187,2545596,16284,117924,4069,21050,1992,149748,4361,76671,3872,24598,1675,47690,2416,152155,4789,410416,6317,424797,3938,391492,4070,347950,4191,221483,3061,159622,2960,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,160327,5056,23349,3434,11334,2143,647,567,0,193,1143,654,739,557,158,154,333,244,2295,759,1897,768,1344,691,651,371,747,304,915,588,465,370,12015,1796,665,331,85,135,618,475,441,353,209,238,181,163,2710,880,1488,612,1641,591,1165,555,1463,510,717,469,632,377,136978,5368,61846,3308,4033,854,824,394,5131,1323,2548,664,801,336,933,370,4832,839,12010,1287,12069,1140,7937,847,6139,687,3045,685,1544,506,75132,3277,4559,831,667,351,6140,1222,2375,810,1016,439,1757,520,4868,912,13823,1363,14058,1013,10294,1025,8269,679,4832,747,2474,643,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,150621,2713,10951,2202,5993,1505,0,198,57,92,613,364,468,376,97,111,542,373,1301,577,1270,600,203,204,702,424,373,297,96,114,271,318,4958,1258,292,257,47,89,142,147,329,306,90,146,73,94,337,228,1305,558,621,416,734,405,505,352,272,223,211,183,139670,3248,67057,2130,4322,438,535,347,5259,969,3097,644,1041,349,1255,378,4450,778,13377,970,12184,894,9674,793,6656,687,3914,644,1293,535,72613,2427,3967,466,823,431,5089,983,2913,777,662,337,2001,492,5112,914,12931,979,14889,728,10866,717,7281,597,4074,774,2005,713,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,35493,1649,2117,1089,685,378,83,141,0,190,0,190,0,190,105,178,0,190,95,120,0,190,43,72,313,229,0,190,0,190,46,74,1432,846,0,190,0,190,98,156,195,231,0,190,0,190,691,526,7,14,75,122,118,130,248,265,0,190,0,190,33376,1731,16110,1104,882,228,274,201,1269,338,476,257,245,188,145,157,1551,751,3008,881,2800,237,2184,352,1580,183,973,413,723,266,17266,1040,1326,134,321,233,1170,533,514,323,279,188,324,194,809,444,3677,282,2785,332,2422,199,1483,405,1321,437,835,396,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,536639,8757,65766,7305,29811,3962,1347,663,455,372,1929,731,661,423,451,346,732,466,6571,1506,5120,1357,3151,1082,3151,1064,3131,1129,1719,680,1393,522,35955,4610,1370,716,550,404,2531,1123,1379,732,654,482,374,272,6872,1292,5366,1305,4636,1320,4971,1376,3632,935,1586,669,2034,605,470873,10562,213322,6760,11569,1424,1782,569,17184,2057,7971,1720,3175,1037,4177,1026,16972,2209,34976,2646,36095,2945,30981,1924,24148,1681,15887,1602,8405,997,257551,5990,12588,1608,1982,748,16149,1911,8099,1470,2453,765,6127,1420,17573,1822,36786,2606,47769,2489,37335,1673,34788,2034,23285,1641,12617,1559,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
