GEO_ID,B13002B_001E,B13002B_001M,B13002B_002E,B13002B_002M,B13002B_003E,B13002B_003M,B13002B_004E,B13002B_004M,B13002B_005E,B13002B_005M,B13002B_006E,B13002B_006M,B13002B_007E,B13002B_007M,NAME,B13002B_001MA,B13002B_001EA,B13002B_002MA,B13002B_002EA,B13002B_003MA,B13002B_003EA,B13002B_004EA,B13002B_004MA,B13002B_005EA,B13002B_005MA,B13002B_006MA,B13002B_006EA,B13002B_007MA,B13002B_007EA,state
0400000US01,351192,3600,19592,2665,4356,1190,15236,2142,331600,4631,83982,3859,247618,5506,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,5080,603,504,421,83,117,421,406,4576,651,1433,617,3143,650,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,78190,2757,3691,1174,2428,960,1263,549,74499,2819,20708,2327,53791,3041,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,126484,3031,7350,2009,1891,897,5459,1955,119134,3877,32065,2801,87069,4098,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,578189,6713,28389,2988,10715,1901,17674,2473,549800,7370,129369,4844,420431,6566,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,55233,2371,2969,948,1172,526,1797,877,52264,2378,16394,1879,35870,2639,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,104502,2501,4371,1249,1964,734,2407,925,100131,2883,24161,2403,75970,2914,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,54800,1493,2274,831,994,458,1280,694,52526,1806,13148,1966,39378,2278,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,83991,1400,4126,1072,725,375,3401,959,79865,1698,13729,1840,66136,2123,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,876950,5923,43695,3777,15344,2437,28351,3363,833255,6656,217904,6406,615351,8918,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,898624,5623,51078,4662,16275,2948,34803,3792,847546,6453,230036,7913,617510,8039,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,487832,4546,25058,2977,6263,1384,18795,2728,462774,5392,89062,4618,373712,5759,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,161108,4362,10292,1980,2738,1060,7554,1725,150816,4753,32516,2962,118300,4623,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,26626,1688,2041,738,729,381,1312,666,24585,1807,6298,1168,18287,1790,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,40527,1858,3331,1064,1502,643,1829,895,37196,1777,10256,1433,26940,2120,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,86504,2229,4822,1295,1645,935,3177,1000,81682,2570,19965,2310,61717,3002,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,396948,3180,23257,3419,4813,1155,18444,3140,373691,4436,88516,4716,285175,6749,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,2605,560,142,130,123,129,19,20,2463,534,1002,409,1461,487,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,477748,4555,23820,2707,9193,1543,14627,2180,453928,4753,127184,5487,326744,6103,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,139248,4211,9063,1690,4666,1223,4397,1224,130185,4307,36600,2851,93585,4833,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,365511,3892,20898,2048,4965,1070,15933,1949,344613,4240,63762,3818,280851,4793,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,83353,2394,7528,1563,4005,1100,3523,1019,75825,2807,23107,2391,52718,3205,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,305053,2961,15463,1999,4202,1169,11261,1711,289590,3571,69985,3576,219605,4889,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,191035,3424,10213,1784,2248,711,7965,1737,180822,3911,41600,3096,139222,4277,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,22517,1109,2225,670,1062,500,1163,656,20292,1232,5300,1141,14992,1537,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,65638,2179,3026,830,803,407,2223,752,62612,2151,16648,1929,45964,2693,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,4542,992,467,382,173,237,294,299,4075,936,1670,591,2405,671,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,319183,3940,14611,2050,5522,1201,9089,1616,304572,3912,74654,3875,229918,4167,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,9862,1553,285,392,0,193,285,392,9577,1601,2585,783,6992,1575,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,826135,6944,31645,3039,12305,1694,19340,2315,794490,7649,190494,5681,603996,9770,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,572924,4854,27393,2779,9590,1808,17803,2232,545531,5352,146334,5703,399197,6708,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,366689,4582,22503,2754,6914,1722,15589,2043,344186,4637,77776,4904,266410,6646,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,73933,2169,3469,765,1046,583,2423,587,70464,2271,19271,1934,51193,2573,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,20187,1929,874,541,562,512,312,256,19313,2028,5604,1175,13709,1807,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,366914,4740,19174,2285,4697,1079,14477,2093,347740,5304,75083,4659,272657,6736,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,18496,1776,1630,716,794,581,836,490,16866,1767,3770,869,13096,1648,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,345443,3697,20444,2776,5526,1610,14918,2231,324999,4508,83265,4367,241734,5600,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,3127,610,193,201,91,119,102,164,2934,637,1809,500,1125,470,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,302970,3497,17799,2758,5004,1347,12795,2285,285171,3757,75766,4197,209405,4318,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,898171,7748,48566,3713,19773,2428,28793,3126,849605,8552,247207,8148,602398,9417,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,7699,1092,601,313,429,311,172,224,7098,1167,2318,801,4780,1183,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,419378,5039,21064,2157,9215,1574,11849,1935,398314,5023,113868,4598,284446,5944,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,66724,2763,3571,973,2113,725,1458,685,63153,2884,20652,2782,42501,2790,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,15959,1829,559,388,327,305,232,221,15400,1759,3083,959,12317,1722,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,97855,2289,5153,917,941,385,4212,860,92702,2391,18534,1760,74168,2632,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,79324,5106,2018,779,1029,559,989,499,77306,5101,19948,2594,57358,4224,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
