GEO_ID,B10051D_001E,B10051D_001M,B10051D_002E,B10051D_002M,B10051D_003E,B10051D_003M,B10051D_004E,B10051D_004M,B10051D_005E,B10051D_005M,B10051D_006E,B10051D_006M,B10051D_007E,B10051D_007M,NAME,B10051D_001EA,B10051D_001MA,B10051D_002EA,B10051D_002MA,B10051D_003MA,B10051D_003EA,B10051D_004MA,B10051D_004EA,B10051D_005EA,B10051D_005MA,B10051D_006EA,B10051D_006MA,B10051D_007EA,B10051D_007MA,state
0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3081,987,480,296,411,310,69,103,2601,856,1092,560,1509,589,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6470,1532,877,453,85,100,792,479,5593,1437,1063,423,4530,1418,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,220796,8869,30353,3644,7472,1727,22881,3098,190443,7139,34083,3137,156360,6591,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5182,1201,772,474,396,379,376,272,4410,1104,890,431,3520,982,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3449,1271,554,471,27,47,527,469,2895,1111,468,345,2427,991,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,1613,710,302,311,92,124,210,257,1311,665,553,354,758,550,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,22633,3365,3082,958,1508,720,1574,656,19551,3358,2941,984,16610,3358,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,12250,2301,1233,619,863,598,370,284,11017,2068,2374,1275,8643,1563,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,28372,2694,3709,1019,1709,583,2000,841,24663,2362,5634,1509,19029,2165,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,25488,2963,2401,949,587,388,1814,752,23087,2740,5734,1625,17353,2243,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3626,1228,545,404,198,214,347,329,3081,1206,496,322,2585,1122,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1767,629,62,72,62,72,0,187,1705,637,571,320,1134,522,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2768,919,366,320,293,291,73,118,2402,838,742,416,1660,738,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,14900,2125,1480,645,465,303,1015,598,13420,2079,2678,871,10742,1653,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,12537,1829,1305,650,282,220,1023,614,11232,1684,2844,1165,8388,1464,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,8382,1486,579,376,131,147,448,334,7803,1490,2124,908,5679,1147,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,8373,1884,1196,671,753,569,443,316,7177,1698,1860,859,5317,1471,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,8912,1879,1503,614,609,279,894,542,7409,1761,1161,611,6248,1528,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,33129,3338,2003,732,404,218,1599,711,31126,3322,5215,1546,25911,2878,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,null,null,null,null,null,null,null,null,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,66710,5513,12285,2087,5875,1447,6410,1413,54425,4718,13511,2240,40914,3657,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,11530,2333,1712,1078,854,676,858,800,9818,2246,2286,1015,7532,1915,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,null,null,null,null,null,null,null,null,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
