GEO_ID,B25032F_001E,B25032F_001M,B25032F_002E,B25032F_002M,B25032F_003E,B25032F_003M,B25032F_004E,B25032F_004M,B25032F_005E,B25032F_005M,B25032F_006E,B25032F_006M,B25032F_007E,B25032F_007M,B25032F_008E,B25032F_008M,B25032F_009E,B25032F_009M,B25032F_010E,B25032F_010M,B25032F_011E,B25032F_011M,NAME,B25032F_001EA,B25032F_001MA,B25032F_002MA,B25032F_002EA,B25032F_003MA,B25032F_003EA,B25032F_004MA,B25032F_004EA,B25032F_005MA,B25032F_005EA,B25032F_006EA,B25032F_006MA,B25032F_007MA,B25032F_007EA,B25032F_008MA,B25032F_008EA,B25032F_009MA,B25032F_009EA,B25032F_010MA,B25032F_010EA,B25032F_011EA,B25032F_011MA,state
0400000US01,11066,1598,4548,960,0,192,199,194,122,176,824,512,1373,738,643,506,0,192,3357,968,0,192,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,131289,5070,79910,3959,6137,1277,2597,840,5187,1053,6284,1436,8312,1672,4748,1199,4833,1086,13237,2164,44,72,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16162,1767,10107,1659,101,116,983,690,943,600,1164,739,972,576,0,190,193,198,1699,632,0,190,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1283912,14187,655037,11750,83080,4395,42493,3516,95042,5150,103038,5647,88854,4813,86416,5092,73602,3740,54916,3509,1434,629,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,59895,3532,29325,2667,4643,1290,1267,503,2166,753,3480,892,5704,1364,4789,1386,2559,881,5913,1225,49,80,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,53610,4053,12695,2072,1977,743,11889,2113,12170,2282,5889,1269,3943,1341,2276,920,2579,889,192,248,0,198,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11800,1544,828,436,1396,670,624,814,280,237,406,334,1625,981,2311,956,4222,1404,108,166,0,200,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,149344,7197,66295,5204,8871,1659,6374,1561,9208,1896,11957,1918,16074,2263,8640,1517,10453,1861,11314,2041,158,178,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,71204,4288,40663,3837,3430,1118,1836,824,4181,1411,4405,1095,4671,1517,1384,673,1746,850,8619,1518,269,449,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
