GEO_ID,B01001B_001E,B01001B_001M,B01001B_002E,B01001B_002M,B01001B_003E,B01001B_003M,B01001B_004E,B01001B_004M,B01001B_005E,B01001B_005M,B01001B_006E,B01001B_006M,B01001B_007E,B01001B_007M,B01001B_008E,B01001B_008M,B01001B_009E,B01001B_009M,B01001B_010E,B01001B_010M,B01001B_011E,B01001B_011M,B01001B_012E,B01001B_012M,B01001B_013E,B01001B_013M,B01001B_014E,B01001B_014M,B01001B_015E,B01001B_015M,B01001B_016E,B01001B_016M,B01001B_017E,B01001B_017M,B01001B_018E,B01001B_018M,B01001B_019E,B01001B_019M,B01001B_020E,B01001B_020M,B01001B_021E,B01001B_021M,B01001B_022E,B01001B_022M,B01001B_023E,B01001B_023M,B01001B_024E,B01001B_024M,B01001B_025E,B01001B_025M,B01001B_026E,B01001B_026M,B01001B_027E,B01001B_027M,B01001B_028E,B01001B_028M,B01001B_029E,B01001B_029M,B01001B_030E,B01001B_030M,B01001B_031E,B01001B_031M,NAME,B01001B_001EA,B01001B_001MA,B01001B_002MA,B01001B_002EA,B01001B_003EA,B01001B_003MA,B01001B_004EA,B01001B_004MA,B01001B_005EA,B01001B_005MA,B01001B_006EA,B01001B_006MA,B01001B_007MA,B01001B_007EA,B01001B_008EA,B01001B_008MA,B01001B_009EA,B01001B_009MA,B01001B_010EA,B01001B_010MA,B01001B_011EA,B01001B_011MA,B01001B_012MA,B01001B_012EA,B01001B_013MA,B01001B_013EA,B01001B_014EA,B01001B_014MA,B01001B_015EA,B01001B_015MA,B01001B_016EA,B01001B_016MA,B01001B_017MA,B01001B_017EA,B01001B_018MA,B01001B_018EA,B01001B_019EA,B01001B_019MA,B01001B_020EA,B01001B_020MA,B01001B_021EA,B01001B_021MA,B01001B_022MA,B01001B_022EA,B01001B_023MA,B01001B_023EA,B01001B_024MA,B01001B_024EA,B01001B_025EA,B01001B_025MA,B01001B_026EA,B01001B_026MA,B01001B_027MA,B01001B_027EA,B01001B_028MA,B01001B_028EA,B01001B_029MA,B01001B_029EA,B01001B_030EA,B01001B_030MA,B01001B_031EA,B01001B_031MA,state
0400000US01,1303298,5731,605886,4025,42328,1996,48791,3158,48880,3921,29186,1350,21468,1782,52631,2444,44194,2290,38948,2323,76426,2992,74310,2441,72169,1330,38529,1504,14579,954,3447,792,697412,4521,42376,2225,48214,3480,46479,3209,29324,1713,22710,2286,54153,2812,50743,2244,46342,1692,96481,2796,88275,1990,86487,985,49313,1065,25429,1247,11086,1141,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,26176,1808,15699,1075,915,405,419,331,1153,392,689,339,624,584,2765,897,1385,691,939,98,2712,714,2108,711,1489,387,501,267,0,149,0,149,10477,1161,1298,783,485,286,1045,481,567,232,146,142,768,248,676,261,814,444,1472,550,1161,483,1591,454,208,248,246,218,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,300685,6487,154318,3510,10125,1573,11988,1629,10745,1368,7261,820,5321,728,14617,1092,14499,1049,13339,1323,21473,1099,19531,1027,14187,729,7302,439,2708,530,1222,453,146367,4219,10731,1468,11081,1549,11439,1534,7443,825,5445,886,11860,1333,11914,1098,11630,1038,18688,1331,18240,1083,14485,676,8849,776,3500,605,1062,431,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,469555,5093,223735,3887,17608,1699,20327,2355,17745,1820,10841,1451,9548,1519,18944,1744,15304,1424,14473,1671,28839,1954,26254,1756,25139,1207,13000,924,3950,650,1763,531,245820,4115,15657,1680,17061,1956,19141,2038,11381,1321,7796,1468,20626,1926,19580,2085,15809,1315,32824,1975,29590,1540,29956,997,15123,786,7585,861,3691,787,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2277229,14769,1127416,9174,66738,2904,63559,3863,72435,3971,47866,1610,33594,1624,101914,3038,99224,2299,84547,2297,142438,2518,162630,2432,137046,1838,71369,1210,34794,1788,9262,1718,1149813,9204,64338,2986,66985,4251,69933,4023,45672,1835,30527,1794,92802,2954,94003,2698,72384,2322,144383,2457,165249,2631,147530,1914,89105,2048,47637,1932,19265,1895,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,224809,6222,119339,4125,7402,1058,8693,1640,7576,1645,4826,863,3413,1249,10813,1572,10837,1219,10473,1058,17256,1165,16642,1526,12741,956,5590,604,2667,431,410,249,105470,3550,7740,1332,8720,1345,7833,1341,4503,787,3803,851,7732,1398,8862,876,7754,829,13448,976,13195,862,11810,798,6275,553,2365,641,1430,638,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,380571,6628,181753,4163,13305,1186,12408,1576,14365,1659,9273,752,6969,750,17231,1167,14110,1052,11809,889,24343,1312,24520,1110,18520,769,9549,408,3873,749,1478,481,198818,3904,10646,1141,13459,1591,12971,1599,8152,760,5838,843,15697,1116,15671,1260,14033,921,26112,1170,30554,1171,22178,723,14081,574,6056,858,3370,712,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,203863,3106,95869,1743,6233,914,6380,1129,8018,1150,5341,487,3110,922,8829,1072,6820,570,6023,593,12049,596,13529,381,10340,256,6244,396,2145,349,808,462,107994,2238,6080,762,7350,1107,7161,1307,4236,456,3260,701,8967,917,7381,514,7330,670,13904,785,15742,449,13424,211,7925,137,4081,403,1153,400,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,318831,2822,144884,1595,10587,361,9794,1221,8122,1162,5273,328,4617,467,12239,390,11837,444,10061,412,16822,537,19792,554,18714,439,10236,158,4487,454,2303,462,173947,1808,11067,469,10253,969,7859,972,5285,206,4949,335,13873,439,14177,656,11983,495,20596,562,21984,446,23747,726,14506,185,8424,709,5244,690,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3280778,15532,1571064,10364,121584,3432,118781,5201,121315,5947,78323,3071,49781,2778,140561,4125,126663,3350,108820,3122,203924,4073,197469,3782,163906,2413,89629,1667,39158,1916,11150,1822,1709714,9062,118087,2967,116438,5149,120950,5250,74261,2607,49660,2931,134527,2840,136690,3242,124673,3225,225788,3536,217803,3455,191004,2593,115791,2087,60628,2742,23414,2419,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
