GEO_ID,B13002F_001E,B13002F_001M,B13002F_002E,B13002F_002M,B13002F_003E,B13002F_003M,B13002F_004E,B13002F_004M,B13002F_005E,B13002F_005M,B13002F_006E,B13002F_006M,B13002F_007E,B13002F_007M,NAME,B13002F_001MA,B13002F_001EA,B13002F_002MA,B13002F_002EA,B13002F_003EA,B13002F_003MA,B13002F_004EA,B13002F_004MA,B13002F_005EA,B13002F_005MA,B13002F_006MA,B13002F_006EA,B13002F_007MA,B13002F_007EA,state
0400000US01,12660,2052,480,293,243,212,237,202,12180,2054,5182,1264,6998,1691,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,3362,1145,143,145,143,145,0,149,3219,1150,1503,764,1716,905,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,134318,8433,9539,1478,4394,1092,5145,1244,124779,8168,48726,3491,76053,6348,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,15922,2354,1563,682,1010,539,553,526,14359,2314,8684,1746,5675,1655,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1485359,21156,80811,4754,44768,3013,36043,3652,1404548,21158,570270,10955,834278,15880,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,55961,4324,3028,1199,1561,844,1467,642,52933,4394,25738,2512,27195,3352,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,49769,4436,2879,921,943,480,1936,800,46890,4388,17828,2360,29062,3089,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6097,1415,179,182,44,70,135,166,5918,1343,2665,921,3253,911,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9637,1833,292,291,95,166,197,250,9345,1747,3548,998,5797,1586,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,150617,8097,10537,2328,4532,1306,6005,1869,140080,7644,58290,4339,81790,6078,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,75173,5681,4869,1235,3402,1034,1467,809,70304,5660,33517,3282,36787,4275,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,2998,918,126,144,126,144,0,182,2872,905,1653,716,1219,581,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,10877,2160,877,541,547,431,330,292,10000,2103,3352,1055,6648,1738,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,215418,8388,10952,1704,6413,1393,4539,1110,204466,8170,94740,5097,109726,6316,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,39757,3509,2391,985,1607,732,784,489,37366,3536,14000,1687,23366,3263,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,12540,1894,1401,680,538,393,863,560,11139,1786,5673,1192,5466,1192,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,18600,2029,1215,522,680,413,535,357,17385,1994,7790,1344,9595,1457,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,10009,1531,863,497,646,433,217,226,9146,1457,4490,966,4656,1267,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,13519,2192,1391,706,1197,654,194,249,12128,2115,6648,1531,5480,1382,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,65774,3971,3593,1038,2306,815,1287,623,62181,3946,25016,2329,37165,3324,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,79915,5357,3327,973,1080,489,2247,715,76588,5580,24746,3244,51842,4189,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,30805,2637,2265,707,1107,463,1158,561,28540,2522,13462,1497,15078,2044,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,22447,2207,1025,407,590,295,435,345,21422,2238,9773,1375,11649,2085,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,6089,1346,453,424,391,387,62,105,5636,1286,2788,799,2848,1006,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,18011,2065,1140,625,635,442,505,376,16871,2009,6744,1451,10127,1592,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,9806,2179,1741,815,1223,608,518,422,8065,1779,3234,777,4831,1499,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
