GEO_ID,B19101F_001E,B19101F_001M,B19101F_002E,B19101F_002M,B19101F_003E,B19101F_003M,B19101F_004E,B19101F_004M,B19101F_005E,B19101F_005M,B19101F_006E,B19101F_006M,B19101F_007E,B19101F_007M,B19101F_008E,B19101F_008M,B19101F_009E,B19101F_009M,B19101F_010E,B19101F_010M,B19101F_011E,B19101F_011M,B19101F_012E,B19101F_012M,B19101F_013E,B19101F_013M,B19101F_014E,B19101F_014M,B19101F_015E,B19101F_015M,B19101F_016E,B19101F_016M,B19101F_017E,B19101F_017M,NAME,B19101F_001EA,B19101F_001MA,B19101F_002EA,B19101F_002MA,B19101F_003EA,B19101F_003MA,B19101F_004MA,B19101F_004EA,B19101F_005MA,B19101F_005EA,B19101F_006MA,B19101F_006EA,B19101F_007EA,B19101F_007MA,B19101F_008EA,B19101F_008MA,B19101F_009EA,B19101F_009MA,B19101F_010EA,B19101F_010MA,B19101F_011EA,B19101F_011MA,B19101F_012EA,B19101F_012MA,B19101F_013EA,B19101F_013MA,B19101F_014EA,B19101F_014MA,B19101F_015EA,B19101F_015MA,B19101F_016EA,B19101F_016MA,B19101F_017MA,B19101F_017EA,state
0400000US01,7647,1349,957,604,489,440,705,339,738,491,638,407,819,508,299,224,715,367,259,265,508,371,652,352,264,156,435,262,76,99,53,88,40,74,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,99060,4635,8669,1341,6168,1380,6650,1362,5815,1323,8440,1592,7869,1753,5175,1265,6336,1191,5671,1408,8767,1509,9452,1753,9849,1474,5215,1103,1782,600,1948,658,1254,506,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13026,1779,1185,637,668,447,1111,557,1143,743,1239,638,758,384,1143,673,560,379,875,565,908,439,1879,860,487,365,656,506,220,246,0,190,194,149,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1060782,13883,60639,3713,49682,3179,61111,3859,66866,3910,65454,3871,70355,3909,62675,4325,59479,3564,54543,3648,96690,5620,117500,4930,130243,5652,70569,4284,40318,2852,34628,3672,20030,2364,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,44771,3167,2568,855,920,518,2342,790,2521,804,2230,704,3611,1091,2943,990,2445,965,2780,868,5694,1254,4858,1078,4434,1031,3759,1152,1605,577,1674,634,387,306,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,39473,3639,3471,904,2827,968,4103,1004,3818,1159,2283,797,1732,623,1858,744,1833,680,2502,1008,2875,1028,2813,870,3728,1057,2768,966,1639,694,785,371,438,299,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,6485,1384,413,449,0,200,646,641,438,431,309,301,534,339,304,298,541,546,0,200,1313,817,120,184,490,421,650,454,57,98,527,465,143,152,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,107807,6287,6456,1395,4905,1393,7056,1567,9183,1856,7390,1639,7786,1848,5792,1597,7083,1448,5390,1179,8837,1599,9577,1815,13905,2350,5347,1498,2319,805,3448,1238,3333,1166,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,58248,4330,3166,951,3449,1282,4974,1218,5769,1482,6924,1507,3861,1122,3455,1241,3149,961,3113,1151,4361,1155,5648,1526,3335,936,3456,1054,1012,509,1713,993,863,604,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7298,1348,768,454,258,174,540,427,135,152,1147,548,453,276,326,309,449,386,189,170,311,276,1223,573,796,493,448,409,161,217,94,111,0,193,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,165193,6056,8302,1416,6065,1101,8627,1406,12565,2087,11386,1908,11322,1798,9266,1678,9354,1626,8855,1625,15070,1764,19372,2320,20481,2811,10781,1903,6480,1348,5067,1248,2200,813,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,28140,2693,2475,911,1595,799,1489,648,2348,714,2628,1006,2443,838,1654,701,1009,519,1163,483,2061,795,3186,896,2746,871,1745,740,515,408,691,522,392,283,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,10248,1535,604,478,526,344,214,271,553,403,1770,792,850,450,646,393,192,194,408,272,1014,615,1451,657,1151,582,565,285,18,30,158,172,128,166,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,13474,1756,609,305,294,228,525,385,1139,586,616,283,850,498,1478,472,811,430,1150,481,1773,840,1291,554,1679,738,644,450,212,167,292,241,111,115,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,6521,1055,305,245,510,281,293,223,914,522,480,338,876,502,791,514,372,392,347,273,490,298,330,262,352,309,298,228,100,133,63,101,0,187,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,10997,1675,667,494,408,267,293,303,933,470,687,450,1011,672,1186,585,383,356,468,496,682,517,1488,649,591,476,1379,714,512,425,139,235,170,158,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
