GEO_ID,B19101D_001E,B19101D_001M,B19101D_002E,B19101D_002M,B19101D_003E,B19101D_003M,B19101D_004E,B19101D_004M,B19101D_005E,B19101D_005M,B19101D_006E,B19101D_006M,B19101D_007E,B19101D_007M,B19101D_008E,B19101D_008M,B19101D_009E,B19101D_009M,B19101D_010E,B19101D_010M,B19101D_011E,B19101D_011M,B19101D_012E,B19101D_012M,B19101D_013E,B19101D_013M,B19101D_014E,B19101D_014M,B19101D_015E,B19101D_015M,B19101D_016E,B19101D_016M,B19101D_017E,B19101D_017M,NAME,B19101D_001MA,B19101D_001EA,B19101D_002EA,B19101D_002MA,B19101D_003EA,B19101D_003MA,B19101D_004EA,B19101D_004MA,B19101D_005EA,B19101D_005MA,B19101D_006MA,B19101D_006EA,B19101D_007MA,B19101D_007EA,B19101D_008EA,B19101D_008MA,B19101D_009EA,B19101D_009MA,B19101D_010EA,B19101D_010MA,B19101D_011MA,B19101D_011EA,B19101D_012MA,B19101D_012EA,B19101D_013EA,B19101D_013MA,B19101D_014EA,B19101D_014MA,B19101D_015EA,B19101D_015MA,B19101D_016MA,B19101D_016EA,B19101D_017MA,B19101D_017EA,state
0400000US01,12739,1238,162,168,896,465,766,510,226,146,435,295,495,292,335,316,778,431,824,349,1186,568,1344,517,1250,479,919,513,688,390,1539,676,896,523,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7940,1065,18,31,121,128,152,209,728,617,237,195,510,443,525,294,486,290,184,169,481,317,1253,567,1248,533,613,280,526,407,195,132,663,338,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,46035,2135,1293,517,483,304,860,513,1799,698,783,387,1708,636,1295,548,1701,726,1340,502,3067,838,4885,886,7003,1374,5920,1165,3660,936,5473,1085,4765,1060,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,9841,1144,506,354,143,194,288,219,99,101,541,387,500,288,227,174,318,262,448,299,547,295,1524,744,1893,689,687,368,871,447,460,278,789,366,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1292536,10021,40059,3195,31614,2809,44381,3389,38336,2668,33128,2373,41718,2560,35317,2936,38056,2460,35954,2823,75289,4135,105082,4233,162731,6169,149131,5785,103314,4537,155503,5751,202923,5982,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,37939,1875,1643,637,1296,582,843,491,1046,476,1185,512,1872,743,1423,554,1694,737,1072,436,2683,770,2498,720,5194,1045,5000,919,3207,705,3947,796,3336,678,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,35875,2302,857,429,565,369,384,263,684,369,489,321,1202,576,688,337,988,557,686,328,1809,633,3037,768,6134,1289,5243,1084,3239,652,2941,791,6929,1240,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,9293,935,118,138,208,257,309,310,258,209,58,67,34,60,139,160,246,252,79,124,401,254,721,290,1512,602,1310,490,670,632,1545,573,1685,455,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,120904,4293,4003,1078,3133,1189,4580,1037,4313,1298,5027,1176,3849,870,5385,1270,4197,1158,4294,1209,9529,1610,12229,1862,17077,2267,13336,1988,8548,1649,10402,1676,11002,1889,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,90868,3098,2740,899,2161,798,1782,672,3823,1136,3201,1213,3162,988,3797,968,3773,1261,3488,972,6419,1393,8983,1270,11849,1636,10660,1691,7820,1562,7645,1525,9565,1308,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,121600,3786,2693,869,2460,659,1593,573,2793,763,2461,666,2650,628,3375,792,3768,898,3571,884,7917,1318,15124,1611,18575,1770,16828,1583,11773,1494,13930,1635,12089,1053,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
